file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/ftpwriter/src/main/java/com/wgzhao/addax/plugin/writer/ftpwriter/util/IFtpHelper.java,com.wgzhao.addax.plugin.writer.ftpwriter.util.IFtpHelper,interface,0,4,4,0,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,class,7,10,3,7,38,2,0,38,0,0.2857143,1.0,1.0,7,0,7,0,0,0,7,0,0,0,3,1,0,1,0,2,1,0,33,183,6,1,3,7,1,30,6,36,7,31,5,0,0,0,69,1,16
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/hbase11xwriter/src/main/java/com/wgzhao/addax/plugin/writer/hbase11xwriter/Hbase11xHelper.java,com.wgzhao.addax.plugin.writer.hbase11xwriter.Hbase11xHelper,class,17,20,3,17,57,1,0,59,134,0.88235295,0.018181818,0.018181818,17,16,11,6,0,0,11,0,0,0,1,1,0,1,0,0,1,0,52,252,4,3,17,10,0,27,7,51,6,45,2,1,0,0,104,1,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/jsonfilereader/src/main/java/com/wgzhao/addax/plugin/reader/jsonfilereader/JsonReaderErrorCode.java,com.wgzhao.addax.plugin.reader.jsonfilereader.JsonReaderErrorCode,enum,0,0,0,0,4,1,0,1,0,0.25,0.8333333,1.0,4,0,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,1,16,3,0,0,0,0,23,0,2,0,2,0,0,0,0,47,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/tdenginewriter/src/main/java/com/wgzhao/addax/plugin/writer/tdenginewriter/ColumnMeta.java,com.wgzhao.addax.plugin.writer.tdenginewriter.ColumnMeta,class,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,7,0,0,0,0,7,0,0,0,12,1,0,0,0,0,8,0,0,2,7,0,0,0,0,14,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/streamwriter/src/main/java/com/wgzhao/addax/plugin/writer/streamwriter/StreamWriterErrorCode.java,com.wgzhao.addax.plugin.writer.streamwriter.StreamWriterErrorCode,enum,0,0,0,0,4,1,0,1,0,0.25,0.8333333,1.0,4,0,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,1,16,3,0,0,0,0,9,0,2,0,2,0,0,0,0,32,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/datareader/src/main/java/com/wgzhao/addax/plugin/reader/datareader/util/BankUtil.java,com.wgzhao.addax.plugin.reader.datareader.util.BankUtil,class,1,2,1,1,3,1,0,7,3,0.6666667,0.0,0.0,3,3,3,0,0,0,3,0,0,0,6,6,0,6,0,0,6,0,2,23,3,0,0,0,0,213,2,8,2,8,0,0,0,0,40,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/txtfilereader/src/main/java/com/wgzhao/addax/plugin/reader/txtfilereader/TxtFileReaderErrorCode.java,com.wgzhao.addax.plugin.reader.txtfilereader.TxtFileReaderErrorCode,enum,0,0,0,0,4,1,0,1,0,0.25,0.8333333,1.0,4,0,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,1,16,3,0,0,0,0,27,0,2,0,2,0,0,0,0,38,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/mongodbwriter/src/main/java/com/wgzhao/addax/plugin/writer/mongodbwriter/MongoDBWriterErrorCode.java,com.wgzhao.addax.plugin.writer.mongodbwriter.MongoDBWriterErrorCode,enum,0,1,1,0,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,0,13,2,0,0,0,0,8,0,2,0,2,0,0,0,0,31,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/s3reader/src/main/java/com/wgzhao/addax/plugin/reader/s3reader/S3Util.java,com.wgzhao.addax.plugin.reader.s3reader.S3Util,class,5,7,2,5,2,1,0,11,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,15,1,0,0,1,0,0,0,5,0,5,1,0,0,0,21,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/hdfswriter/src/main/java/com/wgzhao/addax/plugin/writer/hdfswriter/OrcWriter.java,com.wgzhao.addax.plugin.writer.hdfswriter.OrcWriter,class,5,5,0,5,5,1,0,9,1,0.8666666,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,5,0,0,5,0,0,1,0,2,26,1,1,0,0,0,8,0,4,1,8,2,0,0,0,23,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/mongodbreader/src/main/java/com/wgzhao/addax/plugin/reader/mongodbreader/MongoDBReader.java,com.wgzhao.addax.plugin.reader.mongodbreader.MongoDBReader$Task,innerclass,21,21,0,21,36,4,0,42,4,0.5,0.33333334,0.33333334,4,0,3,1,0,0,3,0,0,0,9,0,0,9,0,0,0,0,8,120,1,2,9,1,4,12,3,34,1,24,4,0,0,0,83,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/sqlserverwriter/src/main/java/com/wgzhao/addax/plugin/writer/sqlserverwriter/SqlServerWriter.java,com.wgzhao.addax.plugin.writer.sqlserverwriter.SqlServerWriter$Task,innerclass,6,6,0,6,5,4,0,7,0,0.0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,21,0,0,0,0,0,0,0,2,0,2,0,0,0,0,30,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/httpreader/src/main/java/com/wgzhao/addax/plugin/reader/httpreader/HttpReader.java,com.wgzhao.addax.plugin.reader.httpreader.HttpReader$Task,innerclass,30,30,0,30,36,4,0,72,6,0.625,0.33333334,0.33333334,8,0,3,5,0,0,3,0,0,0,5,0,0,5,0,0,1,0,10,183,6,3,11,2,0,16,9,59,2,53,4,0,0,3,120,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/elasticsearchwriter/src/main/java/com/wgzhao/addax/plugin/writer/elasticsearchwriter/ESClient.java,com.wgzhao.addax.plugin.writer.elasticsearchwriter.ESClient,class,22,26,4,22,35,1,0,43,0,0.36363637,0.6,0.6545454,11,0,11,0,0,0,11,0,0,0,2,1,0,2,0,0,1,0,2,157,17,2,3,0,1,21,12,26,0,23,3,0,0,0,83,1,17
