file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,"getListFiles/3[java.lang.String,int,int]",sourceFiles,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,"getListFiles/3[java.lang.String,int,int]",ftpClient,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,"getListFiles/3[java.lang.String,int,int]",LOG,7
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,getInputStream/1[java.lang.String],ftpClient,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,getInputStream/1[java.lang.String],LOG,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,isDirExist/1[java.lang.String],ftpClient,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,isDirExist/1[java.lang.String],LOG,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,isSymbolicLink/1[java.lang.String],ftpClient,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,isSymbolicLink/1[java.lang.String],LOG,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,isFileExist/1[java.lang.String],ftpClient,1
