file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/ftpwriter/src/main/java/com/wgzhao/addax/plugin/writer/ftpwriter/util/IFtpHelper.java,com.wgzhao.addax.plugin.writer.ftpwriter.util.IFtpHelper,mkDirRecursive/1[java.lang.String],directoryPath,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/ftpwriter/src/main/java/com/wgzhao/addax/plugin/writer/ftpwriter/util/IFtpHelper.java,com.wgzhao.addax.plugin.writer.ftpwriter.util.IFtpHelper,getOutputStream/1[java.lang.String],filePath,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/ftpwriter/src/main/java/com/wgzhao/addax/plugin/writer/ftpwriter/util/IFtpHelper.java,com.wgzhao.addax.plugin.writer.ftpwriter.util.IFtpHelper,getRemoteFileContent/1[java.lang.String],filePath,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/ftpwriter/src/main/java/com/wgzhao/addax/plugin/writer/ftpwriter/util/IFtpHelper.java,com.wgzhao.addax.plugin.writer.ftpwriter.util.IFtpHelper,"getAllFilesInDir/2[java.lang.String,java.lang.String]",prefixFileName,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/ftpwriter/src/main/java/com/wgzhao/addax/plugin/writer/ftpwriter/util/IFtpHelper.java,com.wgzhao.addax.plugin.writer.ftpwriter.util.IFtpHelper,"getAllFilesInDir/2[java.lang.String,java.lang.String]",dir,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/ftpwriter/src/main/java/com/wgzhao/addax/plugin/writer/ftpwriter/util/IFtpHelper.java,com.wgzhao.addax.plugin.writer.ftpwriter.util.IFtpHelper,deleteFiles/1[java.util.Set<java.lang.String>],filesToDelete,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/ftpwriter/src/main/java/com/wgzhao/addax/plugin/writer/ftpwriter/util/IFtpHelper.java,com.wgzhao.addax.plugin.writer.ftpwriter.util.IFtpHelper,"loginFtpServer/7[java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int]",password,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/ftpwriter/src/main/java/com/wgzhao/addax/plugin/writer/ftpwriter/util/IFtpHelper.java,com.wgzhao.addax.plugin.writer.ftpwriter.util.IFtpHelper,"loginFtpServer/7[java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int]",keyPass,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/ftpwriter/src/main/java/com/wgzhao/addax/plugin/writer/ftpwriter/util/IFtpHelper.java,com.wgzhao.addax.plugin.writer.ftpwriter.util.IFtpHelper,"loginFtpServer/7[java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int]",port,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/ftpwriter/src/main/java/com/wgzhao/addax/plugin/writer/ftpwriter/util/IFtpHelper.java,com.wgzhao.addax.plugin.writer.ftpwriter.util.IFtpHelper,"loginFtpServer/7[java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int]",keyPath,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/ftpwriter/src/main/java/com/wgzhao/addax/plugin/writer/ftpwriter/util/IFtpHelper.java,com.wgzhao.addax.plugin.writer.ftpwriter.util.IFtpHelper,"loginFtpServer/7[java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int]",host,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/ftpwriter/src/main/java/com/wgzhao/addax/plugin/writer/ftpwriter/util/IFtpHelper.java,com.wgzhao.addax.plugin.writer.ftpwriter.util.IFtpHelper,"loginFtpServer/7[java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int]",timeout,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/ftpwriter/src/main/java/com/wgzhao/addax/plugin/writer/ftpwriter/util/IFtpHelper.java,com.wgzhao.addax.plugin.writer.ftpwriter.util.IFtpHelper,"loginFtpServer/7[java.lang.String,int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,int]",username,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/writer/ftpwriter/src/main/java/com/wgzhao/addax/plugin/writer/ftpwriter/util/IFtpHelper.java,com.wgzhao.addax.plugin.writer.ftpwriter.util.IFtpHelper,mkdir/1[java.lang.String],directoryPath,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,"getListFiles/3[java.lang.String,int,int]",ff,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,"getListFiles/3[java.lang.String,int,int]",pathLen,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,"getListFiles/3[java.lang.String,int,int]",directoryPath,18
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,"getListFiles/3[java.lang.String,int,int]",e,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,"getListFiles/3[java.lang.String,int,int]",maxTraversalLevel,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,"getListFiles/3[java.lang.String,int,int]",strName,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,"getListFiles/3[java.lang.String,int,int]",parentPath,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,"getListFiles/3[java.lang.String,int,int]",filePath,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,"getListFiles/3[java.lang.String,int,int]",parentLevel,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,"getListFiles/3[java.lang.String,int,int]",subPath,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,"getListFiles/3[java.lang.String,int,int]",message,20
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,"getListFiles/3[java.lang.String,int,int]",fs,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,getInputStream/1[java.lang.String],e,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,getInputStream/1[java.lang.String],filePath,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,getInputStream/1[java.lang.String],message,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,isDirExist/1[java.lang.String],directoryPath,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,isDirExist/1[java.lang.String],e,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Addax/../../Addax/plugin/reader/ftpreader/src/main/java/com/wgzhao/addax/plugin/reader/ftpreader/StandardFtpHelper.java,com.wgzhao.addax.plugin.reader.ftpreader.StandardFtpHelper,isDirExist/1[java.lang.String],message,2
