file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/migration/src/main/java/com/github/gfx/android/orma/migration/sqliteparser/SQLiteComponent.java,com.github.gfx.android.orma.migration.sqliteparser.SQLiteComponent$Name,innerclass,3,3,0,3,3,2,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,class,8,10,2,8,24,1,0,18,0,0.18181819,0.64761907,0.64761907,22,0,21,1,0,0,21,0,0,0,1,0,0,1,0,0,1,0,0,90,12,0,0,0,1,5,0,2,2,2,1,0,1,0,64,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/example/build/generated/source/apt/normal/debug/com/github/gfx/android/orma/example/orma/Category_Schema.java,com.github.gfx.android.orma.example.orma.Category_Schema$Anonymous2,anonymous,4,4,0,4,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/example/build/generated/source/apt/normal/debug/com/github/gfx/android/orma/example/orma/Category_Schema.java,com.github.gfx.android.orma.example.orma.Category_Schema$Anonymous1,anonymous,4,4,0,4,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/processor/src/test/resources/PrimaryKeyAndColumnNamesDuplication.java,PrimaryKeyAndColumnNamesDuplication,class,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,8,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/processor/src/main/java/com/github/gfx/android/orma/processor/generator/SchemaWriter.java,com.github.gfx.android.orma.processor.generator.SchemaWriter,class,21,22,1,21,95,2,0,139,0,0.80676335,0.5769231,0.5769231,23,0,12,10,0,1,13,0,0,0,9,6,0,9,0,0,7,0,57,471,32,10,11,0,2,171,12,85,8,82,3,0,1,10,166,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/processor/src/test/java/com/github/gfx/android/orma/processor/test/SchemaValidatorTest.java,com.github.gfx.android.orma.processor.test.SchemaValidatorTest,class,2,2,0,2,7,1,0,9,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,14,7,7,0,7,0,0,0,0,59,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/library/src/main/java/com/github/gfx/android/orma/OrderSpec.java,com.github.gfx.android.orma.OrderSpec,class,2,5,3,2,2,1,0,1,0,0.5,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,2,4,0,0,0,2,0,0,13,1,0,0,0,0,2,0,4,1,4,0,0,0,0,11,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/library/src/test/java/com/github/gfx/android/orma/test/RxJava2Test.java,com.github.gfx.android.orma.test.RxJava2Test$Anonymous6$Anonymous7,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,2,0,5,0,1,0,0,0,0,5,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/example/src/main/java/com/github/gfx/android/orma/example/fragment/BenchmarkFragment.java,com.github.gfx.android.orma.example.fragment.BenchmarkFragment,class,40,42,2,40,30,3,0,99,82,0.8375,0.15833333,0.3,16,3,6,0,0,10,16,0,0,0,10,4,0,0,0,10,6,0,4,284,22,7,3,0,0,45,18,72,14,77,4,0,2,25,118,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/migration/src/test/java/com/github/gfx/android/orma/migration/test/OrmaMigrationTest.java,com.github.gfx.android.orma.migration.test.OrmaMigrationTest$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/library/src/main/java/com/github/gfx/android/orma/rx/RxRelation.java,com.github.gfx.android.orma.rx.RxRelation$Anonymous9,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/migration/src/test/java/com/github/gfx/android/orma/migration/test/OrmaMigrationTest.java,com.github.gfx.android.orma.migration.test.OrmaMigrationTest$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/processor/src/main/java/com/github/gfx/android/orma/processor/util/Annotations.java,com.github.gfx.android.orma.processor.util.Annotations,class,5,16,11,5,14,1,0,10,45,0.90000004,0.0,0.0,10,10,10,0,0,0,10,0,0,0,8,8,0,8,0,0,6,0,9,63,11,1,1,0,0,6,1,12,0,11,2,0,0,0,38,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/library/src/main/java/com/github/gfx/android/orma/rx/RxRelation.java,com.github.gfx.android.orma.rx.RxRelation$Anonymous7,anonymous,2,2,0,2,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/library/src/main/java/com/github/gfx/android/orma/rx/RxRelation.java,com.github.gfx.android.orma.rx.RxRelation$Anonymous6,anonymous,3,3,0,3,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/example/src/main/java/com/github/gfx/android/orma/example/App.java,com.github.gfx.android.orma.example.App,class,1,1,0,1,1,2,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/library/src/test/java/com/github/gfx/android/orma/test/model/ModelWithStorageTypes.java,com.github.gfx.android.orma.test.model.ModelWithStorageTypes,class,2,2,0,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0,0,0,0,10,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/library/src/main/java/com/github/gfx/android/orma/rx/RxUpdater.java,com.github.gfx.android.orma.rx.RxUpdater$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/library/src/test/java/com/github/gfx/android/orma/test/UpsertTest.java,com.github.gfx.android.orma.test.UpsertTest,class,13,13,0,13,15,1,0,31,0,0.0,1.0,1.0,15,0,15,0,0,0,15,0,0,0,1,0,0,0,0,1,0,0,21,88,0,0,0,0,0,37,16,29,0,22,0,0,0,0,47,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/library/src/main/java/com/github/gfx/android/orma/rx/RxRelation.java,com.github.gfx.android.orma.rx.RxRelation$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/migration/src/test/java/com/github/gfx/android/orma/migration/test/OrmaMigrationTest.java,com.github.gfx.android.orma.migration.test.OrmaMigrationTest$Anonymous9,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/migration/src/test/java/com/github/gfx/android/orma/migration/test/OrmaMigrationTest.java,com.github.gfx.android.orma.migration.test.OrmaMigrationTest$Anonymous8,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/library/src/test/java/com/github/gfx/android/orma/test/type_adapter/EnumTypeAdapter.java,com.github.gfx.android.orma.test.type_adapter.EnumTypeAdapter,class,4,4,0,4,4,1,0,2,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,1,0,0,2,0,0,1,0,2,0,0,0,23,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/migration/src/test/java/com/github/gfx/android/orma/migration/test/OrmaMigrationTest.java,com.github.gfx.android.orma.migration.test.OrmaMigrationTest$Anonymous7,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/migration/src/test/java/com/github/gfx/android/orma/migration/test/OrmaMigrationTest.java,com.github.gfx.android.orma.migration.test.OrmaMigrationTest$Anonymous6,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,-1,0
