file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,close/0,database,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,endTransaction/0,database,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,inTransaction/0,database,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,"insertOrThrow/3[java.lang.String,java.lang.String,com.github.gfx.android.orma.encryption.ContentValues]",database,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,compileStatement/1[java.lang.String],database,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,"insertWithOnConflict/4[java.lang.String,java.lang.String,com.github.gfx.android.orma.encryption.ContentValues,int]",database,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,execSQL/1[java.lang.String],database,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,setTransactionSuccessful/0,database,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,setVersion/1[int],database,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,"rawQuery/2[java.lang.String,java.lang.String[]]",database,1
