file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/migration/src/main/java/com/github/gfx/android/orma/migration/sqliteparser/SQLiteComponent.java,com.github.gfx.android.orma.migration.sqliteparser.SQLiteComponent$Name,Name/1[java.lang.String],true,130,2,20,19,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/migration/src/main/java/com/github/gfx/android/orma/migration/sqliteparser/SQLiteComponent.java,com.github.gfx.android.orma.migration.sqliteparser.SQLiteComponent$Name,toString/0,false,141,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/migration/src/main/java/com/github/gfx/android/orma/migration/sqliteparser/SQLiteComponent.java,com.github.gfx.android.orma.migration.sqliteparser.SQLiteComponent$Name,getUnquotedToken/0,false,135,2,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,close/0,false,153,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,enableWriteAheadLogging/0,false,108,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,endTransaction/0,false,79,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,inTransaction/0,false,84,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,"insertOrThrow/3[java.lang.String,java.lang.String,com.github.gfx.android.orma.encryption.ContentValues]",false,135,1,0,0,0,1,1,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,compileStatement/1[java.lang.String],false,58,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,"insertWithOnConflict/4[java.lang.String,java.lang.String,com.github.gfx.android.orma.encryption.ContentValues,int]",false,43,1,0,0,0,1,1,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,setForeignKeyConstraintsEnabled/1[boolean],false,99,1,1,0,1,2,1,8,0,0,1,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,12,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,"queryNumEntries/3[java.lang.String,java.lang.String,java.lang.String[]]",false,146,1,1,0,1,2,2,4,1,1,3,2,1,1,0,0,0,1,3,0,1,2,0,0,0,0,13,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,execSQL/1[java.lang.String],false,89,0,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,isWriteAheadLoggingEnabled/0,false,114,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,setTransactionSuccessful/0,false,74,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,setVersion/1[int],false,130,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,"rawQuery/2[java.lang.String,java.lang.String[]]",false,53,1,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,getVersion/0,false,125,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,"query/8[java.lang.String,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,java.lang.String,java.lang.String,java.lang.String]",false,141,1,0,0,0,1,1,3,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,"update/4[java.lang.String,com.github.gfx.android.orma.encryption.ContentValues,java.lang.String,java.lang.String[]]",false,48,1,0,0,0,1,1,3,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,EncryptedDatabase/1[com.github.gfx.android.orma.encryption.SQLiteDatabase],true,38,1,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,false
