file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/migration/src/main/java/com/github/gfx/android/orma/migration/sqliteparser/SQLiteComponent.java,com.github.gfx.android.orma.migration.sqliteparser.SQLiteComponent$Name,Name/1[java.lang.String],token,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,"insertOrThrow/3[java.lang.String,java.lang.String,com.github.gfx.android.orma.encryption.ContentValues]",nullColumnHack,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,"insertOrThrow/3[java.lang.String,java.lang.String,com.github.gfx.android.orma.encryption.ContentValues]",values,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,"insertOrThrow/3[java.lang.String,java.lang.String,com.github.gfx.android.orma.encryption.ContentValues]",table,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,compileStatement/1[java.lang.String],sql,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,"insertWithOnConflict/4[java.lang.String,java.lang.String,com.github.gfx.android.orma.encryption.ContentValues,int]",initialValues,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,"insertWithOnConflict/4[java.lang.String,java.lang.String,com.github.gfx.android.orma.encryption.ContentValues,int]",nullColumnHack,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,"insertWithOnConflict/4[java.lang.String,java.lang.String,com.github.gfx.android.orma.encryption.ContentValues,int]",conflictAlgorithm,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,"insertWithOnConflict/4[java.lang.String,java.lang.String,com.github.gfx.android.orma.encryption.ContentValues,int]",table,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,setForeignKeyConstraintsEnabled/1[boolean],enable,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Android-Orma/../../Android-Orma/encryption/src/main/java/com/github/gfx/android/orma/encryption/EncryptedDatabase.java,com.github.gfx.android.orma.encryption.EncryptedDatabase,"queryNumEntries/3[java.lang.String,java.lang.String,java.lang.String[]]",s,1
