file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/IDataType.java,com.github.housepower.data.IDataType,interface,7,48,41,7,18,1,0,5,120,0.0,0.0,0.0,16,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,40,6,2,0,0,0,3,2,3,1,2,1,0,0,0,44,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/type/DataTypeUUID.java,com.github.housepower.data.type.DataTypeUUID,class,4,6,2,4,10,1,0,6,45,0.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,33,9,0,0,0,0,1,2,0,0,0,0,0,0,0,32,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/type/BaseDataTypeInt64.java,com.github.housepower.data.type.BaseDataTypeInt64,interface,3,5,2,3,3,1,0,3,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,1,2,0,1,1,0,0,0,10,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/misc/StringView.java,com.github.housepower.misc.StringView,class,1,6,5,1,31,1,0,8,0,0.5428571,0.7912088,1.0,14,0,14,0,0,0,14,0,0,0,5,0,0,5,0,0,3,0,2,89,20,4,11,0,1,0,7,14,10,13,2,0,0,0,50,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/jdbc/ClickhouseJdbcUrlParser.java,com.github.housepower.jdbc.ClickhouseJdbcUrlParser,class,7,10,3,7,12,1,0,25,4,0.78571427,0.0,0.0,4,4,3,1,0,0,3,0,0,0,7,7,6,1,0,0,7,0,9,65,3,2,5,0,0,18,10,22,3,22,3,0,0,0,79,1,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/buffer/CompressedBuffedWriter.java,com.github.housepower.buffer.CompressedBuffedWriter,class,9,11,2,9,11,1,0,10,0,0.5833333,1.0,1.0,6,0,4,2,0,0,4,0,0,0,6,0,0,6,0,0,5,0,7,52,2,1,0,0,2,0,15,18,7,12,1,0,0,0,59,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/jdbc/statement/AbstractPreparedStatement.java,com.github.housepower.jdbc.statement.AbstractPreparedStatement,class,9,12,3,9,46,2,2,28,368,0.92142856,0.015810277,0.023715414,28,0,22,5,1,0,23,0,0,0,5,0,0,3,2,0,4,0,9,130,14,3,5,0,3,14,14,11,8,11,2,0,0,0,84,1025,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/test/java/com/github/housepower/jdbc/type/LowCardinalityTypeTest.java,com.github.housepower.jdbc.type.LowCardinalityTypeTest,class,3,3,0,3,11,2,0,26,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,77,0,3,2,1,0,37,18,15,3,16,4,0,0,1,71,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/exception/ClickHouseException.java,com.github.housepower.exception.ClickHouseException,class,0,2,2,0,4,4,1,0,0,0.0,1.0,1.0,4,0,4,0,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,18,1,0,0,0,0,0,0,3,0,1,0,0,0,0,32,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/buffer/BuffedReader.java,com.github.housepower.buffer.BuffedReader,interface,1,5,4,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/misc/ExceptionUtil.java,com.github.housepower.misc.ExceptionUtil$CheckedSupplier,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/test/java/com/github/housepower/serde/BinarySerializerTest.java,com.github.housepower.serde.BinarySerializerTest,class,4,4,0,4,5,1,0,17,0,0.0,1.0,1.0,5,0,0,0,0,5,5,0,0,0,3,0,0,3,0,0,0,0,0,46,0,0,0,0,0,0,5,15,0,15,0,0,0,0,36,0,0
