file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/misc/StringView.java,com.github.housepower.misc.StringView,equals/1[java.lang.Object],str,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/misc/StringView.java,com.github.housepower.misc.StringView,equals/1[java.lang.Object],start,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/misc/StringView.java,com.github.housepower.misc.StringView,equals/1[java.lang.Object],end,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/misc/StringView.java,com.github.housepower.misc.StringView,repr/0,repr,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/misc/StringView.java,com.github.housepower.misc.StringView,repr/0,str,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/misc/StringView.java,com.github.housepower.misc.StringView,repr/0,start,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/misc/StringView.java,com.github.housepower.misc.StringView,repr/0,end,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/misc/StringView.java,com.github.housepower.misc.StringView,length/0,start,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/misc/StringView.java,com.github.housepower.misc.StringView,length/0,end,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/misc/StringView.java,com.github.housepower.misc.StringView,checkEquals/1[java.lang.String],str,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/misc/StringView.java,com.github.housepower.misc.StringView,checkEquals/1[java.lang.String],start,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/misc/StringView.java,com.github.housepower.misc.StringView,checkEquals/1[java.lang.String],end,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/misc/StringView.java,com.github.housepower.misc.StringView,checkEqualsIgnoreCase/1[java.lang.String],str,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/misc/StringView.java,com.github.housepower.misc.StringView,checkEqualsIgnoreCase/1[java.lang.String],start,2
