file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/IDataType.java,com.github.housepower.data.IDataType,"serializeBinary/2[CK,com.github.housepower.serde.BinarySerializer]",data,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/IDataType.java,com.github.housepower.data.IDataType,"serializeBinary/2[CK,com.github.housepower.serde.BinarySerializer]",serializer,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/IDataType.java,com.github.housepower.data.IDataType,deserializeBinary/1[com.github.housepower.serde.BinaryDeserializer],deserializer,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/IDataType.java,com.github.housepower.data.IDataType,deserializeText/1[com.github.housepower.misc.SQLLexer],lexer,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/IDataType.java,com.github.housepower.data.IDataType,"deserializeBinaryBulk/2[int,com.github.housepower.serde.BinaryDeserializer]",data,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/IDataType.java,com.github.housepower.data.IDataType,"deserializeBinaryBulk/2[int,com.github.housepower.serde.BinaryDeserializer]",deserializer,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/IDataType.java,com.github.housepower.data.IDataType,"deserializeBinaryBulk/2[int,com.github.housepower.serde.BinaryDeserializer]",row,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/IDataType.java,com.github.housepower.data.IDataType,"deserializeBinaryBulk/2[int,com.github.housepower.serde.BinaryDeserializer]",rows,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/IDataType.java,com.github.housepower.data.IDataType,"serializeBinaryBulk/2[CK[],com.github.housepower.serde.BinarySerializer]",data,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/IDataType.java,com.github.housepower.data.IDataType,"serializeBinaryBulk/2[CK[],com.github.housepower.serde.BinarySerializer]",d,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/IDataType.java,com.github.housepower.data.IDataType,"serializeBinaryBulk/2[CK[],com.github.housepower.serde.BinarySerializer]",serializer,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/IDataType.java,com.github.housepower.data.IDataType,serializeText/1[CK],value,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/type/DataTypeUUID.java,com.github.housepower.data.type.DataTypeUUID,"serializeBinary/2[java.util.UUID,com.github.housepower.serde.BinarySerializer]",data,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/type/DataTypeUUID.java,com.github.housepower.data.type.DataTypeUUID,"serializeBinary/2[java.util.UUID,com.github.housepower.serde.BinarySerializer]",serializer,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/type/DataTypeUUID.java,com.github.housepower.data.type.DataTypeUUID,deserializeText/1[com.github.housepower.misc.SQLLexer],lexer,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/type/DataTypeUUID.java,com.github.housepower.data.type.DataTypeUUID,deserializeBinary/1[com.github.housepower.serde.BinaryDeserializer],deserializer,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ClickHouse-Native-JDBC/../../ClickHouse-Native-JDBC/clickhouse-native-jdbc/src/main/java/com/github/housepower/data/type/BaseDataTypeInt64.java,com.github.housepower.data.type.BaseDataTypeInt64,"parseBigIntegerPositive/2[java.lang.String,int]",bitlen,1
