file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/utils/Crc32c.java,org.corfudb.infrastructure.utils.Crc32c,class,2,5,3,2,4,1,0,6,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,0,0,0,0,0,2,0,2,1,0,0,0,18,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/log/FileSystemAgent.java,org.corfudb.infrastructure.log.FileSystemAgent,class,9,13,4,9,14,1,0,26,0,0.75555557,0.3,0.3,9,3,4,4,0,1,5,0,0,0,10,5,0,10,0,0,9,0,7,170,6,0,1,3,1,6,5,26,4,21,2,1,2,2,88,17,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/runtime/src/main/java/org/corfudb/protocols/wireprotocol/IMetadata.java,org.corfudb.protocols.wireprotocol.IMetadata,interface,7,17,10,7,31,1,0,15,325,0.0,0.0,0.0,26,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,3,94,16,0,5,0,1,6,0,0,0,0,1,0,1,0,98,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/logreplication/infrastructure/plugins/DefaultAdapterForUpgrade.java,org.corfudb.infrastructure.logreplication.infrastructure.plugins.DefaultAdapterForUpgrade,class,9,9,0,9,8,1,0,4,5,0.68571436,0.3809524,0.71428573,7,0,7,0,0,0,7,0,0,0,5,4,0,5,0,0,2,0,0,36,3,0,0,1,0,3,0,9,0,5,1,0,0,0,71,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/test/src/test/java/org/corfudb/AbstractCorfuTest.java,org.corfudb.AbstractCorfuTest$TestThread,innerclass,1,1,0,1,9,1,0,11,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,5,0,0,0,0,5,0,0,0,51,1,1,0,4,0,1,1,7,1,6,4,0,0,1,23,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/runtime/src/test/java/org/corfudb/protocols/wireprotocol/failuredetector/NodeConnectivityTest.java,org.corfudb.protocols.wireprotocol.failuredetector.NodeConnectivityTest,class,2,2,0,2,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,7,0,1,0,1,0,0,0,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/test/src/test/java/org/corfudb/integration/ServerRestartIT.java,org.corfudb.integration.ServerRestartIT$Anonymous1,anonymous,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/utils/src/main/java/org/corfudb/utils/common/CorfuMessageProtoBufException.java,org.corfudb.utils.common.CorfuMessageProtoBufException,class,0,0,0,0,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/logreplication/infrastructure/LogReplicationContext.java,org.corfudb.infrastructure.logreplication.infrastructure.LogReplicationContext,class,8,28,20,8,6,1,0,7,0,0.5333334,0.8,1.0,6,0,6,0,0,0,6,0,0,0,5,0,0,5,0,0,4,0,0,33,2,0,0,0,0,0,0,10,0,5,0,0,0,0,108,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/health/HealthMonitor.java,org.corfudb.infrastructure.health.HealthMonitor,class,12,22,10,12,19,1,0,38,0,0.7261905,1.0,1.0,14,8,7,6,0,1,8,0,0,0,6,3,0,6,0,0,5,0,8,94,6,1,2,0,0,6,2,14,0,18,2,0,0,8,82,17,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/common/src/main/java/org/corfudb/common/metrics/micrometer/registries/InfluxNamingConvention.java,org.corfudb.common.metrics.micrometer.registries.InfluxNamingConvention,class,4,6,2,4,7,1,0,9,3,0.5833333,0.6,0.6,6,0,5,1,0,0,5,0,0,0,2,1,0,2,0,0,2,0,1,25,4,0,0,0,0,6,0,2,0,2,1,0,0,0,46,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/logreplication/replication/send/logreader/BaseSnapshotReader.java,org.corfudb.infrastructure.logreplication.replication.send.logreader.BaseSnapshotReader,class,22,26,4,22,30,2,3,63,17,0.77142864,0.5,0.5,10,0,3,6,1,0,4,1,0,0,14,0,0,11,3,0,6,0,6,165,7,2,8,1,0,17,7,39,3,30,5,0,2,2,167,1025,11
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/test/src/test/java/org/corfudb/integration/StreamingIT.java,org.corfudb.integration.StreamingIT$PrevValueStreamer,innerclass,11,11,0,11,7,1,0,20,0,0.44,0.6,0.6,5,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,3,0,0,49,2,0,0,1,1,1,5,11,4,13,4,0,0,2,109,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/test/src/test/java/org/corfudb/protocols/wireprotocol/TokenTest.java,org.corfudb.protocols.wireprotocol.TokenTest,class,2,2,0,2,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,10,4,0,4,0,0,0,0,10,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/runtime/src/main/java/org/corfudb/protocols/service/CorfuProtocolMessage.java,org.corfudb.protocols.service.CorfuProtocolMessage$EpochCheck,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
