file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/log/FileSystemAgent.java,org.corfudb.infrastructure.log.FileSystemAgent,getResourceQuota/0,logSizeQuota,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/log/FileSystemAgent.java,org.corfudb.infrastructure.log.FileSystemAgent,getResourceQuota/0,instance,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/log/FileSystemAgent.java,org.corfudb.infrastructure.log.FileSystemAgent,getResourceQuota/0,NOT_CONFIGURED_ERR_MSG,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/log/FileSystemAgent.java,org.corfudb.infrastructure.log.FileSystemAgent,getPartitionAttribute/0,instance,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/log/FileSystemAgent.java,org.corfudb.infrastructure.log.FileSystemAgent,getPartitionAttribute/0,partitionAttribute,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/log/FileSystemAgent.java,org.corfudb.infrastructure.log.FileSystemAgent,getPartitionAttribute/0,NOT_CONFIGURED_ERR_MSG,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/log/FileSystemAgent.java,org.corfudb.infrastructure.log.FileSystemAgent,shutdown/0,scheduler,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/log/FileSystemAgent.java,org.corfudb.infrastructure.log.FileSystemAgent,shutdown/0,maybePartitionAgent,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/log/FileSystemAgent.java,org.corfudb.infrastructure.log.FileSystemAgent,reportQuotaExceeded/0,logSizeQuota,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/log/FileSystemAgent.java,org.corfudb.infrastructure.log.FileSystemAgent,"init/2[org.corfudb.infrastructure.log.FileSystemAgent.FileSystemConfig,org.corfudb.infrastructure.log.BatchProcessorContext]",instance,1
