file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/utils/Crc32c.java,org.corfudb.infrastructure.utils.Crc32c,getChecksum/1[byte[]],false,18,2,2,2,0,2,5,7,1,1,1,5,0,0,1,0,0,0,0,0,1,0,1,0,0,0,16,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/utils/Crc32c.java,org.corfudb.infrastructure.utils.Crc32c,getChecksum/1[int],false,27,1,2,2,0,1,5,4,1,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/utils/Crc32c.java,org.corfudb.infrastructure.utils.Crc32c,Crc32c/0,true,8,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/log/FileSystemAgent.java,org.corfudb.infrastructure.log.FileSystemAgent,getLogSizeLimit/0,false,90,1,2,1,1,1,1,5,1,2,0,1,1,1,0,0,0,1,0,1,2,3,0,0,0,0,11,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/log/FileSystemAgent.java,org.corfudb.infrastructure.log.FileSystemAgent,estimateSize/0,false,139,1,2,1,1,2,2,20,1,1,0,2,0,0,0,0,1,0,0,1,1,0,1,1,0,0,28,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/log/FileSystemAgent.java,org.corfudb.infrastructure.log.FileSystemAgent,getFileSystemCapacity/0,false,168,0,1,1,0,2,3,9,1,1,0,3,0,0,0,0,1,0,1,0,1,1,1,0,0,0,27,2,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/log/FileSystemAgent.java,org.corfudb.infrastructure.log.FileSystemAgent,getResourceQuota/0,false,124,1,1,1,0,1,1,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,21,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/log/FileSystemAgent.java,org.corfudb.infrastructure.log.FileSystemAgent,getPartitionAttribute/0,false,129,1,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,21,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/log/FileSystemAgent.java,org.corfudb.infrastructure.log.FileSystemAgent,shutdown/0,false,119,0,1,1,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/CorfuDB/../../CorfuDB/infrastructure/src/main/java/org/corfudb/infrastructure/log/FileSystemAgent.java,org.corfudb.infrastructure.log.FileSystemAgent,reportQuotaExceeded/0,false,99,1,0,0,0,3,5,14,0,1,0,5,0,0,0,0,1,0,2,0,1,0,2,0,0,0,9,2,1,false
