file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Jailer/../../Jailer/src/main/gui/net/sf/jailer/ui/databrowser/DesktopOutline.java,net.sf.jailer.ui.databrowser.DesktopOutline,findBrowser/1[java.awt.event.MouseEvent],false,485,2,7,4,3,7,7,18,1,6,1,7,2,1,1,0,0,4,0,4,7,12,4,0,0,0,23,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Jailer/../../Jailer/src/main/gui/net/sf/jailer/ui/databrowser/DesktopOutline.java,net.sf.jailer.ui.databrowser.DesktopOutline,"snap/3[int,int,int]",false,434,0,2,2,0,2,1,6,2,0,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Jailer/../../Jailer/src/main/gui/net/sf/jailer/ui/databrowser/DesktopOutline.java,net.sf.jailer.ui.databrowser.DesktopOutline,"paintRect/8[java.awt.Graphics2D,double,double,double,double,java.awt.Color,java.awt.Color,java.awt.BasicStroke]",false,465,0,1,1,0,3,6,17,0,5,8,6,0,0,0,2,0,4,0,8,5,12,1,0,0,0,23,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Jailer/../../Jailer/src/main/gui/net/sf/jailer/ui/databrowser/DesktopOutline.java,net.sf.jailer.ui.databrowser.DesktopOutline,paint/1[java.awt.Graphics],false,220,4,10,0,10,36,51,181,1,44,1,51,5,1,6,11,0,37,2,111,83,105,8,0,0,0,82,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Jailer/../../Jailer/src/main/gui/net/sf/jailer/ui/databrowser/DesktopOutline.java,net.sf.jailer.ui.databrowser.DesktopOutline,draggingInProgress/0,false,456,0,1,1,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Jailer/../../Jailer/src/main/gui/net/sf/jailer/ui/databrowser/DesktopOutline.java,net.sf.jailer.ui.databrowser.DesktopOutline,"calcOnPath/2[java.util.Set<net.sf.jailer.ui.databrowser.Desktop.RowBrowser>,java.util.List<net.sf.jailer.ui.databrowser.Desktop.RowBrowser>]",false,408,1,1,1,0,2,6,9,0,2,2,6,0,0,1,1,0,0,0,0,1,0,2,0,0,2,6,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Jailer/../../Jailer/src/main/gui/net/sf/jailer/ui/databrowser/DesktopOutline.java,net.sf.jailer.ui.databrowser.DesktopOutline,getMinimumSize/0,false,447,0,2,2,0,3,5,8,2,2,0,5,0,0,0,2,0,3,0,11,2,7,1,0,0,0,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Jailer/../../Jailer/src/main/gui/net/sf/jailer/ui/databrowser/DesktopOutline.java,net.sf.jailer.ui.databrowser.DesktopOutline,stopDragging/0,false,195,0,5,5,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Jailer/../../Jailer/src/main/gui/net/sf/jailer/ui/databrowser/DesktopOutline.java,net.sf.jailer.ui.databrowser.DesktopOutline,getPreferredSize/0,false,442,1,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Jailer/../../Jailer/src/main/gui/net/sf/jailer/ui/databrowser/DesktopOutline.java,net.sf.jailer.ui.databrowser.DesktopOutline,getBrowsers/0,false,419,2,4,2,2,5,7,14,1,1,0,7,0,0,1,0,0,0,0,0,1,0,3,0,0,0,6,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Jailer/../../Jailer/src/main/gui/net/sf/jailer/ui/databrowser/DesktopOutline.java,net.sf.jailer.ui.databrowser.DesktopOutline,"DesktopOutline/5[javax.swing.JComponent,javax.swing.JPanel,javax.swing.JScrollPane,net.sf.jailer.ui.databrowser.Desktop,java.util.function.Consumer<net.sf.jailer.ui.databrowser.Desktop.RowBrowser>]",true,69,2,2,1,1,1,4,107,0,0,5,4,0,0,0,0,0,0,0,0,4,0,0,3,0,0,70,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Jailer/../../Jailer/src/main/gui/net/sf/jailer/ui/databrowser/DesktopOutline.java,net.sf.jailer.ui.databrowser.DesktopOutline,startDragging/1[java.awt.event.MouseEvent],false,189,0,2,2,0,1,5,5,0,0,1,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Jailer/../../Jailer/src/main/gui/net/sf/jailer/ui/databrowser/DesktopOutline.java,net.sf.jailer.ui.databrowser.DesktopOutline,centeredDragging/1[java.awt.event.MouseEvent],false,201,1,5,2,3,4,8,13,0,3,1,8,3,2,0,2,0,2,0,8,4,14,2,0,0,0,24,2,0,false
