file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/ZSet.java,top.thinkin.lightd.db.ZSet$ZData,innerclass,6,6,0,6,3,1,0,8,0,0.06666667,1.0,1.0,3,0,3,0,0,0,3,0,0,0,5,0,0,5,0,0,0,0,10,24,3,0,0,0,0,0,0,3,0,8,0,0,0,0,15,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/RList.java,top.thinkin.lightd.db.RList$MetaV,innerclass,6,6,0,6,1,2,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,5,0,0,5,0,0,0,0,5,16,1,0,0,0,0,0,0,1,0,6,0,0,0,0,12,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/raft/src/main/java/top/thinkin/lightd/raft/KitRaft.java,top.thinkin.lightd.raft.KitRaft,class,14,17,3,14,21,1,0,39,5,0.69642854,0.47252747,0.85714287,14,0,12,0,2,0,14,0,0,0,4,1,0,4,0,0,1,0,0,103,11,2,2,0,0,8,3,19,7,21,1,0,0,2,54,1,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/test/java/top/thinkin/lightd/db/ZSetTest.java,top.thinkin.lightd.db.ZSetTest,class,9,9,0,9,47,2,0,33,190,0.0,0.0,0.0,20,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2,253,2,25,0,12,25,31,57,70,40,72,4,0,0,2,53,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/Sequence.java,top.thinkin.lightd.db.Sequence,class,5,5,0,5,5,1,0,8,0,0.5333333,0.6666667,1.0,3,0,3,0,0,0,3,0,0,1,5,2,1,4,0,0,3,0,3,28,2,0,2,0,0,0,1,8,1,6,2,0,0,0,21,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/base/MetaAbs.java,top.thinkin.lightd.base.MetaAbs,class,1,10,9,1,2,1,8,0,1,1.0,0.0,0.0,2,0,2,0,0,0,2,2,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,1025,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/test/java/top/thinkin/lightd/benchmark/JoinFuture.java,top.thinkin.lightd.benchmark.JoinFuture,class,3,11,8,3,3,1,0,7,0,0.33333334,0.6666667,1.0,3,1,3,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,2,19,2,0,0,0,0,0,0,4,0,4,0,0,1,1,13,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/TimerStore.java,top.thinkin.lightd.db.TimerStore,class,10,13,3,10,21,1,0,24,10,0.8,0.0,0.0,5,5,4,1,0,0,4,0,0,0,1,1,1,0,0,0,0,0,22,94,5,4,2,4,0,1,14,19,0,17,3,0,2,0,40,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/kit/BytesUtil.java,top.thinkin.lightd.kit.BytesUtil$ByteArrayComparator,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/base/DBConfig.java,top.thinkin.lightd.base.DBConfig,class,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0
