file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/ZSet.java,top.thinkin.lightd.db.ZSet$ZData,getHead/0,mapKeySize,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/ZSet.java,top.thinkin.lightd.db.ZSet$ZData,getHead/0,mapKey,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/ZSet.java,top.thinkin.lightd.db.ZSet$ZData,getHead/0,version,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/ZSet.java,top.thinkin.lightd.db.ZSet$ZData,getSeek/0,mapKeySize,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/ZSet.java,top.thinkin.lightd.db.ZSet$ZData,getSeek/0,score,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/ZSet.java,top.thinkin.lightd.db.ZSet$ZData,getSeek/0,mapKey,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/ZSet.java,top.thinkin.lightd.db.ZSet$ZData,getSeek/0,version,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/ZSet.java,top.thinkin.lightd.db.ZSet$ZData,convertBytes/0,mapKeySize,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/ZSet.java,top.thinkin.lightd.db.ZSet$ZData,convertBytes/0,score,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/ZSet.java,top.thinkin.lightd.db.ZSet$ZData,convertBytes/0,mapKey,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/ZSet.java,top.thinkin.lightd.db.ZSet$ZData,convertBytes/0,version,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/ZSet.java,top.thinkin.lightd.db.ZSet$ZData,convertBytes/0,value,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/RList.java,top.thinkin.lightd.db.RList$MetaV,convertMetaBytes/0,size,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/RList.java,top.thinkin.lightd.db.RList$MetaV,convertMetaBytes/0,left,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/RList.java,top.thinkin.lightd.db.RList$MetaV,convertMetaBytes/0,right,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/RList.java,top.thinkin.lightd.db.RList$MetaV,convertMetaBytes/0,version,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/store/src/main/java/top/thinkin/lightd/db/RList.java,top.thinkin.lightd.db.RList$MetaV,convertMetaBytes/0,timestamp,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/raft/src/main/java/top/thinkin/lightd/raft/KitRaft.java,top.thinkin.lightd.raft.KitRaft,"KitRaft/3[top.thinkin.lightd.raft.GroupConfig,top.thinkin.lightd.raft.NodeConfig,top.thinkin.lightd.db.DB]",node,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/raft/src/main/java/top/thinkin/lightd/raft/KitRaft.java,top.thinkin.lightd.raft.KitRaft,"KitRaft/3[top.thinkin.lightd.raft.GroupConfig,top.thinkin.lightd.raft.NodeConfig,top.thinkin.lightd.db.DB]",raftGroupService,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/raft/src/main/java/top/thinkin/lightd/raft/KitRaft.java,top.thinkin.lightd.raft.KitRaft,"KitRaft/3[top.thinkin.lightd.raft.GroupConfig,top.thinkin.lightd.raft.NodeConfig,top.thinkin.lightd.db.DB]",dbsm,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/raft/src/main/java/top/thinkin/lightd/raft/KitRaft.java,top.thinkin.lightd.raft.KitRaft,removeNode/1[java.lang.String],node,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/raft/src/main/java/top/thinkin/lightd/raft/KitRaft.java,top.thinkin.lightd.raft.KitRaft,removeNode/1[java.lang.String],LOG,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/raft/src/main/java/top/thinkin/lightd/raft/KitRaft.java,top.thinkin.lightd.raft.KitRaft,getFsm/0,dbsm,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/raft/src/main/java/top/thinkin/lightd/raft/KitRaft.java,top.thinkin.lightd.raft.KitRaft,getAliveNodes/0,node,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/KitDB/../../KitDB/raft/src/main/java/top/thinkin/lightd/raft/KitRaft.java,top.thinkin.lightd.raft.KitRaft,getLeaderIP/0,node,2
