file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-common/src/main/java/com/lealone/server/protocol/session/SessionInitAck.java,com.lealone.server.protocol.session.SessionInitAck$Decoder,innerclass,4,4,0,4,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,16,2,0,0,0,0,0,1,6,0,6,1,0,0,0,24,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-sql/src/main/java/com/lealone/sql/ddl/SchemaStatement.java,com.lealone.sql.ddl.SchemaStatement,class,5,36,31,5,5,3,31,4,0,0.0,1.0,1.0,3,0,1,0,2,0,3,0,0,0,1,0,0,0,1,0,1,0,0,17,4,0,1,0,0,0,0,2,0,2,1,0,0,0,28,1025,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageOperations.java,com.lealone.storage.aose.btree.page.PageOperations$TmpNodePage,innerclass,3,3,0,3,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,0,0,4,4,0,0,15,0,0,0,0,0,0,0,4,0,4,0,0,0,0,12,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-server/src/main/java/com/lealone/server/handler/StatementListPacketHandlers.java,com.lealone.server.handler.StatementListPacketHandlers$Update,innerclass,11,11,0,11,9,3,0,22,1,0.0,NaN,NaN,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,3,0,0,1,2,11,0,11,2,1,0,1,33,8,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-server/src/main/java/com/lealone/server/handler/SessionPacketHandlers.java,com.lealone.server.handler.SessionPacketHandlers,class,5,6,1,5,1,2,0,1,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-test/src/test/java/com/lealone/test/sql/function/DateTimeFunctionTest.java,com.lealone.test.sql.function.DateTimeFunctionTest,class,3,4,1,3,11,4,0,15,10,0.0,0.0,0.0,5,0,1,0,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,3,0,0,56,55,26,3,6,0,0,0,0,64,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,class,3,15,12,3,23,2,2,6,117,0.83458656,0.14035088,0.3859649,19,0,19,0,0,0,19,0,0,0,7,0,7,0,0,0,0,0,1,103,13,0,2,0,0,0,4,18,1,9,1,0,1,0,37,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-common/src/main/java/com/lealone/server/protocol/result/ResultChangeId.java,com.lealone.server.protocol.result.ResultChangeId,class,5,7,2,5,3,1,0,1,1,0.44444445,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,3,1,3,0,0,0,3,0,0,20,1,0,0,0,0,0,0,3,0,3,0,0,1,0,20,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-common/src/main/java/com/lealone/db/DataBufferFactory.java,com.lealone.db.DataBufferFactory,interface,4,11,7,4,6,1,0,1,15,0.0,0.0,0.0,6,2,2,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,94,3,0,0,0,0,0,0,0,0,0,0,0,2,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-test/src/test/java/com/lealone/test/aose/BTreeGCTest.java,com.lealone.test.aose.BTreeGCTest,class,1,1,0,1,4,4,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,26,0,1,2,0,3,8,10,13,9,9,2,0,0,0,25,1,0
