file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-sql/src/main/java/com/lealone/sql/ddl/SchemaStatement.java,com.lealone.sql.ddl.SchemaStatement,getSchema/0,schema,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-sql/src/main/java/com/lealone/sql/ddl/SchemaStatement.java,com.lealone.sql.ddl.SchemaStatement,"SchemaStatement/2[com.lealone.sql.ddl.ServerSession,com.lealone.sql.ddl.Schema]",schema,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-sql/src/main/java/com/lealone/sql/ddl/SchemaStatement.java,com.lealone.sql.ddl.SchemaStatement,tryAlterTable/1[com.lealone.sql.ddl.Table],schema,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageOperations.java,com.lealone.storage.aose.btree.page.PageOperations$TmpNodePage,"TmpNodePage/5[com.lealone.storage.aose.btree.page.Page,com.lealone.storage.aose.btree.page.PageReference,com.lealone.storage.aose.btree.page.PageReference,java.lang.Object,com.lealone.storage.aose.btree.page.PageInfo]",parent,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageOperations.java,com.lealone.storage.aose.btree.page.PageOperations$TmpNodePage,"TmpNodePage/5[com.lealone.storage.aose.btree.page.Page,com.lealone.storage.aose.btree.page.PageReference,com.lealone.storage.aose.btree.page.PageReference,java.lang.Object,com.lealone.storage.aose.btree.page.PageInfo]",left,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageOperations.java,com.lealone.storage.aose.btree.page.PageOperations$TmpNodePage,"TmpNodePage/5[com.lealone.storage.aose.btree.page.Page,com.lealone.storage.aose.btree.page.PageReference,com.lealone.storage.aose.btree.page.PageReference,java.lang.Object,com.lealone.storage.aose.btree.page.PageInfo]",right,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageOperations.java,com.lealone.storage.aose.btree.page.PageOperations$TmpNodePage,"TmpNodePage/5[com.lealone.storage.aose.btree.page.Page,com.lealone.storage.aose.btree.page.PageReference,com.lealone.storage.aose.btree.page.PageReference,java.lang.Object,com.lealone.storage.aose.btree.page.PageInfo]",key,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,getPage/0,page,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,updateTime/1[com.lealone.storage.aose.btree.page.PageInfo],lastTime,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,updateTime/1[com.lealone.storage.aose.btree.page.PageInfo],hits,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,releasePage/0,page,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,updateTime/0,lastTime,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,updateTime/0,hits,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,"PageInfo/2[com.lealone.storage.aose.btree.page.Page,long]",pos,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,"PageInfo/2[com.lealone.storage.aose.btree.page.Page,long]",page,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,copy/1[boolean],lastTime,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,copy/1[boolean],hits,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,copy/1[boolean],pageLength,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,copy/1[boolean],pos,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,copy/1[boolean],page,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,copy/1[boolean],markDirtyCount,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,copy/1[boolean],buff,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,releaseBuff/0,buff,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,getHits/0,hits,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,getPos/0,pos,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,getPageMemory/0,page,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,getLastTime/0,lastTime,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,getBuffMemory/0,buff,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-common/src/main/java/com/lealone/server/protocol/result/ResultChangeId.java,com.lealone.server.protocol.result.ResultChangeId,"ResultChangeId/2[int,int]",newId,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-common/src/main/java/com/lealone/server/protocol/result/ResultChangeId.java,com.lealone.server.protocol.result.ResultChangeId,"ResultChangeId/2[int,int]",oldId,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-common/src/main/java/com/lealone/server/protocol/result/ResultChangeId.java,com.lealone.server.protocol.result.ResultChangeId,"encode/2[com.lealone.net.NetOutputStream,int]",newId,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-common/src/main/java/com/lealone/server/protocol/result/ResultChangeId.java,com.lealone.server.protocol.result.ResultChangeId,"encode/2[com.lealone.net.NetOutputStream,int]",oldId,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-net/src/main/java/com/lealone/net/NetServerBase.java,com.lealone.net.NetServerBase,"createConnection/2[com.lealone.net.WritableChannel,com.lealone.net.Scheduler]",connectionManager,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-net/src/main/java/com/lealone/net/NetServerBase.java,com.lealone.net.NetServerBase,setConnectionManager/1[com.lealone.net.AsyncConnectionManager],connectionManager,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-net/src/main/java/com/lealone/net/NetServerBase.java,com.lealone.net.NetServerBase,check/0,connectionManager,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-net/src/main/java/com/lealone/net/NetServerBase.java,com.lealone.net.NetServerBase,removeConnection/1[com.lealone.net.AsyncConnection],connectionManager,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-sql/src/main/java/com/lealone/sql/dml/Explain.java,com.lealone.sql.dml.Explain,query/1[int],result,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-sql/src/main/java/com/lealone/sql/dml/Explain.java,com.lealone.sql.dml.Explain,query/1[int],executeCommand,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-sql/src/main/java/com/lealone/sql/dml/Explain.java,com.lealone.sql.dml.Explain,query/1[int],command,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-sql/src/main/java/com/lealone/sql/dml/Explain.java,com.lealone.sql.dml.Explain,setCommand/1[com.lealone.sql.StatementBase],command,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-sql/src/main/java/com/lealone/sql/dml/Explain.java,com.lealone.sql.dml.Explain,setExecuteCommand/1[boolean],executeCommand,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-sql/src/main/java/com/lealone/sql/dml/Explain.java,com.lealone.sql.dml.Explain,add/1[java.lang.String],result,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-sql/src/main/java/com/lealone/sql/dml/Explain.java,com.lealone.sql.dml.Explain,prepare/0,command,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-common/src/main/java/com/lealone/server/protocol/result/ResultFetchRowsAck.java,com.lealone.server.protocol.result.ResultFetchRowsAck,"ResultFetchRowsAck/2[com.lealone.db.result.Result,int]",result,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-common/src/main/java/com/lealone/server/protocol/result/ResultFetchRowsAck.java,com.lealone.server.protocol.result.ResultFetchRowsAck,"ResultFetchRowsAck/2[com.lealone.db.result.Result,int]",in,1
