file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-common/src/main/java/com/lealone/server/protocol/session/SessionInitAck.java,com.lealone.server.protocol.session.SessionInitAck$Decoder,"decode/2[com.lealone.net.NetInputStream,int]",false,58,3,5,0,5,2,4,14,2,6,2,4,0,0,0,0,0,0,0,1,6,0,1,0,0,0,23,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-sql/src/main/java/com/lealone/sql/ddl/SchemaStatement.java,com.lealone.sql.ddl.SchemaStatement,getSchema/0,false,38,1,7,7,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-sql/src/main/java/com/lealone/sql/ddl/SchemaStatement.java,com.lealone.sql.ddl.SchemaStatement,"SchemaStatement/2[com.lealone.sql.ddl.ServerSession,com.lealone.sql.ddl.Schema]",true,27,2,0,0,0,1,2,5,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-sql/src/main/java/com/lealone/sql/ddl/SchemaStatement.java,com.lealone.sql.ddl.SchemaStatement,tryAlterTable/1[com.lealone.sql.ddl.Table],false,42,2,4,4,0,3,2,6,3,1,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,10,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageOperations.java,com.lealone.storage.aose.btree.page.PageOperations$TmpNodePage,"TmpNodePage/5[com.lealone.storage.aose.btree.page.Page,com.lealone.storage.aose.btree.page.PageReference,com.lealone.storage.aose.btree.page.PageReference,java.lang.Object,com.lealone.storage.aose.btree.page.PageInfo]",true,457,3,4,1,3,1,3,9,0,0,5,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-server/src/main/java/com/lealone/server/handler/StatementListPacketHandlers.java,com.lealone.server.handler.StatementListPacketHandlers$Update,"createYieldableUpdate/2[com.lealone.server.scheduler.PacketHandleTask,com.lealone.sql.PreparedSQLStatement]",false,109,6,4,1,3,4,13,46,0,11,2,13,0,0,1,0,0,0,1,1,11,0,2,1,0,1,34,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-server/src/main/java/com/lealone/server/handler/StatementListPacketHandlers.java,com.lealone.server.handler.StatementListPacketHandlers$Update,"handleAsyncResult/5[com.lealone.server.scheduler.PacketHandleTask,com.lealone.db.async.AsyncResult<?>,java.util.concurrent.atomic.AtomicInteger,java.util.concurrent.atomic.AtomicReference<java.lang.Integer>,java.util.concurrent.atomic.AtomicReference<java.lang.Throwable>]",false,96,4,5,1,4,5,9,11,0,0,5,9,0,0,0,3,0,0,0,1,0,0,2,0,0,0,9,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-server/src/main/java/com/lealone/server/handler/SessionPacketHandlers.java,com.lealone.server.handler.SessionPacketHandlers,register/0,false,19,4,5,1,4,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-test/src/test/java/com/lealone/test/sql/function/DateTimeFunctionTest.java,com.lealone.test.sql.function.DateTimeFunctionTest,init/0,false,20,2,3,1,2,1,2,5,0,0,0,2,1,1,0,0,0,0,3,0,0,1,0,0,0,0,30,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-test/src/test/java/com/lealone/test/sql/function/DateTimeFunctionTest.java,com.lealone.test.sql.function.DateTimeFunctionTest,insert/0,false,28,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,18,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-test/src/test/java/com/lealone/test/sql/function/DateTimeFunctionTest.java,com.lealone.test.sql.function.DateTimeFunctionTest,test0/0,false,33,1,5,1,4,7,10,39,0,6,0,10,0,0,0,3,0,0,33,55,8,1,0,0,0,0,40,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-test/src/test/java/com/lealone/test/sql/function/DateTimeFunctionTest.java,com.lealone.test.sql.function.DateTimeFunctionTest,run/0,false,15,2,2,0,2,1,2,4,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-test/src/test/java/com/lealone/test/sql/function/DateTimeFunctionTest.java,com.lealone.test.sql.function.DateTimeFunctionTest,test/0,false,123,1,1,0,1,1,1,21,0,0,0,1,0,0,0,0,0,0,18,0,18,0,0,0,0,0,31,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,getNewRef/0,false,102,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,copy/1[long],false,78,1,4,3,1,1,1,5,1,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,getPage/0,false,42,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,updateTime/1[com.lealone.storage.aose.btree.page.PageInfo],false,37,1,2,2,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,getLeftRef/0,false,106,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,releasePage/0,false,74,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,updateTime/0,false,30,0,3,3,0,2,1,5,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,"PageInfo/2[com.lealone.storage.aose.btree.page.Page,long]",true,25,1,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,PageInfo/0,true,22,0,3,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,copy/1[boolean],false,84,1,4,3,1,2,0,13,1,1,1,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,15,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,getTotalMemory/0,false,58,1,6,4,2,1,2,3,1,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,getRightRef/0,false,110,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,isSplitted/0,false,98,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,releaseBuff/0,false,70,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,getHits/0,false,66,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,getPos/0,false,46,0,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,getPageMemory/0,false,50,1,4,3,1,2,1,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,getLastTime/0,false,62,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-aose/src/main/java/com/lealone/storage/aose/btree/page/PageInfo.java,com.lealone.storage.aose.btree.page.PageInfo,getBuffMemory/0,false,54,0,6,6,0,2,1,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-common/src/main/java/com/lealone/server/protocol/result/ResultChangeId.java,com.lealone.server.protocol.result.ResultChangeId,getType/0,false,27,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-common/src/main/java/com/lealone/server/protocol/result/ResultChangeId.java,com.lealone.server.protocol.result.ResultChangeId,"ResultChangeId/2[int,int]",true,21,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-common/src/main/java/com/lealone/server/protocol/result/ResultChangeId.java,com.lealone.server.protocol.result.ResultChangeId,"encode/2[com.lealone.net.NetOutputStream,int]",false,32,1,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-common/src/main/java/com/lealone/db/DataBufferFactory.java,com.lealone.db.DataBufferFactory,getConcurrentFactory/0,false,27,2,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-common/src/main/java/com/lealone/db/DataBufferFactory.java,com.lealone.db.DataBufferFactory,recycle/1[com.lealone.db.DataBuffer],false,21,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-common/src/main/java/com/lealone/db/DataBufferFactory.java,com.lealone.db.DataBufferFactory,getSingleThreadFactory/0,false,23,2,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Lealone/../../Lealone/lealone-common/src/main/java/com/lealone/db/DataBufferFactory.java,com.lealone.db.DataBufferFactory,create/0,false,13,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
