file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getDefaultCharacterSet/0,defaultCharacterSet,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getPort/0,port,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getArgs/0,args,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getBaseDir/0,baseDir,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getDataDir/0,dataDir,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getLibDir/0,libDir,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getExecutable/1[ch.vorburger.mariadb4j.DBConfiguration.Executable],executables,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getOSLibraryEnvironmentVarName/0,osLibraryEnvironmentVarName,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,"Impl/16[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean,java.util.List<java.lang.String>,java.lang.String,boolean,boolean,java.util.function.Function<java.lang.String,java.lang.String>,java.lang.String,java.util.Map<ch.vorburger.mariadb4j.DBConfiguration.Executable,java.util.function.Supplier<java.io.File>>,ch.vorburger.mariadb4j.ManagedProcessListener]",executables,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,"Impl/16[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean,java.util.List<java.lang.String>,java.lang.String,boolean,boolean,java.util.function.Function<java.lang.String,java.lang.String>,java.lang.String,java.util.Map<ch.vorburger.mariadb4j.DBConfiguration.Executable,java.util.function.Supplier<java.io.File>>,ch.vorburger.mariadb4j.ManagedProcessListener]",dataDir,3
