file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/Util.java,ch.vorburger.mariadb4j.Util$Procedure,apply/0,false,169,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/ManagedProcessRuntimeException.java,ch.vorburger.mariadb4j.ManagedProcessRuntimeException,ManagedProcessRuntimeException/1[ch.vorburger.mariadb4j.ManagedProcessException],true,36,1,2,2,0,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getDefaultCharacterSet/0,false,221,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getPort/0,false,165,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getArgs/0,false,201,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getBaseDir/0,false,177,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getDataDir/0,false,185,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getLibDir/0,false,181,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getExecutable/1[ch.vorburger.mariadb4j.DBConfiguration.Executable],false,225,1,0,0,0,1,3,6,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getOSLibraryEnvironmentVarName/0,false,205,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,"Impl/16[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean,java.util.List<java.lang.String>,java.lang.String,boolean,boolean,java.util.function.Function<java.lang.String,java.lang.String>,java.lang.String,java.util.Map<ch.vorburger.mariadb4j.DBConfiguration.Executable,java.util.function.Supplier<java.io.File>>,ch.vorburger.mariadb4j.ManagedProcessListener]",true,146,2,1,1,0,1,0,18,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,39,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,isWindows/0,false,197,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getSocket/0,false,169,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getBinariesClassPathLocation/0,false,173,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,isDeletingTemporaryBaseAndDataDirsOnShutdown/0,false,193,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getProcessListener/0,false,217,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
