file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/ManagedProcessRuntimeException.java,ch.vorburger.mariadb4j.ManagedProcessRuntimeException,ManagedProcessRuntimeException/1[ch.vorburger.mariadb4j.ManagedProcessException],original,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,getExecutable/1[ch.vorburger.mariadb4j.DBConfiguration.Executable],executable,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,"Impl/16[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean,java.util.List<java.lang.String>,java.lang.String,boolean,boolean,java.util.function.Function<java.lang.String,java.lang.String>,java.lang.String,java.util.Map<ch.vorburger.mariadb4j.DBConfiguration.Executable,java.util.function.Supplier<java.io.File>>,ch.vorburger.mariadb4j.ManagedProcessListener]",executables,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,"Impl/16[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean,java.util.List<java.lang.String>,java.lang.String,boolean,boolean,java.util.function.Function<java.lang.String,java.lang.String>,java.lang.String,java.util.Map<ch.vorburger.mariadb4j.DBConfiguration.Executable,java.util.function.Supplier<java.io.File>>,ch.vorburger.mariadb4j.ManagedProcessListener]",dataDir,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,"Impl/16[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean,java.util.List<java.lang.String>,java.lang.String,boolean,boolean,java.util.function.Function<java.lang.String,java.lang.String>,java.lang.String,java.util.Map<ch.vorburger.mariadb4j.DBConfiguration.Executable,java.util.function.Supplier<java.io.File>>,ch.vorburger.mariadb4j.ManagedProcessListener]",isDeletingTemporaryBaseAndDataDirsOnShutdown,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,"Impl/16[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean,java.util.List<java.lang.String>,java.lang.String,boolean,boolean,java.util.function.Function<java.lang.String,java.lang.String>,java.lang.String,java.util.Map<ch.vorburger.mariadb4j.DBConfiguration.Executable,java.util.function.Supplier<java.io.File>>,ch.vorburger.mariadb4j.ManagedProcessListener]",libDir,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,"Impl/16[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean,java.util.List<java.lang.String>,java.lang.String,boolean,boolean,java.util.function.Function<java.lang.String,java.lang.String>,java.lang.String,java.util.Map<ch.vorburger.mariadb4j.DBConfiguration.Executable,java.util.function.Supplier<java.io.File>>,ch.vorburger.mariadb4j.ManagedProcessListener]",listener,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,"Impl/16[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean,java.util.List<java.lang.String>,java.lang.String,boolean,boolean,java.util.function.Function<java.lang.String,java.lang.String>,java.lang.String,java.util.Map<ch.vorburger.mariadb4j.DBConfiguration.Executable,java.util.function.Supplier<java.io.File>>,ch.vorburger.mariadb4j.ManagedProcessListener]",osLibraryEnvironmentVarName,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,"Impl/16[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean,java.util.List<java.lang.String>,java.lang.String,boolean,boolean,java.util.function.Function<java.lang.String,java.lang.String>,java.lang.String,java.util.Map<ch.vorburger.mariadb4j.DBConfiguration.Executable,java.util.function.Supplier<java.io.File>>,ch.vorburger.mariadb4j.ManagedProcessListener]",baseDir,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,"Impl/16[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean,java.util.List<java.lang.String>,java.lang.String,boolean,boolean,java.util.function.Function<java.lang.String,java.lang.String>,java.lang.String,java.util.Map<ch.vorburger.mariadb4j.DBConfiguration.Executable,java.util.function.Supplier<java.io.File>>,ch.vorburger.mariadb4j.ManagedProcessListener]",tmpDir,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,"Impl/16[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean,java.util.List<java.lang.String>,java.lang.String,boolean,boolean,java.util.function.Function<java.lang.String,java.lang.String>,java.lang.String,java.util.Map<ch.vorburger.mariadb4j.DBConfiguration.Executable,java.util.function.Supplier<java.io.File>>,ch.vorburger.mariadb4j.ManagedProcessListener]",args,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,"Impl/16[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean,java.util.List<java.lang.String>,java.lang.String,boolean,boolean,java.util.function.Function<java.lang.String,java.lang.String>,java.lang.String,java.util.Map<ch.vorburger.mariadb4j.DBConfiguration.Executable,java.util.function.Supplier<java.io.File>>,ch.vorburger.mariadb4j.ManagedProcessListener]",getURL,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,"Impl/16[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean,java.util.List<java.lang.String>,java.lang.String,boolean,boolean,java.util.function.Function<java.lang.String,java.lang.String>,java.lang.String,java.util.Map<ch.vorburger.mariadb4j.DBConfiguration.Executable,java.util.function.Supplier<java.io.File>>,ch.vorburger.mariadb4j.ManagedProcessListener]",port,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/MariaDB4j/../../MariaDB4j/mariaDB4j-core/src/main/java/ch/vorburger/mariadb4j/DBConfiguration.java,ch.vorburger.mariadb4j.DBConfiguration$Impl,"Impl/16[int,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,java.lang.String,boolean,java.util.List<java.lang.String>,java.lang.String,boolean,boolean,java.util.function.Function<java.lang.String,java.lang.String>,java.lang.String,java.util.Map<ch.vorburger.mariadb4j.DBConfiguration.Executable,java.util.function.Supplier<java.io.File>>,ch.vorburger.mariadb4j.ManagedProcessListener]",binariesClassPathLocation,2
