file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/setup/couchdb/bjornloka/src/main/java/jp/aegif/nemaki/bjornloka/dump/DumpAction.java,jp.aegif.nemaki.bjornloka.dump.DumpAction,class,9,14,5,9,14,1,2,19,0,0.375,0.5,0.5,4,2,4,0,0,0,4,1,0,0,4,0,0,0,3,1,0,0,2,67,4,2,0,2,3,4,4,14,9,14,1,0,0,0,47,1025,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/rest/SolrResource.java,jp.aegif.nemaki.rest.SolrResource,class,17,18,1,17,16,2,0,23,1,0.2857143,0.6666667,0.6666667,7,0,6,1,0,0,6,0,0,0,1,0,0,1,0,0,0,0,1,110,9,0,3,3,0,25,0,53,3,43,2,0,0,0,83,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/patch/AbstractNemakiPatch.java,jp.aegif.nemaki.patch.AbstractNemakiPatch,class,6,11,5,6,9,1,3,10,13,0.77777773,0.06666667,0.06666667,6,0,4,0,2,0,6,3,0,0,3,1,0,1,2,0,1,0,0,34,0,1,0,1,0,12,0,4,3,4,3,0,0,0,23,1025,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/util/YamlManager.java,jp.aegif.nemaki.util.YamlManager,class,2,7,5,2,5,1,0,10,0,0.25,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,1,0,0,28,2,1,1,1,1,3,1,9,1,7,2,0,0,0,28,1,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/setup/installer/install-util/src/main/java/jp/aegif/nemaki/installer/ConfigTomcat.java,jp.aegif.nemaki.installer.ConfigTomcat,class,2,4,2,2,21,1,0,15,1,0.5833334,0.0,0.0,6,6,2,4,0,0,2,0,0,0,4,4,0,4,0,0,3,0,12,74,4,1,3,1,0,26,8,19,6,16,1,0,0,0,53,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/businesslogic/rendition/impl/JodRenditionManagerImpl.java,jp.aegif.nemaki.businesslogic.rendition.impl.JodRenditionManagerImpl,class,14,15,1,14,22,1,0,42,13,0.6666667,0.6666667,1.0,7,0,4,3,0,0,4,0,0,0,3,1,0,3,0,0,1,0,3,110,11,2,7,4,4,12,9,29,2,27,3,0,0,0,66,1,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/setup/installer/install-util/src/main/java/jp/aegif/nemaki/installer/ConfigShare.java,jp.aegif.nemaki.installer.ConfigShare,class,2,4,2,2,7,1,0,6,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,31,1,0,2,0,0,10,6,11,3,6,1,0,0,0,32,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/rest/BulkCheckInResource.java,jp.aegif.nemaki.rest.BulkCheckInResource,class,44,45,1,44,43,2,0,59,26,0.84126985,0.17857143,0.35714287,9,0,8,1,0,0,8,0,0,0,7,1,0,7,0,0,1,0,3,258,5,6,5,1,0,47,11,80,3,70,7,0,1,0,139,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/test/java/jp/aegif/nemaki/cmis/original/MultiThreadTest.java,jp.aegif.nemaki.cmis.original.MultiThreadTest$CheckInTask,innerclass,6,6,0,6,2,1,0,6,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,1,16,0,0,0,0,0,3,0,7,0,7,0,0,0,0,23,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/rest/AuthenticationFilter.java,jp.aegif.nemaki.rest.AuthenticationFilter,class,15,16,1,15,29,1,0,24,30,0.82222223,0.04761905,0.04761905,9,0,7,2,0,0,7,0,0,0,5,0,0,5,0,0,1,0,0,100,5,1,0,0,0,10,6,32,1,23,3,0,0,0,80,1,1
