file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/setup/couchdb/bjornloka/src/main/java/jp/aegif/nemaki/bjornloka/dump/DumpAction.java,jp.aegif.nemaki.bjornloka.dump.DumpAction,dump/0,false,45,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1025,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/setup/couchdb/bjornloka/src/main/java/jp/aegif/nemaki/bjornloka/dump/DumpAction.java,jp.aegif.nemaki.bjornloka.dump.DumpAction,"getInstance/4[java.lang.String,java.lang.String,java.io.File,boolean]",false,35,4,5,2,3,3,1,9,3,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/setup/couchdb/bjornloka/src/main/java/jp/aegif/nemaki/bjornloka/dump/DumpAction.java,jp.aegif.nemaki.bjornloka.dump.DumpAction,"action/3[jp.aegif.nemaki.bjornloka.proxy.CouchProxy,java.io.File,boolean]",false,48,5,10,2,8,9,17,44,1,10,3,17,0,0,2,0,2,3,4,4,10,9,2,0,0,0,35,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/setup/couchdb/bjornloka/src/main/java/jp/aegif/nemaki/bjornloka/dump/DumpAction.java,jp.aegif.nemaki.bjornloka.dump.DumpAction,"DumpAction/4[java.lang.String,java.lang.String,java.io.File,boolean]",true,27,1,1,0,1,1,1,7,0,0,4,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/rest/SolrResource.java,jp.aegif.nemaki.rest.SolrResource,setSolrUtil/1[jp.aegif.nemaki.cmis.aspect.query.solr.SolrUtil],false,200,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/rest/SolrResource.java,jp.aegif.nemaki.rest.SolrResource,"changeAdminPassword/4[java.lang.String,java.lang.String,java.lang.String,jp.aegif.nemaki.rest.HttpServletRequest]",false,129,8,1,0,1,1,2,4,1,1,4,2,1,2,0,0,0,0,4,0,1,0,0,0,0,0,14,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/rest/SolrResource.java,jp.aegif.nemaki.rest.SolrResource,"initialize/2[java.lang.String,jp.aegif.nemaki.rest.HttpServletRequest]",false,49,14,4,0,4,4,12,27,2,10,2,12,1,1,0,1,1,0,5,0,13,1,2,0,0,0,41,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/rest/SolrResource.java,jp.aegif.nemaki.rest.SolrResource,"reindex/2[java.lang.String,jp.aegif.nemaki.rest.HttpServletRequest]",false,88,14,4,0,4,4,12,27,2,10,2,12,1,1,0,1,1,0,5,0,13,1,2,0,0,0,45,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/rest/SolrResource.java,jp.aegif.nemaki.rest.SolrResource,checkSuccess/1[java.lang.String],false,181,1,5,3,2,1,8,11,1,7,1,8,0,0,0,0,0,0,3,0,8,0,0,0,0,0,19,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/rest/SolrResource.java,jp.aegif.nemaki.rest.SolrResource,"changeAdminPasswordImpl/4[java.lang.String,java.lang.String,java.lang.String,jp.aegif.nemaki.rest.HttpServletRequest]",false,135,9,5,1,4,4,12,26,2,10,4,12,1,1,0,1,1,0,5,0,12,1,2,0,0,0,57,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/rest/SolrResource.java,jp.aegif.nemaki.rest.SolrResource,url/0,false,32,7,2,0,2,1,4,9,1,4,0,4,0,0,0,0,0,0,2,0,5,0,0,0,0,0,16,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/patch/AbstractNemakiPatch.java,jp.aegif.nemaki.patch.AbstractNemakiPatch,apply/0,false,19,3,8,1,7,4,9,20,0,1,0,9,3,1,1,0,1,0,12,0,1,3,3,0,0,0,13,1,3,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/patch/AbstractNemakiPatch.java,jp.aegif.nemaki.patch.AbstractNemakiPatch,getName/0,false,41,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1025,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/patch/AbstractNemakiPatch.java,jp.aegif.nemaki.patch.AbstractNemakiPatch,applyPerRepositoryPatch/1[java.lang.String],false,40,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1028,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/patch/AbstractNemakiPatch.java,jp.aegif.nemaki.patch.AbstractNemakiPatch,setPatchUtil/1[jp.aegif.nemaki.patch.PatchUtil],false,43,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/patch/AbstractNemakiPatch.java,jp.aegif.nemaki.patch.AbstractNemakiPatch,setPrincipalService/1[jp.aegif.nemaki.businesslogic.PrincipalService],false,47,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/patch/AbstractNemakiPatch.java,jp.aegif.nemaki.patch.AbstractNemakiPatch,applySystemPatch/0,false,39,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1028,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/util/YamlManager.java,jp.aegif.nemaki.util.YamlManager,YamlManager/1[java.lang.String],true,38,0,7,7,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/core/src/main/java/jp/aegif/nemaki/util/YamlManager.java,jp.aegif.nemaki.util.YamlManager,loadYml/0,false,42,0,7,7,0,4,9,21,2,5,0,9,0,0,1,1,1,1,3,1,6,1,2,0,0,0,24,1,2,false
