file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/setup/couchdb/bjornloka/src/main/java/jp/aegif/nemaki/bjornloka/dump/DumpAction.java,jp.aegif.nemaki.bjornloka.dump.DumpAction,"getInstance/4[java.lang.String,java.lang.String,java.io.File,boolean]",file,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/setup/couchdb/bjornloka/src/main/java/jp/aegif/nemaki/bjornloka/dump/DumpAction.java,jp.aegif.nemaki.bjornloka.dump.DumpAction,"getInstance/4[java.lang.String,java.lang.String,java.io.File,boolean]",repositoryId,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/setup/couchdb/bjornloka/src/main/java/jp/aegif/nemaki/bjornloka/dump/DumpAction.java,jp.aegif.nemaki.bjornloka.dump.DumpAction,"getInstance/4[java.lang.String,java.lang.String,java.io.File,boolean]",url,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/setup/couchdb/bjornloka/src/main/java/jp/aegif/nemaki/bjornloka/dump/DumpAction.java,jp.aegif.nemaki.bjornloka.dump.DumpAction,"getInstance/4[java.lang.String,java.lang.String,java.io.File,boolean]",omitTimestamp,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/setup/couchdb/bjornloka/src/main/java/jp/aegif/nemaki/bjornloka/dump/DumpAction.java,jp.aegif.nemaki.bjornloka.dump.DumpAction,"action/3[jp.aegif.nemaki.bjornloka.proxy.CouchProxy,java.io.File,boolean]",indicator,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/setup/couchdb/bjornloka/src/main/java/jp/aegif/nemaki/bjornloka/dump/DumpAction.java,jp.aegif.nemaki.bjornloka.dump.DumpAction,"action/3[jp.aegif.nemaki.bjornloka.proxy.CouchProxy,java.io.File,boolean]",toIndex,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/setup/couchdb/bjornloka/src/main/java/jp/aegif/nemaki/bjornloka/dump/DumpAction.java,jp.aegif.nemaki.bjornloka.dump.DumpAction,"action/3[jp.aegif.nemaki.bjornloka.proxy.CouchProxy,java.io.File,boolean]",e,9
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/setup/couchdb/bjornloka/src/main/java/jp/aegif/nemaki/bjornloka/dump/DumpAction.java,jp.aegif.nemaki.bjornloka.dump.DumpAction,"action/3[jp.aegif.nemaki.bjornloka.proxy.CouchProxy,java.io.File,boolean]",keys,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/setup/couchdb/bjornloka/src/main/java/jp/aegif/nemaki/bjornloka/dump/DumpAction.java,jp.aegif.nemaki.bjornloka.dump.DumpAction,"action/3[jp.aegif.nemaki.bjornloka.proxy.CouchProxy,java.io.File,boolean]",document,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/NemakiWare/../../NemakiWare/setup/couchdb/bjornloka/src/main/java/jp/aegif/nemaki/bjornloka/dump/DumpAction.java,jp.aegif.nemaki.bjornloka.dump.DumpAction,"action/3[jp.aegif.nemaki.bjornloka.proxy.CouchProxy,java.io.File,boolean]",i,5
