file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/sql/expression/ColumnExpression.java,com.github.braisdom.objsql.sql.expression.ColumnExpression,class,7,8,1,7,4,2,0,3,4,0.5,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,1,17,3,0,0,0,0,1,0,2,0,2,0,0,0,0,18,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/springboot-sample/src/main/java/com/github/braisdom/objsql/sample/model/Member.java,com.github.braisdom.objsql.sample.model.Member,class,10,16,6,10,1,1,0,12,0,0.5,NaN,NaN,1,1,1,0,0,0,1,0,0,0,6,0,0,6,0,0,0,0,5,17,1,0,0,0,0,5,0,3,0,9,0,0,0,0,33,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/postgres/src/main/java/com/github/braisdom/objsql/example/SQLFile.java,com.github.braisdom.objsql.example.SQLFile,class,1,7,6,1,4,1,0,11,1,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,26,1,1,1,1,1,1,0,6,0,6,2,0,0,0,25,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/mangosdk/src/test/resources/valid/SuperClass.java,SuperClass,class,0,1,1,0,0,1,1,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/postgres/src/main/java/com/github/braisdom/objsql/example/PostgresExample.java,com.github.braisdom.objsql.example.PostgresExample$SqliteConnectionFactory,innerclass,1,1,0,1,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,1,0,3,0,1,0,1,1,0,0,0,15,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/sqlserver/src/main/java/com/github/braisdom/objsql/example/ComplexSQLExample.java,ComplexSQLExample,class,14,22,0,22,10,1,0,32,6,0.75,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,1,0,1,0,0,1,0,0,46,0,2,1,0,1,108,18,20,3,20,1,0,0,0,35,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/Databases.java,com.github.braisdom.objsql.Databases$Benchmarkable,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/sql/DefaultColumn.java,com.github.braisdom.objsql.sql.DefaultColumn$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/ConnectionFactory.java,com.github.braisdom.objsql.ConnectionFactory,interface,0,15,15,0,2,1,0,1,1,0.5,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,7,1,0,0,0,0,1,0,1,0,1,0,0,0,0,61,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/AbstractPersistence.java,com.github.braisdom.objsql.AbstractPersistence,class,6,8,2,6,7,1,0,13,13,0.77777773,0.06666667,0.06666667,6,0,2,0,4,0,6,0,0,0,3,2,0,2,1,0,3,0,6,35,6,0,0,0,0,9,0,6,0,7,2,0,0,1,57,1025,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/jdbc/handlers/ArrayHandler.java,com.github.braisdom.objsql.jdbc.handlers.ArrayHandler,class,3,3,0,3,4,1,0,2,1,0.5555556,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,3,2,0,2,0,1,3,0,0,15,1,0,0,0,0,0,1,3,0,3,0,0,0,0,79,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/sql/Expression.java,com.github.braisdom.objsql.sql.Expression,interface,4,36,32,4,37,1,0,11,666,0.0,0.0,0.0,37,0,0,0,0,37,37,0,0,0,0,0,0,0,0,0,0,0,30,99,30,0,0,0,0,0,0,0,0,0,0,0,0,0,37,1,0
