file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/sql/expression/ColumnExpression.java,com.github.braisdom.objsql.sql.expression.ColumnExpression,toSql/1[com.github.braisdom.objsql.sql.ExpressionContext],expression,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/sql/expression/ColumnExpression.java,com.github.braisdom.objsql.sql.expression.ColumnExpression,toSql/1[com.github.braisdom.objsql.sql.ExpressionContext],column,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/sql/expression/ColumnExpression.java,com.github.braisdom.objsql.sql.expression.ColumnExpression,"ColumnExpression/2[com.github.braisdom.objsql.sql.Column,com.github.braisdom.objsql.sql.Expression]",expression,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/sql/expression/ColumnExpression.java,com.github.braisdom.objsql.sql.expression.ColumnExpression,"ColumnExpression/2[com.github.braisdom.objsql.sql.Column,com.github.braisdom.objsql.sql.Expression]",column,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/postgres/src/main/java/com/github/braisdom/objsql/example/SQLFile.java,com.github.braisdom.objsql.example.SQLFile,getSqls/0,sqls,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/postgres/src/main/java/com/github/braisdom/objsql/example/SQLFile.java,com.github.braisdom.objsql.example.SQLFile,loadSqls/1[java.lang.String],sqls,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/ConnectionFactory.java,com.github.braisdom.objsql.ConnectionFactory,isDefaultDataSource/1[java.lang.String],DEFAULT_DATA_SOURCE_NAME,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/AbstractPersistence.java,com.github.braisdom.objsql.AbstractPersistence,AbstractPersistence/1[com.github.braisdom.objsql.DomainModelDescriptor],domainModelDescriptor,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/AbstractPersistence.java,com.github.braisdom.objsql.AbstractPersistence,"formatInsertSql/3[java.lang.String,java.lang.String[],java.lang.String]",INSERT_TEMPLATE,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/AbstractPersistence.java,com.github.braisdom.objsql.AbstractPersistence,"formatDeleteSql/2[java.lang.String,java.lang.String]",DELETE_STATEMENT,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/AbstractPersistence.java,com.github.braisdom.objsql.AbstractPersistence,"formatInsertSql/3[java.lang.String,java.lang.String[],java.lang.String[]]",domainModelDescriptor,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/jdbc/handlers/ArrayHandler.java,com.github.braisdom.objsql.jdbc.handlers.ArrayHandler,handle/1[java.sql.ResultSet],EMPTY_ARRAY,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/jdbc/handlers/ArrayHandler.java,com.github.braisdom.objsql.jdbc.handlers.ArrayHandler,handle/1[java.sql.ResultSet],convert,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/jdbc/handlers/ArrayHandler.java,com.github.braisdom.objsql.jdbc.handlers.ArrayHandler,ArrayHandler/0,ROW_PROCESSOR,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/jdbc/handlers/ArrayHandler.java,com.github.braisdom.objsql.jdbc.handlers.ArrayHandler,ArrayHandler/1[com.github.braisdom.objsql.jdbc.RowProcessor],convert,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/mangosdk/src/test/java/org/mangosdk/spi/processor/testutils/TestInitializer.java,org.mangosdk.spi.processor.testutils.TestInitializer,"TestInitializer/1[java.util.Map<java.lang.String,java.lang.String>]",data,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/mangosdk/src/test/java/org/mangosdk/spi/processor/testutils/TestInitializer.java,org.mangosdk.spi.processor.testutils.TestInitializer,initialData/1[java.lang.String],data,1
