file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/sql/expression/ColumnExpression.java,com.github.braisdom.objsql.sql.expression.ColumnExpression,toSql/1[com.github.braisdom.objsql.sql.ExpressionContext],false,32,2,1,0,1,1,3,3,1,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/sql/expression/ColumnExpression.java,com.github.braisdom.objsql.sql.expression.ColumnExpression,"ColumnExpression/2[com.github.braisdom.objsql.sql.Column,com.github.braisdom.objsql.sql.Expression]",true,26,2,10,10,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/sql/expression/ColumnExpression.java,com.github.braisdom.objsql.sql.expression.ColumnExpression,or/1[com.github.braisdom.objsql.sql.LogicalExpression],false,43,2,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/sql/expression/ColumnExpression.java,com.github.braisdom.objsql.sql.expression.ColumnExpression,and/1[com.github.braisdom.objsql.sql.LogicalExpression],false,38,2,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/springboot-sample/src/main/java/com/github/braisdom/objsql/sample/model/Member.java,com.github.braisdom.objsql.sample.model.Member,countOrders/0,false,41,5,10,1,9,1,12,9,1,3,0,12,0,0,0,0,0,0,5,0,3,0,0,0,0,0,19,9,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/postgres/src/main/java/com/github/braisdom/objsql/example/SQLFile.java,com.github.braisdom.objsql.example.SQLFile,SQLFile/1[java.lang.String],true,15,1,6,5,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/postgres/src/main/java/com/github/braisdom/objsql/example/SQLFile.java,com.github.braisdom.objsql.example.SQLFile,getSqls/0,false,37,0,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/postgres/src/main/java/com/github/braisdom/objsql/example/SQLFile.java,com.github.braisdom.objsql.example.SQLFile,loadSqls/1[java.lang.String],false,19,0,1,1,0,2,10,17,0,5,1,10,0,0,1,1,1,1,1,0,5,0,2,0,0,0,21,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/postgres/src/main/java/com/github/braisdom/objsql/example/PostgresExample.java,com.github.braisdom.objsql.example.PostgresExample$SqliteConnectionFactory,getConnection/1[java.lang.String],false,20,0,0,0,0,3,2,12,1,1,1,2,0,0,0,0,1,0,3,0,1,0,1,0,0,0,13,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/sqlserver/src/main/java/com/github/braisdom/objsql/example/ComplexSQLExample.java,ComplexSQLExample,simpleQuery/0,false,65,6,0,0,0,3,12,9,0,3,0,12,1,1,0,1,0,1,2,3,3,0,0,0,0,0,13,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/sqlserver/src/main/java/com/github/braisdom/objsql/example/ComplexSQLExample.java,ComplexSQLExample,pagedQuery/0,false,101,8,0,0,0,2,14,11,0,6,0,14,1,1,0,0,0,0,1,3,6,0,0,0,0,0,16,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/sqlserver/src/main/java/com/github/braisdom/objsql/example/ComplexSQLExample.java,ComplexSQLExample,joinQuery/0,false,82,6,0,0,0,2,13,9,0,4,0,13,1,1,0,0,0,0,1,1,4,0,0,0,0,0,13,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/sqlserver/src/main/java/com/github/braisdom/objsql/example/ComplexSQLExample.java,ComplexSQLExample,prepareQueryData/0,false,33,5,0,0,0,3,15,14,0,6,0,15,0,0,2,0,0,0,4,11,6,3,1,0,0,0,15,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/Databases.java,com.github.braisdom.objsql.Databases$Benchmarkable,apply/0,false,106,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/sql/DefaultColumn.java,com.github.braisdom.objsql.sql.DefaultColumn$Anonymous1,getAlias/0,false,107,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/ConnectionFactory.java,com.github.braisdom.objsql.ConnectionFactory,getConnection/1[java.lang.String],false,35,0,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/ConnectionFactory.java,com.github.braisdom.objsql.ConnectionFactory,isDefaultDataSource/1[java.lang.String],false,50,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,65536,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/AbstractPersistence.java,com.github.braisdom.objsql.AbstractPersistence,AbstractPersistence/1[com.github.braisdom.objsql.DomainModelDescriptor],true,39,1,0,0,0,1,1,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/AbstractPersistence.java,com.github.braisdom.objsql.AbstractPersistence,"formatInsertSql/3[java.lang.String,java.lang.String[],java.lang.String]",false,59,0,0,0,0,1,2,3,1,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/AbstractPersistence.java,com.github.braisdom.objsql.AbstractPersistence,"formatDeleteSql/2[java.lang.String,java.lang.String]",false,68,0,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/AbstractPersistence.java,com.github.braisdom.objsql.AbstractPersistence,AbstractPersistence/1[java.lang.Class<T>],true,35,2,1,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/AbstractPersistence.java,com.github.braisdom.objsql.AbstractPersistence,"formatInsertSql/3[java.lang.String,java.lang.String[],java.lang.String[]]",false,45,2,3,0,3,2,9,14,3,4,3,9,0,0,0,0,0,0,2,0,3,0,2,0,0,1,15,4,0,false
