file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/sql/expression/ColumnExpression.java,com.github.braisdom.objsql.sql.expression.ColumnExpression,toSql/1[com.github.braisdom.objsql.sql.ExpressionContext],expressionContext,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/sql/expression/ColumnExpression.java,com.github.braisdom.objsql.sql.expression.ColumnExpression,"ColumnExpression/2[com.github.braisdom.objsql.sql.Column,com.github.braisdom.objsql.sql.Expression]",expression,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/sql/expression/ColumnExpression.java,com.github.braisdom.objsql.sql.expression.ColumnExpression,"ColumnExpression/2[com.github.braisdom.objsql.sql.Column,com.github.braisdom.objsql.sql.Expression]",column,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/sql/expression/ColumnExpression.java,com.github.braisdom.objsql.sql.expression.ColumnExpression,or/1[com.github.braisdom.objsql.sql.LogicalExpression],logicalExpression,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/core/src/main/java/com/github/braisdom/objsql/sql/expression/ColumnExpression.java,com.github.braisdom.objsql.sql.expression.ColumnExpression,and/1[com.github.braisdom.objsql.sql.LogicalExpression],logicalExpression,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/springboot-sample/src/main/java/com/github/braisdom/objsql/sample/model/Member.java,com.github.braisdom.objsql.sample.model.Member,countOrders/0,select,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/springboot-sample/src/main/java/com/github/braisdom/objsql/sample/model/Member.java,com.github.braisdom.objsql.sample.model.Member,countOrders/0,member,8
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/springboot-sample/src/main/java/com/github/braisdom/objsql/sample/model/Member.java,com.github.braisdom.objsql.sample.model.Member,countOrders/0,order,7
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/postgres/src/main/java/com/github/braisdom/objsql/example/SQLFile.java,com.github.braisdom.objsql.example.SQLFile,SQLFile/1[java.lang.String],classpathFile,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/postgres/src/main/java/com/github/braisdom/objsql/example/SQLFile.java,com.github.braisdom.objsql.example.SQLFile,loadSqls/1[java.lang.String],bufferedReader,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/postgres/src/main/java/com/github/braisdom/objsql/example/SQLFile.java,com.github.braisdom.objsql.example.SQLFile,loadSqls/1[java.lang.String],classpathFile,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/postgres/src/main/java/com/github/braisdom/objsql/example/SQLFile.java,com.github.braisdom.objsql.example.SQLFile,loadSqls/1[java.lang.String],stringBuilder,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/postgres/src/main/java/com/github/braisdom/objsql/example/SQLFile.java,com.github.braisdom.objsql.example.SQLFile,loadSqls/1[java.lang.String],line,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/postgres/src/main/java/com/github/braisdom/objsql/example/SQLFile.java,com.github.braisdom.objsql.example.SQLFile,loadSqls/1[java.lang.String],inputStream,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/postgres/src/main/java/com/github/braisdom/objsql/example/SQLFile.java,com.github.braisdom.objsql.example.SQLFile,loadSqls/1[java.lang.String],rawSqls,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/postgres/src/main/java/com/github/braisdom/objsql/example/PostgresExample.java,com.github.braisdom.objsql.example.PostgresExample$SqliteConnectionFactory,getConnection/1[java.lang.String],e,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/postgres/src/main/java/com/github/braisdom/objsql/example/PostgresExample.java,com.github.braisdom.objsql.example.PostgresExample$SqliteConnectionFactory,getConnection/1[java.lang.String],dataSourceName,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/postgres/src/main/java/com/github/braisdom/objsql/example/PostgresExample.java,com.github.braisdom.objsql.example.PostgresExample$SqliteConnectionFactory,getConnection/1[java.lang.String],url,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/sqlserver/src/main/java/com/github/braisdom/objsql/example/ComplexSQLExample.java,ComplexSQLExample,simpleQuery/0,select,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/sqlserver/src/main/java/com/github/braisdom/objsql/example/ComplexSQLExample.java,ComplexSQLExample,simpleQuery/0,members,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/sqlserver/src/main/java/com/github/braisdom/objsql/example/ComplexSQLExample.java,ComplexSQLExample,simpleQuery/0,member,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/sqlserver/src/main/java/com/github/braisdom/objsql/example/ComplexSQLExample.java,ComplexSQLExample,pagedQuery/0,select,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/sqlserver/src/main/java/com/github/braisdom/objsql/example/ComplexSQLExample.java,ComplexSQLExample,pagedQuery/0,members,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ObjectiveSql/../../ObjectiveSql/examples/sqlserver/src/main/java/com/github/braisdom/objsql/example/ComplexSQLExample.java,ComplexSQLExample,pagedQuery/0,member,6
