file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/app/src/main/java/paperdb/io/paperdb/MainActivity.java,paperdb.io.paperdb.MainActivity$AbstractValueHolder,getValue/0,value,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/app/src/main/java/paperdb/io/paperdb/MainActivity.java,paperdb.io.paperdb.MainActivity$AbstractValueHolder,AbstractValueHolder/1[V],value,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/benchmark/Benchmark.java,io.paperdb.benchmark.Benchmark,"printResults/3[java.lang.String,long,long]",TAG,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/benchmark/Benchmark.java,io.paperdb.benchmark.Benchmark,testWrite500Contacts/0,REPEAT_COUNT,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/benchmark/Benchmark.java,io.paperdb.benchmark.Benchmark,testRead500Contacts/0,REPEAT_COUNT,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/benchmark/Benchmark.java,io.paperdb.benchmark.Benchmark,"printResults/4[java.lang.String,long,long,long]",TAG,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/benchmark/Benchmark.java,io.paperdb.benchmark.Benchmark,testReadWrite500Contacts/0,REPEAT_COUNT,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/multithread/MultiThreadTest.java,io.paperdb.multithread.MultiThreadTest$Anonymous1,run/0,dataset,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/app/src/main/java/paperdb/io/paperdb/MainActivity.java,paperdb.io.paperdb.MainActivity$Person,Person/1[java.lang.String],name,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/main/java/io/paperdb/KeyLocker.java,io.paperdb.KeyLocker,acquire/1[java.lang.String],global,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/main/java/io/paperdb/KeyLocker.java,io.paperdb.KeyLocker,acquire/1[java.lang.String],semaphoreMap,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/main/java/io/paperdb/KeyLocker.java,io.paperdb.KeyLocker,release/1[java.lang.String],semaphoreMap,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/main/java/io/paperdb/KeyLocker.java,io.paperdb.KeyLocker,acquireGlobal/0,global,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/main/java/io/paperdb/KeyLocker.java,io.paperdb.KeyLocker,acquireGlobal/0,semaphoreMap,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/main/java/io/paperdb/KeyLocker.java,io.paperdb.KeyLocker,releaseGlobal/0,global,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/main/java/io/paperdb/KeyLocker.java,io.paperdb.KeyLocker,releaseGlobal/0,semaphoreMap,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/app/src/androidTest/java/paperdb/io/paperdb/ReadBenchmark.java,paperdb.io.paperdb.ReadBenchmark,readLargeList/0,TAG,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/app/src/androidTest/java/paperdb/io/paperdb/ReadBenchmark.java,paperdb.io.paperdb.ReadBenchmark,readSmallList/0,TAG,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/testdata/Person.java,io.paperdb.testdata.Person,setName/1[java.lang.String],mName,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/testdata/Person.java,io.paperdb.testdata.Person,getPhoneNumbers/0,mPhoneNumbers,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/testdata/Person.java,io.paperdb.testdata.Person,setAge/1[int],mAge,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/testdata/Person.java,io.paperdb.testdata.Person,getName/0,mName,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/testdata/Person.java,io.paperdb.testdata.Person,equals/1[java.lang.Object],mAge,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/testdata/Person.java,io.paperdb.testdata.Person,equals/1[java.lang.Object],mBikes,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/testdata/Person.java,io.paperdb.testdata.Person,equals/1[java.lang.Object],mName,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/testdata/Person.java,io.paperdb.testdata.Person,equals/1[java.lang.Object],mPhoneNumbers,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/testdata/Person.java,io.paperdb.testdata.Person,getAge/0,mAge,1
