file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/app/src/main/java/paperdb/io/paperdb/MainActivity.java,paperdb.io.paperdb.MainActivity$Anonymous4,run/0,i,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/app/src/androidTest/java/paperdb/io/paperdb/ReadBenchmark.java,paperdb.io.paperdb.ReadBenchmark$Anonymous2,run/0,e,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/app/src/androidTest/java/paperdb/io/paperdb/ReadBenchmark.java,paperdb.io.paperdb.ReadBenchmark$Anonymous2,run/0,executor,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/app/src/androidTest/java/paperdb/io/paperdb/ReadBenchmark.java,paperdb.io.paperdb.ReadBenchmark$Anonymous2,run/0,finished,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/app/src/main/java/paperdb/io/paperdb/MainActivity.java,paperdb.io.paperdb.MainActivity$Anonymous3,onClick/1[paperdb.io.paperdb.View],view,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/app/src/androidTest/java/paperdb/io/paperdb/ReadBenchmark.java,paperdb.io.paperdb.ReadBenchmark$Anonymous1,run/0,e,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/app/src/androidTest/java/paperdb/io/paperdb/ReadBenchmark.java,paperdb.io.paperdb.ReadBenchmark$Anonymous1,run/0,executor,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/app/src/androidTest/java/paperdb/io/paperdb/ReadBenchmark.java,paperdb.io.paperdb.ReadBenchmark$Anonymous1,run/0,finished,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/app/src/main/java/paperdb/io/paperdb/MainActivity.java,paperdb.io.paperdb.MainActivity$AbstractValueListHolder,AbstractValueListHolder/1[java.util.List<V>],value,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/app/src/main/java/paperdb/io/paperdb/MainActivity.java,paperdb.io.paperdb.MainActivity$Anonymous2,onClick/1[paperdb.io.paperdb.View],v,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/app/src/main/java/paperdb/io/paperdb/MainActivity.java,paperdb.io.paperdb.MainActivity$Anonymous1,onClick/1[paperdb.io.paperdb.View],v,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/DataTest.java,io.paperdb.DataTest,testPutEmptyList/0,inserted,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/DataTest.java,io.paperdb.DataTest,testPutPOJO/0,savedPerson,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/DataTest.java,io.paperdb.DataTest,testPutPOJO/0,person,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/DataTest.java,io.paperdb.DataTest,testReadWrite/1[java.lang.Object],readObj,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Paper/../../Paper/paperdb/src/androidTest/java/io/paperdb/DataTest.java,io.paperdb.DataTest,testReadWrite/1[java.lang.Object],originObj,2
