file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Polypheny-DB/../../Polypheny-DB/plugins/jdbc-adapter-framework/src/test/java/org/polypheny/db/adapter/jdbc/rel2sql/PlannerTest.java,org.polypheny.db.adapter.jdbc.rel2sql.PlannerTest$MockJdbcScan,innerclass,12,12,0,12,5,2,0,5,6,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,17,2,1,0,0,0,0,0,1,0,1,1,0,0,0,38,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Polypheny-DB/../../Polypheny-DB/plugins/cassandra-adapter/src/main/java/org/polypheny/db/adapter/cassandra/rules/CassandraValuesRule.java,org.polypheny.db.adapter.cassandra.rules.CassandraValuesRule,class,6,7,1,6,2,3,0,6,1,0.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0,1,1,2,0,0,0,1,13,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Polypheny-DB/../../Polypheny-DB/plugins/sql-language/src/main/java/org/polypheny/db/sql/sql2alg/StandardConvertletTable.java,org.polypheny.db.sql.sql2alg.StandardConvertletTable,class,62,67,5,62,139,2,0,140,861,1.0,0.0,0.0,42,7,18,22,2,0,20,0,0,0,1,1,1,0,0,0,1,0,14,881,71,9,25,1,6,1,65,168,5,175,5,2,7,14,297,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Polypheny-DB/../../Polypheny-DB/plugins/cassandra-adapter/src/main/java/org/polypheny/db/adapter/cassandra/CassandraPhysicalNameProvider.java,org.polypheny.db.adapter.cassandra.CassandraPhysicalNameProvider,class,6,11,5,6,27,1,0,20,61,0.75,0.20952381,0.26666668,18,1,15,3,0,0,15,0,0,0,4,1,0,4,0,0,4,0,3,125,16,1,4,3,0,13,12,23,6,19,2,0,0,0,70,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Polypheny-DB/../../Polypheny-DB/core/src/test/java/org/polypheny/db/schema/FoodmartSchema.java,org.polypheny.db.schema.FoodmartSchema$Employee,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,0,17,0,0,19,0,0,0,0,0,0,0,0,0,17,0,0,0,0,25,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Polypheny-DB/../../Polypheny-DB/plugins/rest-interface/src/main/java/org/polypheny/db/restapi/Rest.java,org.polypheny.db.restapi.Rest,class,44,46,2,44,70,1,0,92,118,0.875,0.0,0.0,16,0,0,1,0,15,15,0,0,0,3,0,0,3,0,0,3,0,3,344,17,14,15,3,9,16,17,147,0,124,4,0,0,1,175,1,14
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Polypheny-DB/../../Polypheny-DB/plugins/mql-language/src/main/java/org/polypheny/db/languages/mql/parser/MqlAbstractParserImpl.java,org.polypheny.db.languages.mql.parser.MqlAbstractParserImpl,class,6,8,2,6,5,1,0,0,10,1.0,0.0,0.0,5,0,5,0,0,0,5,5,0,0,1,0,0,0,1,0,0,0,0,91,0,0,0,0,0,0,0,0,0,1,0,0,2,0,55,1025,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Polypheny-DB/../../Polypheny-DB/core/src/main/java/org/polypheny/db/adapter/enumerable/WinAggFrameResultContext.java,org.polypheny.db.adapter.enumerable.WinAggFrameResultContext,interface,4,13,9,4,5,1,0,0,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Polypheny-DB/../../Polypheny-DB/plugins/cypher-language/src/main/java/org/polypheny/db/cypher/mapprojection/CypherMPProperty.java,org.polypheny.db.cypher.mapprojection.CypherMPProperty,class,2,3,1,2,1,3,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Polypheny-DB/../../Polypheny-DB/plugins/neo4j-adapter/src/main/java/org/polypheny/db/adapter/neo4j/util/NeoStatements.java,org.polypheny.db.adapter.neo4j.util.NeoStatements$OrderByStatement,innerclass,2,2,0,2,1,3,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Polypheny-DB/../../Polypheny-DB/plugins/mongodb-adapter/src/main/java/org/polypheny/db/adapter/mongodb/MongoRules.java,org.polypheny.db.adapter.mongodb.MongoRules$MongoFilterRule,innerclass,6,6,0,6,2,3,0,7,1,1.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,11,1,0,0,0,0,1,0,3,0,4,0,0,0,1,24,10,0
