file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/test/java/org/replicadb/config/ReplicadbMariaDBContainer.java,org.replicadb.config.ReplicadbMariaDBContainer,class,4,8,4,4,6,2,0,13,4,0.7083333,0.33333334,0.33333334,4,1,3,1,0,0,3,0,0,0,6,6,0,6,0,0,5,0,2,33,1,0,1,1,0,8,0,8,2,8,1,0,0,0,44,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,class,3,12,9,3,11,1,0,11,0,0.1,1.0,1.0,2,0,2,0,0,0,2,0,0,0,5,1,0,5,0,0,1,0,1,37,0,1,5,1,3,1,13,13,6,9,4,0,0,0,71,1,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/file/CsvFileManager.java,org.replicadb.manager.file.CsvFileManager,class,12,14,2,12,63,2,0,68,9,0.5714286,0.13333334,0.13333334,7,0,6,1,0,0,6,0,0,0,2,1,0,2,0,0,1,0,19,240,3,5,17,3,2,58,14,66,3,38,5,0,0,0,122,1,22
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/test/java/org/replicadb/postgres/Postgres2MySQLTest.java,org.replicadb.postgres.Postgres2MySQLTest,class,15,16,1,15,13,1,0,25,6,0.5769231,0.46153846,0.84615386,13,1,1,0,0,12,13,0,0,0,8,6,2,6,0,0,4,0,11,89,1,0,0,0,0,68,11,32,6,32,0,0,0,0,65,0,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/MySQLManager.java,org.replicadb.manager.MySQLManager,class,13,15,2,13,68,3,0,74,52,0.75,0.14285715,0.21428572,12,0,6,4,2,0,8,0,0,0,2,2,0,2,0,0,1,0,1,271,7,5,21,3,0,69,26,68,17,44,6,0,0,0,159,1,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BsonUtils.java,org.replicadb.manager.util.BsonUtils,class,3,5,2,3,8,1,0,9,3,0.0,0.0,0.0,3,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,6,2,3,0,0,6,2,2,2,2,1,0,0,0,16,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/test/java/org/replicadb/mariadb/MariaDB2PostgresTest.java,org.replicadb.mariadb.MariaDB2PostgresTest,class,15,16,1,15,13,1,0,24,0,0.58653843,0.5,0.84615386,13,1,1,0,0,12,13,0,0,0,8,6,2,6,0,0,4,0,11,86,1,0,0,0,0,63,11,31,6,31,0,0,0,0,64,0,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/test/java/org/replicadb/postgres/Postgres2S3FileTest.java,org.replicadb.postgres.Postgres2S3FileTest,class,1,1,0,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/rowset/JdbcRowSetResourceBundle.java,org.replicadb.rowset.JdbcRowSetResourceBundle,class,1,3,2,1,6,1,0,6,0,0.8333333,0.33333334,0.33333334,4,1,3,1,0,0,3,0,0,0,9,8,0,8,0,1,6,0,3,31,3,0,2,0,0,6,1,9,0,10,3,0,0,0,122,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/ReplicaDB.java,org.replicadb.ReplicaDB,class,14,44,30,14,24,1,0,52,4,0.5833333,0.33333334,0.33333334,4,4,3,1,0,0,3,0,0,0,3,3,0,3,0,0,3,0,8,122,1,5,6,4,1,15,10,34,5,26,5,0,0,0,85,1,9
