file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/test/java/org/replicadb/config/ReplicadbMariaDBContainer.java,org.replicadb.config.ReplicadbMariaDBContainer,getInstance/0,container,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/test/java/org/replicadb/config/ReplicadbMariaDBContainer.java,org.replicadb.config.ReplicadbMariaDBContainer,ReplicadbMariaDBContainer/0,IMAGE_VERSION,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/test/java/org/replicadb/config/ReplicadbMariaDBContainer.java,org.replicadb.config.ReplicadbMariaDBContainer,start/0,container,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/test/java/org/replicadb/config/ReplicadbMariaDBContainer.java,org.replicadb.config.ReplicadbMariaDBContainer,start/0,LOG,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/test/java/org/replicadb/config/ReplicadbMariaDBContainer.java,org.replicadb.config.ReplicadbMariaDBContainer,start/0,RESOURCE_DIR,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/test/java/org/replicadb/config/ReplicadbMariaDBContainer.java,org.replicadb.config.ReplicadbMariaDBContainer,start/0,MARIADB_SOURCE_FILE,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/test/java/org/replicadb/config/ReplicadbMariaDBContainer.java,org.replicadb.config.ReplicadbMariaDBContainer,start/0,MARIADB_SINK_FILE,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,acquiere/0,fetchSize,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,acquiere/0,LOG,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,acquiere/0,fetchs,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,acquiere/0,bandwidthRateLimiter,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,acquiere/0,rowSize,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,"BandwidthThrottling/3[int,int,java.sql.ResultSet]",fetchSize,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,"BandwidthThrottling/3[int,int,java.sql.ResultSet]",LOG,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,"BandwidthThrottling/3[int,int,java.sql.ResultSet]",bandwidthRateLimiter,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,"BandwidthThrottling/3[int,int,java.sql.ResultSet]",rowSize,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/file/CsvFileManager.java,org.replicadb.manager.file.CsvFileManager,readData/0,csvResultset,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/file/CsvFileManager.java,org.replicadb.manager.file.CsvFileManager,cleanUp/0,LOG,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/file/CsvFileManager.java,org.replicadb.manager.file.CsvFileManager,init/0,csvResultset,7
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/file/CsvFileManager.java,org.replicadb.manager.file.CsvFileManager,setCsvFormat/1[org.replicadb.manager.DataSourceType],LOG,18
