file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/test/java/org/replicadb/config/ReplicadbMariaDBContainer.java,org.replicadb.config.ReplicadbMariaDBContainer,getInstance/0,false,28,1,2,0,2,2,2,7,1,0,0,2,1,1,0,1,0,0,1,0,1,0,1,0,0,0,11,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/test/java/org/replicadb/config/ReplicadbMariaDBContainer.java,org.replicadb.config.ReplicadbMariaDBContainer,stop/0,false,54,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/test/java/org/replicadb/config/ReplicadbMariaDBContainer.java,org.replicadb.config.ReplicadbMariaDBContainer,ReplicadbMariaDBContainer/0,true,24,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/test/java/org/replicadb/config/ReplicadbMariaDBContainer.java,org.replicadb.config.ReplicadbMariaDBContainer,start/0,false,37,1,3,1,2,2,7,13,0,2,0,7,0,0,0,0,1,0,1,0,2,2,1,0,0,0,30,1,1,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,acquiere/0,false,61,0,8,8,0,4,2,14,0,0,0,2,0,0,0,2,1,0,0,2,1,0,3,0,0,0,20,1,1,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,"BandwidthThrottling/3[int,int,java.sql.ResultSet]",true,30,1,8,8,0,7,8,16,0,4,3,8,0,0,1,3,0,3,1,8,8,6,4,0,0,0,53,1,1,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/file/CsvFileManager.java,org.replicadb.manager.file.CsvFileManager,readData/0,false,230,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/file/CsvFileManager.java,org.replicadb.manager.file.CsvFileManager,"CsvFileManager/2[org.replicadb.cli.ToolOptions,org.replicadb.manager.DataSourceType]",true,32,2,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/file/CsvFileManager.java,org.replicadb.manager.file.CsvFileManager,cleanUp/0,false,314,2,2,0,2,4,10,15,0,3,0,10,0,0,1,0,0,0,5,0,3,1,2,0,0,0,13,1,2,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/file/CsvFileManager.java,org.replicadb.manager.file.CsvFileManager,init/0,false,204,5,12,0,12,4,14,17,0,2,0,14,1,1,0,1,1,0,2,0,3,0,2,0,0,0,35,1,0,false
