file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/test/java/org/replicadb/config/ReplicadbMariaDBContainer.java,org.replicadb.config.ReplicadbMariaDBContainer,start/0,con,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/test/java/org/replicadb/config/ReplicadbMariaDBContainer.java,org.replicadb.config.ReplicadbMariaDBContainer,start/0,e,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/test/java/org/replicadb/config/ReplicadbMariaDBContainer.java,org.replicadb.config.ReplicadbMariaDBContainer,start/0,runner,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,acquiere/0,e,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,"BandwidthThrottling/3[int,int,java.sql.ResultSet]",bandwidthThrottling,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,"BandwidthThrottling/3[int,int,java.sql.ResultSet]",fetchSize,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,"BandwidthThrottling/3[int,int,java.sql.ResultSet]",limit,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,"BandwidthThrottling/3[int,int,java.sql.ResultSet]",i,6
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,"BandwidthThrottling/3[int,int,java.sql.ResultSet]",columnValue,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,"BandwidthThrottling/3[int,int,java.sql.ResultSet]",rsmd,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/util/BandwidthThrottling.java,org.replicadb.manager.util.BandwidthThrottling,"BandwidthThrottling/3[int,int,java.sql.ResultSet]",resultSet,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/file/CsvFileManager.java,org.replicadb.manager.file.CsvFileManager,"CsvFileManager/2[org.replicadb.cli.ToolOptions,org.replicadb.manager.DataSourceType]",opts,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/file/CsvFileManager.java,org.replicadb.manager.file.CsvFileManager,"CsvFileManager/2[org.replicadb.cli.ToolOptions,org.replicadb.manager.DataSourceType]",dsType,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/file/CsvFileManager.java,org.replicadb.manager.file.CsvFileManager,cleanUp/0,crcPath,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/file/CsvFileManager.java,org.replicadb.manager.file.CsvFileManager,cleanUp/0,crcFile,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/file/CsvFileManager.java,org.replicadb.manager.file.CsvFileManager,cleanUp/0,filePath,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/ReplicaDB/../../ReplicaDB/src/main/java/org/replicadb/manager/file/CsvFileManager.java,org.replicadb.manager.file.CsvFileManager,cleanUp/0,tempFile,5
