file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-api/src/main/java/schemacrawler/crawl/MutableRoutineParameter.java,schemacrawler.crawl.MutableRoutineParameter,class,5,9,4,5,5,3,0,2,8,0.8,0.1,0.1,5,0,2,0,0,3,5,0,2,0,2,1,0,2,0,0,1,0,0,19,2,0,0,0,0,0,1,2,0,2,0,0,0,0,48,1024,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-scripting/src/test/java/schemacrawler/test/script/CommandlineScriptCommandTest.java,schemacrawler.test.script.CommandlineScriptCommandTest,class,6,6,0,6,4,1,0,5,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,14,0,0,0,0,0,9,0,0,0,0,0,0,0,0,32,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-diagram/src/test/java/schemacrawler/integration/test/DiagramAlternateKeysTest.java,schemacrawler.integration.test.DiagramAlternateKeysTest,class,4,4,0,4,1,2,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-scripting/src/test/java/schemacrawler/test/serialize/CatalogJavaSerializationTest.java,schemacrawler.test.serialize.CatalogJavaSerializationTest,class,9,9,0,9,1,1,0,19,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0,0,12,3,8,0,8,0,0,0,0,46,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/main/java/schemacrawler/tools/commandline/command/AvailableCatalogLoaders.java,schemacrawler.tools.commandline.command.AvailableCatalogLoaders,class,3,6,3,3,5,1,0,6,0,0.0,1.0,1.0,4,1,3,1,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,21,3,1,0,0,0,0,0,4,0,4,1,0,0,0,13,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-api/src/main/java/schemacrawler/crawl/FunctionPointer.java,schemacrawler.crawl.FunctionPointer,class,3,4,1,3,1,2,0,1,0,1.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,6,0,0,0,0,0,1,1,1,0,1,0,0,0,0,14,16,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-hsqldb/src/test/java/schemacrawler/integration/test/BundledDistributionTest.java,schemacrawler.integration.test.BundledDistributionTest,class,6,6,0,6,2,1,0,9,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,2,1,4,0,4,0,0,0,0,22,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-api/src/main/java/schemacrawler/schema/ProcedureParameter.java,schemacrawler.schema.ProcedureParameter,interface,1,3,2,1,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-api/src/main/java/schemacrawler/schema/ContainedObject.java,schemacrawler.schema.ContainedObject,interface,1,4,3,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-sqlite/src/test/java/schemacrawler/integration/test/ForeignKeyWithoutReferencedPrimaryKeyTest.java,schemacrawler.integration.test.ForeignKeyWithoutReferencedPrimaryKeyTest,class,12,13,1,12,2,2,0,13,1,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,2,0,4,0,4,0,0,0,0,43,1,0
