file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-api/src/main/java/schemacrawler/crawl/MutableRoutineParameter.java,schemacrawler.crawl.MutableRoutineParameter,getParameterMode/0,parameterMode,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-api/src/main/java/schemacrawler/crawl/MutableRoutineParameter.java,schemacrawler.crawl.MutableRoutineParameter,setParameterMode/1[schemacrawler.crawl.ParameterModeType],parameterMode,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/main/java/schemacrawler/tools/commandline/command/AvailableCatalogLoaders.java,schemacrawler.tools.commandline.command.AvailableCatalogLoaders,size/0,availableCatalogLoaders,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/main/java/schemacrawler/tools/commandline/command/AvailableCatalogLoaders.java,schemacrawler.tools.commandline.command.AvailableCatalogLoaders,AvailableCatalogLoaders/0,availableCatalogLoaders,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/main/java/schemacrawler/tools/commandline/command/AvailableCatalogLoaders.java,schemacrawler.tools.commandline.command.AvailableCatalogLoaders,iterator/0,availableCatalogLoaders,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/main/java/schemacrawler/tools/commandline/command/AvailableCatalogLoaders.java,schemacrawler.tools.commandline.command.AvailableCatalogLoaders,availableCatalogLoaders/0,availableCatalogLoaders,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-lint/src/main/java/schemacrawler/tools/lint/LintCollector.java,schemacrawler.tools.lint.LintCollector,getLints/0,lints,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-lint/src/main/java/schemacrawler/tools/lint/LintCollector.java,schemacrawler.tools.lint.LintCollector,"addLint/2[N,schemacrawler.tools.lint.Lint<?>]",lints,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-lint/src/main/java/schemacrawler/tools/lint/LintCollector.java,schemacrawler.tools.lint.LintCollector,"addLint/2[N,schemacrawler.tools.lint.Lint<?>]",LINT_KEY,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-lint/src/main/java/schemacrawler/tools/lint/LintCollector.java,schemacrawler.tools.lint.LintCollector,LintCollector/0,lints,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-lint/src/main/java/schemacrawler/tools/lint/LintCollector.java,schemacrawler.tools.lint.LintCollector,size/0,lints,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-api/src/test/java/schemacrawler/test/ExcludeTest.java,schemacrawler.test.ExcludeTest,"excludeColumns/2[schemacrawler.test.utility.TestContext,java.sql.Connection]",LOGGER,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,checkOptions/0,identifiers,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,checkOptions/0,schemaCrawlerOptions,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,checkOptions/0,commandOptions,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,checkOptions/0,outputOptions,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,getSchemaCrawlerOptions/0,schemaCrawlerOptions,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,BaseSchemaCrawlerCommand/1[java.lang.String],schemaCrawlerOptions,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,BaseSchemaCrawlerCommand/1[java.lang.String],outputOptions,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,BaseSchemaCrawlerCommand/1[java.lang.String],command,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,getIdentifiers/0,identifiers,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,getCommand/0,command,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,toString/0,command,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,getCommandOptions/0,commandOptions,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,getCatalog/0,catalog,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,setCommandOptions/1[C],commandOptions,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,setSchemaCrawlerOptions/1[schemacrawler.schemacrawler.SchemaCrawlerOptions],schemaCrawlerOptions,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,setOutputOptions/1[schemacrawler.tools.options.OutputOptions],outputOptions,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,getOutputOptions/0,outputOptions,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,setCatalog/1[schemacrawler.schema.Catalog],catalog,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,getConnection/0,connection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,setIdentifiers/1[schemacrawler.schemacrawler.Identifiers],identifiers,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,setConnection/1[java.sql.Connection],connection,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,checkCatalog/0,catalog,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-tools/src/main/java/schemacrawler/tools/executable/BaseSchemaCrawlerCommand.java,schemacrawler.tools.executable.BaseSchemaCrawlerCommand,checkCatalog/0,connection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-utility/src/main/java/us/fatehi/utility/datasource/DatabaseConnectionSources.java,us.fatehi.utility.datasource.DatabaseConnectionSources,"newDatabaseConnectionSource/4[java.lang.String,java.util.Map<java.lang.String,java.lang.String>,us.fatehi.utility.datasource.UserCredentials,java.util.function.Consumer<java.sql.Connection>]",LOGGER,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-utility/src/main/java/us/fatehi/utility/html/Tag.java,us.fatehi.utility.html.Tag,toHtmlString/0,escapeText,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-utility/src/main/java/us/fatehi/utility/html/Tag.java,us.fatehi.utility.html.Tag,toHtmlString/0,bgColor,3
