file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-api/src/main/java/schemacrawler/crawl/MutableRoutineParameter.java,schemacrawler.crawl.MutableRoutineParameter,setPrecision/1[int],precision,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-api/src/main/java/schemacrawler/crawl/MutableRoutineParameter.java,schemacrawler.crawl.MutableRoutineParameter,"MutableRoutineParameter/2[schemacrawler.crawl.DatabaseObjectReference<R>,java.lang.String]",parent,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-api/src/main/java/schemacrawler/crawl/MutableRoutineParameter.java,schemacrawler.crawl.MutableRoutineParameter,"MutableRoutineParameter/2[schemacrawler.crawl.DatabaseObjectReference<R>,java.lang.String]",name,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-api/src/main/java/schemacrawler/crawl/MutableRoutineParameter.java,schemacrawler.crawl.MutableRoutineParameter,setParameterMode/1[schemacrawler.crawl.ParameterModeType],parameterMode,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-scripting/src/test/java/schemacrawler/test/script/CommandlineScriptCommandTest.java,schemacrawler.test.script.CommandlineScriptCommandTest,commandlinePython/1[schemacrawler.test.script.DatabaseConnectionInfo],connectionInfo,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-scripting/src/test/java/schemacrawler/test/script/CommandlineScriptCommandTest.java,schemacrawler.test.script.CommandlineScriptCommandTest,commandlineJavaScript/1[schemacrawler.test.script.DatabaseConnectionInfo],connectionInfo,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-scripting/src/test/java/schemacrawler/test/script/CommandlineScriptCommandTest.java,schemacrawler.test.script.CommandlineScriptCommandTest,commandlineRuby/1[schemacrawler.test.script.DatabaseConnectionInfo],connectionInfo,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-scripting/src/test/java/schemacrawler/test/script/CommandlineScriptCommandTest.java,schemacrawler.test.script.CommandlineScriptCommandTest,commandlineGroovy/1[schemacrawler.test.script.DatabaseConnectionInfo],connectionInfo,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-scripting/src/test/java/schemacrawler/test/serialize/CatalogJavaSerializationTest.java,schemacrawler.test.serialize.CatalogJavaSerializationTest,catalogSerializationWithJava/1[us.fatehi.utility.datasource.DatabaseConnectionSource],schema,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-scripting/src/test/java/schemacrawler/test/serialize/CatalogJavaSerializationTest.java,schemacrawler.test.serialize.CatalogJavaSerializationTest,catalogSerializationWithJava/1[us.fatehi.utility.datasource.DatabaseConnectionSource],schemaDeserialized,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-scripting/src/test/java/schemacrawler/test/serialize/CatalogJavaSerializationTest.java,schemacrawler.test.serialize.CatalogJavaSerializationTest,catalogSerializationWithJava/1[us.fatehi.utility.datasource.DatabaseConnectionSource],testOutputFile,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-scripting/src/test/java/schemacrawler/test/serialize/CatalogJavaSerializationTest.java,schemacrawler.test.serialize.CatalogJavaSerializationTest,catalogSerializationWithJava/1[us.fatehi.utility.datasource.DatabaseConnectionSource],catalog,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-scripting/src/test/java/schemacrawler/test/serialize/CatalogJavaSerializationTest.java,schemacrawler.test.serialize.CatalogJavaSerializationTest,catalogSerializationWithJava/1[us.fatehi.utility.datasource.DatabaseConnectionSource],javaSerializedCatalogForLoad,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-scripting/src/test/java/schemacrawler/test/serialize/CatalogJavaSerializationTest.java,schemacrawler.test.serialize.CatalogJavaSerializationTest,catalogSerializationWithJava/1[us.fatehi.utility.datasource.DatabaseConnectionSource],schemaCrawlerOptions,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-scripting/src/test/java/schemacrawler/test/serialize/CatalogJavaSerializationTest.java,schemacrawler.test.serialize.CatalogJavaSerializationTest,catalogSerializationWithJava/1[us.fatehi.utility.datasource.DatabaseConnectionSource],dataSource,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-scripting/src/test/java/schemacrawler/test/serialize/CatalogJavaSerializationTest.java,schemacrawler.test.serialize.CatalogJavaSerializationTest,catalogSerializationWithJava/1[us.fatehi.utility.datasource.DatabaseConnectionSource],javaSerializedCatalogForSave,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-scripting/src/test/java/schemacrawler/test/serialize/CatalogJavaSerializationTest.java,schemacrawler.test.serialize.CatalogJavaSerializationTest,catalogSerializationWithJava/1[us.fatehi.utility.datasource.DatabaseConnectionSource],catalogDeserialized,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/main/java/schemacrawler/tools/commandline/command/AvailableCatalogLoaders.java,schemacrawler.tools.commandline.command.AvailableCatalogLoaders,availableCatalogLoaders/0,availableCatalogLoaders,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/main/java/schemacrawler/tools/commandline/command/AvailableCatalogLoaders.java,schemacrawler.tools.commandline.command.AvailableCatalogLoaders,availableCatalogLoaders/0,catalogLoader,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/main/java/schemacrawler/tools/commandline/command/AvailableCatalogLoaders.java,schemacrawler.tools.commandline.command.AvailableCatalogLoaders,availableCatalogLoaders/0,supportedCatalogLoaders,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/main/java/schemacrawler/tools/commandline/command/AvailableCatalogLoaders.java,schemacrawler.tools.commandline.command.AvailableCatalogLoaders,availableCatalogLoaders/0,name,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-api/src/main/java/schemacrawler/crawl/FunctionPointer.java,schemacrawler.crawl.FunctionPointer,FunctionPointer/1[schemacrawler.schema.Function],function,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-hsqldb/src/test/java/schemacrawler/integration/test/BundledDistributionTest.java,schemacrawler.integration.test.BundledDistributionTest,testPlugin_hsqldb/0,registry,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-hsqldb/src/test/java/schemacrawler/integration/test/BundledDistributionTest.java,schemacrawler.integration.test.BundledDistributionTest,testInformationSchema_hsqldb/0,registry,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-hsqldb/src/test/java/schemacrawler/integration/test/BundledDistributionTest.java,schemacrawler.integration.test.BundledDistributionTest,testInformationSchema_hsqldb/0,databaseSystemIdentifier,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-hsqldb/src/test/java/schemacrawler/integration/test/BundledDistributionTest.java,schemacrawler.integration.test.BundledDistributionTest,testInformationSchema_hsqldb/0,connection,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-sqlite/src/test/java/schemacrawler/integration/test/ForeignKeyWithoutReferencedPrimaryKeyTest.java,schemacrawler.integration.test.ForeignKeyWithoutReferencedPrimaryKeyTest,foreignKeyWithoutReferencedPrimaryKey/1[schemacrawler.integration.test.TestContext],testContext,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-sqlite/src/test/java/schemacrawler/integration/test/ForeignKeyWithoutReferencedPrimaryKeyTest.java,schemacrawler.integration.test.ForeignKeyWithoutReferencedPrimaryKeyTest,"run/3[java.lang.String,java.lang.String,java.lang.String]",databaseSqlResource,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-sqlite/src/test/java/schemacrawler/integration/test/ForeignKeyWithoutReferencedPrimaryKeyTest.java,schemacrawler.integration.test.ForeignKeyWithoutReferencedPrimaryKeyTest,"run/3[java.lang.String,java.lang.String,java.lang.String]",currentMethodName,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-sqlite/src/test/java/schemacrawler/integration/test/ForeignKeyWithoutReferencedPrimaryKeyTest.java,schemacrawler.integration.test.ForeignKeyWithoutReferencedPrimaryKeyTest,"run/3[java.lang.String,java.lang.String,java.lang.String]",textOptions,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-sqlite/src/test/java/schemacrawler/integration/test/ForeignKeyWithoutReferencedPrimaryKeyTest.java,schemacrawler.integration.test.ForeignKeyWithoutReferencedPrimaryKeyTest,"run/3[java.lang.String,java.lang.String,java.lang.String]",options,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-sqlite/src/test/java/schemacrawler/integration/test/ForeignKeyWithoutReferencedPrimaryKeyTest.java,schemacrawler.integration.test.ForeignKeyWithoutReferencedPrimaryKeyTest,"run/3[java.lang.String,java.lang.String,java.lang.String]",dataSource,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-sqlite/src/test/java/schemacrawler/integration/test/ForeignKeyWithoutReferencedPrimaryKeyTest.java,schemacrawler.integration.test.ForeignKeyWithoutReferencedPrimaryKeyTest,"run/3[java.lang.String,java.lang.String,java.lang.String]",command,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-sqlite/src/test/java/schemacrawler/integration/test/ForeignKeyWithoutReferencedPrimaryKeyTest.java,schemacrawler.integration.test.ForeignKeyWithoutReferencedPrimaryKeyTest,"run/3[java.lang.String,java.lang.String,java.lang.String]",executable,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,childrenBadValue/0,args,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,childrenBadValue/0,schemaCrawlerOptions,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,childrenBadValue/0,state,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,childrenNoValue/0,args,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,childrenNoValue/0,schemaCrawlerOptions,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,childrenNoValue/0,state,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,parentsNoValue/0,args,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,parentsNoValue/0,schemaCrawlerOptions,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,parentsNoValue/0,state,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,allArgs/0,args,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,allArgs/0,schemaCrawlerOptions,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,allArgs/0,state,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,allArgs/0,commandLine,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,allArgs/0,filterOptions,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,noValidArgs/0,args,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,noValidArgs/0,schemaCrawlerOptions,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,noValidArgs/0,state,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,noValidArgs/0,filterOptions,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,noArgs/0,args,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,noArgs/0,schemaCrawlerOptions,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,noArgs/0,state,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,noArgs/0,commandLine,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,noArgs/0,filterOptions,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,parentsBadValue/0,args,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,parentsBadValue/0,schemaCrawlerOptions,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-commandline/src/test/java/schemacrawler/test/commandline/command/FilterCommandTest.java,schemacrawler.test.commandline.command.FilterCommandTest,parentsBadValue/0,state,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-mysql/src/main/java/schemacrawler/server/mysql/MySQLDatabaseConnector.java,schemacrawler.server.mysql.MySQLDatabaseConnector,MySQLDatabaseConnector/0,informationSchemaViewsBuilder,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-mysql/src/main/java/schemacrawler/server/mysql/MySQLDatabaseConnector.java,schemacrawler.server.mysql.MySQLDatabaseConnector,MySQLDatabaseConnector/0,limitOptionsBuilder,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SchemaCrawler/../../SchemaCrawler/schemacrawler-mysql/src/main/java/schemacrawler/server/mysql/MySQLDatabaseConnector.java,schemacrawler.server.mysql.MySQLDatabaseConnector,MySQLDatabaseConnector/0,connection,1
