file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-reflect/src/main/java/org/simpleflatmapper/reflect/primitive/BoxedShortGetter.java,org.simpleflatmapper.reflect.primitive.BoxedShortGetter,class,5,7,2,5,4,1,0,3,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,16,3,0,1,0,0,0,1,2,0,2,1,0,0,0,10,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-csv/src/main/java/org/simpleflatmapper/csv/getter/CsvBoxedByteGetter.java,org.simpleflatmapper.csv.getter.CsvBoxedByteGetter,class,3,4,1,3,2,1,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,9,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-reflect/src/main/java/org/simpleflatmapper/reflect/asm/InstantiatorBuilder.java,org.simpleflatmapper.reflect.asm.InstantiatorBuilder$GetterCall,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,8,8,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-reflect/src/test/java/org/simpleflatmapper/reflect/test/meta/MapClassMetaTest.java,org.simpleflatmapper.reflect.test.meta.MapClassMetaTest$MyMap,innerclass,0,0,0,0,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-datastax/src/main/java/org/simpleflatmapper/datastax/DatastaxMapperFactory.java,org.simpleflatmapper.datastax.DatastaxMapperFactory$MapperFactory,innerclass,10,10,0,10,3,1,0,4,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,13,1,1,0,0,0,0,0,2,0,2,1,0,0,0,13,2,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-datastax/src/main/java/org/simpleflatmapper/datastax/impl/setter/BigIntegerSettableDataSetter.java,org.simpleflatmapper.datastax.impl.setter.BigIntegerSettableDataSetter,class,2,3,1,2,3,1,0,2,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,14,0,0,1,0,0,0,0,1,0,1,1,0,0,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-map/src/main/java/org/simpleflatmapper/map/property/SetterFactoryProperty.java,org.simpleflatmapper.map.property.SetterFactoryProperty,class,2,5,3,2,7,1,0,3,0,0.4166667,0.7,1.0,6,1,5,1,0,0,5,0,0,0,2,0,0,2,0,0,2,0,1,24,4,0,1,0,0,2,1,3,1,3,0,0,0,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-map/src/main/java/org/simpleflatmapper/map/MapperConfig.java,org.simpleflatmapper.map.MapperConfig$Discriminator,innerclass,6,6,0,6,8,1,0,4,0,0.4166667,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,4,0,4,0,0,0,4,0,0,27,4,2,1,0,0,1,0,4,1,4,2,0,0,0,25,25,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/lightningcsv/src/test/java/org/simpleflatmapper/lightningcsv/test/samples/Issue654Test.java,org.simpleflatmapper.lightningcsv.test.samples.Issue654Test,class,3,3,0,3,1,1,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1,1,0,0,1,0,0,0,1,7,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-reflect/src/main/java/org/simpleflatmapper/reflect/InstantiatorFactory.java,org.simpleflatmapper.reflect.InstantiatorFactory$ArrayInstantiator,innerclass,3,3,0,3,2,1,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,1,11,1,0,0,0,0,1,0,2,0,2,0,0,0,0,11,26,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-jdbc/src/main/java/org/simpleflatmapper/jdbc/impl/getter/ByteResultSetGetter.java,org.simpleflatmapper.jdbc.impl.getter.ByteResultSetGetter,class,6,8,2,6,8,1,0,4,9,0.5,0.2,0.2,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,0,27,6,0,1,0,0,2,1,2,2,2,1,0,0,0,19,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-jooq/src/test/java/org/simpleflatmapper/jooq/test/Issue627Test.java,org.simpleflatmapper.jooq.test.Issue627Test,class,6,6,0,6,2,1,0,19,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,49,1,0,0,0,0,5,2,5,0,5,0,0,2,0,28,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-reflect/src/main/java/org/simpleflatmapper/reflect/MethodBiFunctionPair.java,org.simpleflatmapper.reflect.MethodBiFunctionPair,class,1,3,2,1,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,7,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-map/src/main/java/org/simpleflatmapper/map/setter/ContextualSetterAdapter.java,org.simpleflatmapper.map.setter.ContextualSetterAdapter$PrimitiveLongContextualSetterAdapter,innerclass,4,4,0,4,2,1,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-reflect/src/main/java/org/simpleflatmapper/reflect/primitive/ShortGetter.java,org.simpleflatmapper.reflect.primitive.ShortGetter,interface,1,10,9,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-reflect/src/main/java/org/simpleflatmapper/reflect/meta/ObjectClassMeta.java,org.simpleflatmapper.reflect.meta.ObjectClassMeta,class,21,36,15,21,39,1,0,46,33,0.69480515,0.36764705,0.77205884,22,2,14,5,1,2,17,0,0,0,7,0,0,7,0,0,7,0,9,258,21,8,4,1,0,0,2,31,1,21,4,2,0,0,72,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-csv/src/main/java/org/simpleflatmapper/csv/CsvParser.java,org.simpleflatmapper.csv.CsvParser$DSLYamlComment,innerclass,13,13,0,13,13,2,0,15,66,0.9166667,0.0,0.0,12,0,4,5,3,0,7,0,1,0,1,1,0,1,0,0,1,0,0,53,6,0,1,1,0,0,0,4,0,4,1,1,0,0,54,25,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-reflect/src/test/java/org/simpleflatmapper/reflect/test/meta/ImmutableFoobarValue.java,org.simpleflatmapper.reflect.test.meta.ImmutableFoobarValue,class,3,5,2,3,19,1,0,8,0,0.3846154,0.45454547,0.5090909,13,2,11,2,0,0,11,0,3,0,3,0,0,3,0,0,3,0,1,120,15,0,4,0,3,4,5,8,7,6,1,0,1,0,30,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-reflect/src/main/java/org/simpleflatmapper/reflect/impl/EmptyStaticMethodInstantiator.java,org.simpleflatmapper.reflect.impl.EmptyStaticMethodInstantiator,class,3,4,1,3,4,1,0,4,1,0.33333334,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,19,3,0,0,1,0,2,0,2,0,2,1,0,0,0,18,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-test-lombok/src/test/java/org/simpleflatmapper/lombok/Issue653Test.java,org.simpleflatmapper.lombok.Issue653Test,class,4,4,0,4,2,1,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,1,1,0,18,0,4,3,11,1,1,0,2,26,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-map/src/main/java/org/simpleflatmapper/map/mapper/DiscriminatorConstantSourceMapperBuilder.java,org.simpleflatmapper.map.mapper.DiscriminatorConstantSourceMapperBuilder$OneColumnBuildBiInstantiator,innerclass,9,9,0,9,6,1,0,3,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,19,1,1,3,0,2,3,2,5,1,5,1,0,0,0,29,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-poi/src/test/java/org/simpleflatmapper/poi/test/impl/RowGetterFactoryTest.java,org.simpleflatmapper.poi.test.impl.RowGetterFactoryTest,class,21,21,0,21,40,1,0,31,0,0.7105263,0.94871795,0.94871795,38,0,38,0,0,0,39,0,0,0,12,0,0,0,0,12,0,0,0,218,0,0,0,1,24,15,58,51,0,51,1,0,0,0,57,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-util/src/main/java/org/simpleflatmapper/util/date/DateFormatSupplier.java,org.simpleflatmapper.util.date.DateFormatSupplier,interface,0,4,4,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-converter-joda-time/src/main/java/org/simpleflatmapper/converter/joda/impl/time/JodaLocalDateTimeTojuLocalDateTimeConverter.java,org.simpleflatmapper.converter.joda.impl.time.JodaLocalDateTimeTojuLocalDateTimeConverter,class,3,3,0,3,2,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,1,0,0,0,1,0,1,0,1,0,0,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-datastax/src/test/java/org/simpleflatmapper/datastax/test/beans/DbObjectsWithMapUDT.java,org.simpleflatmapper.datastax.test.beans.DbObjectsWithMapUDT$MyType,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-jooq/src/test/java/org/simpleflatmapper/jooq/test/JSONObjectTest494.java,org.simpleflatmapper.jooq.test.JSONObjectTest494$File,innerclass,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,3,0,3,0,0,0,3,0,0,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,9,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-map/src/main/java/org/simpleflatmapper/map/mapper/MapperKey.java,org.simpleflatmapper.map.mapper.MapperKey,class,3,18,15,3,11,1,0,6,0,0.16666667,1.0,1.0,6,0,5,1,0,0,5,0,0,0,1,0,0,1,0,0,1,0,2,31,9,1,3,0,0,3,1,3,1,3,2,0,0,0,22,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-jooq/src/test/java/org/simpleflatmapper/jooq/test/JooqUnmapperTest.java,org.simpleflatmapper.jooq.test.JooqUnmapperTest,class,13,13,0,13,2,1,0,26,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0,0,3,2,10,0,10,0,1,0,0,40,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-reflect/src/main/java/org/simpleflatmapper/reflect/primitive/BooleanSetter.java,org.simpleflatmapper.reflect.primitive.BooleanSetter,interface,1,10,9,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-jmh/src/main/java/org/simpleflatmapper/map/CacheType.java,org.simpleflatmapper.map.CacheType$Anonymous4,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-jmh/src/main/java/org/simpleflatmapper/map/CacheType.java,org.simpleflatmapper.map.CacheType$Anonymous3,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-jmh/src/main/java/org/simpleflatmapper/map/CacheType.java,org.simpleflatmapper.map.CacheType$Anonymous6,anonymous,3,3,0,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
