file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-reflect/src/main/java/org/simpleflatmapper/reflect/primitive/BoxedShortGetter.java,org.simpleflatmapper.reflect.primitive.BoxedShortGetter,"BoxedShortGetter/1[org.simpleflatmapper.reflect.Getter<? super T,? extends java.lang.Short>]",delegate,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-reflect/src/main/java/org/simpleflatmapper/reflect/primitive/BoxedShortGetter.java,org.simpleflatmapper.reflect.primitive.BoxedShortGetter,get/1[T],delegate,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-csv/src/main/java/org/simpleflatmapper/csv/getter/CsvBoxedByteGetter.java,org.simpleflatmapper.csv.getter.CsvBoxedByteGetter,CsvBoxedByteGetter/1[int],index,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-csv/src/main/java/org/simpleflatmapper/csv/getter/CsvBoxedByteGetter.java,org.simpleflatmapper.csv.getter.CsvBoxedByteGetter,"get/2[org.simpleflatmapper.csv.CsvRow,org.simpleflatmapper.converter.Context]",index,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-reflect/src/main/java/org/simpleflatmapper/reflect/asm/InstantiatorBuilder.java,org.simpleflatmapper.reflect.asm.InstantiatorBuilder$GetterCall,"GetterCall/3[java.lang.String,java.lang.reflect.Type,boolean]",methodName,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-reflect/src/main/java/org/simpleflatmapper/reflect/asm/InstantiatorBuilder.java,org.simpleflatmapper.reflect.asm.InstantiatorBuilder$GetterCall,"GetterCall/3[java.lang.String,java.lang.reflect.Type,boolean]",getterType,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-reflect/src/main/java/org/simpleflatmapper/reflect/asm/InstantiatorBuilder.java,org.simpleflatmapper.reflect.asm.InstantiatorBuilder$GetterCall,"GetterCall/3[java.lang.String,java.lang.reflect.Type,boolean]",isPrimitive,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-datastax/src/main/java/org/simpleflatmapper/datastax/DatastaxMapperFactory.java,org.simpleflatmapper.datastax.DatastaxMapperFactory$MapperFactory,newInstance/1[org.simpleflatmapper.datastax.MapperKey<org.simpleflatmapper.datastax.DatastaxColumnKey>],classMeta,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-datastax/src/main/java/org/simpleflatmapper/datastax/DatastaxMapperFactory.java,org.simpleflatmapper.datastax.DatastaxMapperFactory$MapperFactory,MapperFactory/1[org.simpleflatmapper.datastax.ClassMeta<T>],classMeta,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-datastax/src/main/java/org/simpleflatmapper/datastax/impl/setter/BigIntegerSettableDataSetter.java,org.simpleflatmapper.datastax.impl.setter.BigIntegerSettableDataSetter,BigIntegerSettableDataSetter/1[int],index,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-datastax/src/main/java/org/simpleflatmapper/datastax/impl/setter/BigIntegerSettableDataSetter.java,org.simpleflatmapper.datastax.impl.setter.BigIntegerSettableDataSetter,"set/2[org.simpleflatmapper.datastax.impl.setter.SettableByIndexData,java.math.BigInteger]",index,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-map/src/main/java/org/simpleflatmapper/map/property/SetterFactoryProperty.java,org.simpleflatmapper.map.property.SetterFactoryProperty,toString/0,setterFactory,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-map/src/main/java/org/simpleflatmapper/map/property/SetterFactoryProperty.java,org.simpleflatmapper.map.property.SetterFactoryProperty,"SetterFactoryProperty/2[org.simpleflatmapper.map.property.SetterFactory<?,?>,java.lang.reflect.Type]",setterFactory,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-map/src/main/java/org/simpleflatmapper/map/property/SetterFactoryProperty.java,org.simpleflatmapper.map.property.SetterFactoryProperty,"SetterFactoryProperty/2[org.simpleflatmapper.map.property.SetterFactory<?,?>,java.lang.reflect.Type]",targetType,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-map/src/main/java/org/simpleflatmapper/map/property/SetterFactoryProperty.java,org.simpleflatmapper.map.property.SetterFactoryProperty,"getTargetType/1[org.simpleflatmapper.map.property.SetterFactory<?,?>]",setterFactory,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-map/src/main/java/org/simpleflatmapper/map/property/SetterFactoryProperty.java,org.simpleflatmapper.map.property.SetterFactoryProperty,getSetterFactory/0,setterFactory,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-map/src/main/java/org/simpleflatmapper/map/property/SetterFactoryProperty.java,org.simpleflatmapper.map.property.SetterFactoryProperty,getTargetType/0,targetType,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-map/src/main/java/org/simpleflatmapper/map/property/SetterFactoryProperty.java,org.simpleflatmapper.map.property.SetterFactoryProperty,"SetterFactoryProperty/1[org.simpleflatmapper.map.property.SetterFactory<?,?>]",setterFactory,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-map/src/main/java/org/simpleflatmapper/map/MapperConfig.java,org.simpleflatmapper.map.MapperConfig$Discriminator,getCase/1[java.lang.reflect.Type],cases,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-map/src/main/java/org/simpleflatmapper/map/MapperConfig.java,org.simpleflatmapper.map.MapperConfig$Discriminator,getCase/1[java.lang.reflect.Type],type,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-map/src/main/java/org/simpleflatmapper/map/MapperConfig.java,org.simpleflatmapper.map.MapperConfig$Discriminator,"Discriminator/4[java.lang.reflect.Type,org.simpleflatmapper.map.MapperConfig.DiscriminatorCase<ROW,K,T>[],org.simpleflatmapper.map.Predicate<? super K>,java.lang.Object]",cases,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/SimpleFlatMapper/../../SimpleFlatMapper/sfm-map/src/main/java/org/simpleflatmapper/map/MapperConfig.java,org.simpleflatmapper.map.MapperConfig$Discriminator,"Discriminator/4[java.lang.reflect.Type,org.simpleflatmapper.map.MapperConfig.DiscriminatorCase<ROW,K,T>[],org.simpleflatmapper.map.Predicate<? super K>,java.lang.Object]",discriminatorId,3
