file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/ecs/dao/TestMultiBeanDao.java,com.swingfrog.summer.test.ecs.dao.TestMultiBeanDao,class,3,4,1,3,0,6,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/repository/service/Test2Service.java,com.swingfrog.summer.test.repository.service.Test2Service,class,3,5,2,3,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,5,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/web/exception/WebSessionException.java,com.swingfrog.summer.web.exception.WebSessionException,class,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,3,0,0,0,0,0,1,1,1,0,1,0,0,0,0,15,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/protocol/protobuf/proto/CommonProto.java,com.swingfrog.summer.protocol.protobuf.proto.CommonProto$ErrorCode_Resp_1OrBuilder,interface,2,2,0,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/eventbus/event/TestClassAEvent.java,com.swingfrog.summer.test.eventbus.event.TestClassAEvent,class,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/ecs/dao/BaseRepository.java,com.swingfrog.summer.test.ecs.dao.BaseRepository,class,3,7,4,3,2,5,0,0,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1025,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/ecs/config/TestConfig.java,com.swingfrog.summer.test.ecs.config.TestConfig,class,1,2,1,1,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/protocol/protobuf/proto/CommonProto.java,com.swingfrog.summer.protocol.protobuf.proto.CommonProto$HeartBeat_Resp_0$Anonymous2,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,class,6,12,6,6,17,1,0,27,18,0.77777785,0.1904762,0.47619048,9,1,7,2,0,0,7,0,0,0,6,2,1,5,0,0,3,0,8,86,5,2,2,0,0,13,12,16,0,14,2,0,1,0,45,1,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/server/rpc/RpcClientCluster.java,com.swingfrog.summer.server.rpc.RpcClientCluster,class,3,4,1,3,12,1,0,11,0,0.5,0.71428573,1.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,3,0,1,46,6,3,1,0,0,0,0,6,0,6,1,0,0,0,27,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/client/ClientMgr.java,com.swingfrog.summer.client.ClientMgr$SingleCase,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/meter/protobuf/AbstractMeterProtobufClient.java,com.swingfrog.summer.meter.protobuf.AbstractMeterProtobufClient$Push,innerclass,3,3,0,3,2,1,0,1,1,0.0,NaN,NaN,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1036,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/web/view/InteriorViewFactory.java,com.swingfrog.summer.web.view.InteriorViewFactory,class,3,7,4,3,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/ecsgameserver/module/player/resource/PlayerResourceComponent.java,com.swingfrog.summer.test.ecsgameserver.module.player.resource.PlayerResourceComponent,class,5,7,2,5,1,5,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
