file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/repository/service/Test2Service.java,com.swingfrog.summer.test.repository.service.Test2Service,print/0,log,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,getClientGroupConfig/0,clientGroupConfig,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,ConfigMgr/0,serverConfig,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,getClientConfigs/0,clientConfigs,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,loadConfig/1[java.io.InputStream],minorConfigs,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,loadConfig/1[java.io.InputStream],clientConfigs,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,loadConfig/1[java.io.InputStream],serverConfig,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,loadConfig/1[java.io.InputStream],clientGroupConfig,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,loadConfig/1[java.lang.String],log,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,loadConfig/1[java.lang.String],DEFAULT_CONFIG_PATH,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,getMinorConfigs/0,minorConfigs,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,loadDefaultConfig/0,serverConfig,13
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,getServerConfig/0,serverConfig,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/server/rpc/RpcClientCluster.java,com.swingfrog.summer.server.rpc.RpcClientCluster,getClientByName/1[java.lang.String],nameToClientGroup,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/server/rpc/RpcClientCluster.java,com.swingfrog.summer.server.rpc.RpcClientCluster,"addClient/2[java.lang.String,com.swingfrog.summer.server.rpc.RpcClientGroup]",clientGroupList,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/server/rpc/RpcClientCluster.java,com.swingfrog.summer.server.rpc.RpcClientCluster,"addClient/2[java.lang.String,com.swingfrog.summer.server.rpc.RpcClientGroup]",nameToClientGroup,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/server/rpc/RpcClientCluster.java,com.swingfrog.summer.server.rpc.RpcClientCluster,removeClient/1[com.swingfrog.summer.server.SessionContext],clientGroupList,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/server/rpc/RpcClientCluster.java,com.swingfrog.summer.server.rpc.RpcClientCluster,listAllClients/0,clientGroupList,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/server/rpc/RpcClientCluster.java,com.swingfrog.summer.server.rpc.RpcClientCluster,listOneClients/0,clientGroupList,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/server/rpc/RpcClientCluster.java,com.swingfrog.summer.server.rpc.RpcClientCluster,RpcClientCluster/0,next,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/server/rpc/RpcClientCluster.java,com.swingfrog.summer.server.rpc.RpcClientCluster,RpcClientCluster/0,clientGroupList,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/server/rpc/RpcClientCluster.java,com.swingfrog.summer.server.rpc.RpcClientCluster,RpcClientCluster/0,nameToClientGroup,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/server/rpc/RpcClientCluster.java,com.swingfrog.summer.server.rpc.RpcClientCluster,getRpcClientGroup/1[java.lang.String],nameToClientGroup,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/server/rpc/RpcClientCluster.java,com.swingfrog.summer.server.rpc.RpcClientCluster,getClientWithNext/0,next,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/server/rpc/RpcClientCluster.java,com.swingfrog.summer.server.rpc.RpcClientCluster,getClientWithNext/0,clientGroupList,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102$Builder,getB/0,b_,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102$Builder,clearA/0,a_,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102$Builder,getA/0,a_,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102$Builder,clear/0,b_,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102$Builder,clear/0,a_,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102$Builder,clearB/0,b_,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102$Builder,buildPartial/0,b_,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102$Builder,buildPartial/0,a_,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102$Builder,setB/1[int],b_,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102$Builder,setA/1[int],a_,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102,writeTo/1[com.google.protobuf.CodedOutputStream],b_,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102,writeTo/1[com.google.protobuf.CodedOutputStream],a_,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102,getB/0,b_,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102,getSerializedSize/0,b_,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102,getSerializedSize/0,a_,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102,newBuilder/0,DEFAULT_INSTANCE,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102,getDefaultInstance/0,DEFAULT_INSTANCE,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102,toBuilder/0,DEFAULT_INSTANCE,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102,hashCode/0,B_FIELD_NUMBER,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102,hashCode/0,A_FIELD_NUMBER,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102,newBuilder/1[com.swingfrog.summer.test.protobuf.proto.TestProto.Add_Req_102],DEFAULT_INSTANCE,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102,getA/0,a_,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102,isInitialized/0,memoizedIsInitialized,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102,getDefaultInstanceForType/0,DEFAULT_INSTANCE,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102,"Add_Req_102/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",b_,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/protobuf/proto/TestProto.java,com.swingfrog.summer.test.protobuf.proto.TestProto$Add_Req_102,"Add_Req_102/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",a_,1
