file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/repository/service/Test2Service.java,com.swingfrog.summer.test.repository.service.Test2Service,print/0,false,12,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/protocol/protobuf/proto/CommonProto.java,com.swingfrog.summer.protocol.protobuf.proto.CommonProto$ErrorCode_Resp_1OrBuilder,getReqId/0,false,928,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/protocol/protobuf/proto/CommonProto.java,com.swingfrog.summer.protocol.protobuf.proto.CommonProto$ErrorCode_Resp_1OrBuilder,getMsgBytes/0,false,945,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/protocol/protobuf/proto/CommonProto.java,com.swingfrog.summer.protocol.protobuf.proto.CommonProto$ErrorCode_Resp_1OrBuilder,getMsg/0,false,940,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/protocol/protobuf/proto/CommonProto.java,com.swingfrog.summer.protocol.protobuf.proto.CommonProto$ErrorCode_Resp_1OrBuilder,getCode/0,false,934,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/ecs/dao/BaseRepository.java,com.swingfrog.summer.test.ecs.dao.BaseRepository,delayTime/0,false,8,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/ecs/dao/BaseRepository.java,com.swingfrog.summer.test.ecs.dao.BaseRepository,expireTime/0,false,13,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/test/java/com/swingfrog/summer/test/ecs/config/TestConfig.java,com.swingfrog.summer.test.ecs.config.TestConfig,getContent/0,false,8,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/protocol/protobuf/proto/CommonProto.java,com.swingfrog.summer.protocol.protobuf.proto.CommonProto$HeartBeat_Resp_0$Anonymous2,"parsePartialFrom/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",false,903,2,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,getClientGroupConfig/0,false,103,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,ConfigMgr/0,true,29,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,getClientConfigs/0,false,107,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,get/0,false,33,1,6,6,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,loadConfig/1[java.io.InputStream],false,51,4,6,1,5,7,8,27,0,7,1,8,0,0,2,2,0,0,6,4,12,0,2,0,0,0,20,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,loadConfig/1[java.lang.String],false,37,1,3,1,2,3,5,15,0,1,1,5,2,1,0,0,0,0,1,0,1,0,2,0,0,0,11,1,1,false
