file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/protocol/protobuf/proto/CommonProto.java,com.swingfrog.summer.protocol.protobuf.proto.CommonProto$HeartBeat_Resp_0$Anonymous2,"parsePartialFrom/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",input,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/protocol/protobuf/proto/CommonProto.java,com.swingfrog.summer.protocol.protobuf.proto.CommonProto$HeartBeat_Resp_0$Anonymous2,"parsePartialFrom/2[com.google.protobuf.CodedInputStream,com.google.protobuf.ExtensionRegistryLite]",extensionRegistry,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,loadConfig/1[java.io.InputStream],minorList,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,loadConfig/1[java.io.InputStream],clients,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,loadConfig/1[java.io.InputStream],in,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,loadConfig/1[java.io.InputStream],minors,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,loadConfig/1[java.io.InputStream],i,11
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,loadConfig/1[java.io.InputStream],clientList,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,loadConfig/1[java.io.InputStream],pro,8
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/Summer/../../Summer/src/main/java/com/swingfrog/summer/config/ConfigMgr.java,com.swingfrog.summer.config.ConfigMgr,loadConfig/1[java.lang.String],path,3
