file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/SettingPanelAbout.java,com.luoboduner.wesync.ui.panel.SettingPanelAbout,class,3,5,2,3,5,5,0,12,10,1.0,NaN,NaN,5,0,1,4,0,0,1,0,0,0,1,1,0,1,0,0,1,0,3,57,2,0,0,0,0,4,8,12,0,12,0,0,0,0,35,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/ToolBarPanel.java,com.luoboduner.wesync.ui.panel.ToolBarPanel,class,9,11,2,9,4,5,0,22,4,0.5833333,NaN,NaN,4,0,1,3,0,0,1,0,0,0,6,6,0,6,0,0,1,0,10,105,0,0,0,0,0,5,9,9,0,14,1,0,0,5,36,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/SettingPanel.java,com.luoboduner.wesync.ui.panel.SettingPanel,class,4,6,2,4,6,5,0,14,11,0.77777785,NaN,NaN,6,0,1,5,0,0,1,0,0,0,6,6,1,5,0,0,1,0,4,109,2,0,0,0,0,4,19,15,0,15,0,2,0,0,38,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/dialog/DbBackUpCreateDialog.java,com.luoboduner.wesync.ui.dialog.DbBackUpCreateDialog,class,1,2,1,1,2,6,0,10,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,47,0,0,0,0,0,9,13,14,0,15,0,0,0,1,43,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/tools/DbUtilMySQL.java,com.luoboduner.wesync.tools.DbUtilMySQL,class,5,11,6,5,30,1,0,26,9,0.68888885,0.42857143,0.71428573,10,1,7,3,0,0,7,0,0,8,9,6,0,9,0,0,1,0,7,124,6,0,10,3,0,20,2,37,6,17,1,0,0,0,51,1,6
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/DatabasePanelTo.java,com.luoboduner.wesync.ui.panel.DatabasePanelTo,class,7,11,4,7,12,5,0,39,13,0.6785715,0.0,0.0,7,1,2,5,0,0,2,0,0,0,8,8,0,8,0,0,2,0,24,150,2,0,1,4,0,25,5,33,5,31,3,0,0,2,71,1,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/UiConsts.java,com.luoboduner.wesync.ui.UiConsts,class,2,2,0,2,0,1,0,5,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,64,64,64,0,0,0,64,0,5,66,0,0,0,0,0,51,27,64,0,64,0,0,0,0,39,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/App.java,com.luoboduner.wesync.App,class,10,12,2,10,6,1,0,22,0,0.6944444,0.0,0.0,4,1,2,2,0,0,2,0,0,0,9,8,7,2,0,0,1,0,4,86,0,0,0,2,0,3,0,12,0,12,2,1,0,1,50,1,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/DatabasePanelFrom.java,com.luoboduner.wesync.ui.panel.DatabasePanelFrom,class,7,11,4,7,12,5,0,39,13,0.6785715,0.0,0.0,7,1,2,5,0,0,2,0,0,0,8,8,0,8,0,0,2,0,24,150,2,0,1,4,0,26,5,33,5,31,3,0,0,2,72,1,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/StatusPanel.java,com.luoboduner.wesync.ui.panel.StatusPanel,class,8,11,3,8,19,5,0,44,30,0.8245614,0.0,0.0,9,2,2,7,0,0,2,0,0,0,19,19,15,4,0,0,2,0,25,256,5,0,1,1,0,34,52,44,10,46,2,1,0,3,92,1,0
