file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/SettingPanelAbout.java,com.luoboduner.wesync.ui.panel.SettingPanelAbout,initialize/0,false,30,0,1,1,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/SettingPanelAbout.java,com.luoboduner.wesync.ui.panel.SettingPanelAbout,getCenterPanel/0,false,50,2,3,1,2,1,6,32,1,9,0,6,0,0,0,0,0,0,3,6,9,0,0,0,0,0,20,2,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/SettingPanelAbout.java,com.luoboduner.wesync.ui.panel.SettingPanelAbout,addComponent/0,false,38,1,3,1,2,1,3,4,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/SettingPanelAbout.java,com.luoboduner.wesync.ui.panel.SettingPanelAbout,SettingPanelAbout/0,true,22,1,3,1,2,1,2,4,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/SettingPanelAbout.java,com.luoboduner.wesync.ui.panel.SettingPanelAbout,getDownPanel/0,false,112,1,2,1,1,1,6,10,1,2,0,6,0,0,0,0,0,0,1,1,2,0,0,0,0,0,10,2,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/ToolBarPanel.java,com.luoboduner.wesync.ui.panel.ToolBarPanel,addButtion/0,false,50,2,3,1,2,1,5,20,0,2,0,5,0,0,0,0,0,0,5,5,7,0,0,0,0,0,19,2,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/ToolBarPanel.java,com.luoboduner.wesync.ui.panel.ToolBarPanel,initialize/0,false,38,0,1,1,0,1,5,8,0,1,0,5,0,0,0,0,0,0,0,3,1,0,0,0,0,0,6,2,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/ToolBarPanel.java,com.luoboduner.wesync.ui.panel.ToolBarPanel,ToolBarPanel/0,true,29,1,4,1,3,1,3,5,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/ToolBarPanel.java,com.luoboduner.wesync.ui.panel.ToolBarPanel,addListener/0,false,84,6,7,1,6,1,12,64,0,5,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,2,0,true
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/SettingPanel.java,com.luoboduner.wesync.ui.panel.SettingPanel,getUpPanel/0,false,61,1,2,1,1,1,6,10,1,2,0,6,0,0,0,0,0,0,1,1,2,0,0,0,0,0,10,2,0,true
