file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/SettingPanelAbout.java,com.luoboduner.wesync.ui.panel.SettingPanelAbout,getCenterPanel/0,panelCenter,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/SettingPanelAbout.java,com.luoboduner.wesync.ui.panel.SettingPanelAbout,getCenterPanel/0,labelAdvice,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/SettingPanelAbout.java,com.luoboduner.wesync.ui.panel.SettingPanelAbout,getCenterPanel/0,panelGridHelp,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/SettingPanelAbout.java,com.luoboduner.wesync.ui.panel.SettingPanelAbout,getCenterPanel/0,size,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/SettingPanelAbout.java,com.luoboduner.wesync.ui.panel.SettingPanelAbout,getCenterPanel/0,labelHelp,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/SettingPanelAbout.java,com.luoboduner.wesync.ui.panel.SettingPanelAbout,getCenterPanel/0,labelVersion,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/SettingPanelAbout.java,com.luoboduner.wesync.ui.panel.SettingPanelAbout,getCenterPanel/0,icon,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/SettingPanelAbout.java,com.luoboduner.wesync.ui.panel.SettingPanelAbout,getCenterPanel/0,panelGridIcon,6
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/SettingPanelAbout.java,com.luoboduner.wesync.ui.panel.SettingPanelAbout,getCenterPanel/0,labelName,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/WeSync/../../WeSync/src/main/java/com/luoboduner/wesync/ui/panel/SettingPanelAbout.java,com.luoboduner.wesync.ui.panel.SettingPanelAbout,getDownPanel/0,labelInfo,3
