file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/data/model/api/LoginRequest.java,com.mindorks.framework.mvvm.data.model.api.LoginRequest$GoogleLoginRequest,innerclass,3,3,0,3,12,1,0,3,0,0.2,0.9,1.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,32,7,0,9,0,1,2,3,5,2,4,1,0,0,0,20,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/di/module/AppModule.java,com.mindorks.framework.mvvm.di.module.AppModule,class,22,23,1,22,13,1,0,9,78,0.0,0.0,0.0,13,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,41,13,0,0,0,0,1,0,0,0,0,0,0,0,0,38,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/ui/feed/blogs/BlogAdapter.java,com.mindorks.framework.mvvm.ui.feed.blogs.BlogAdapter$BlogAdapterListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/utils/ViewUtils.java,com.mindorks.framework.mvvm.utils.ViewUtils,class,2,2,0,2,5,1,0,6,6,0.0,0.0,0.0,4,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,18,2,0,1,0,1,0,1,2,3,2,1,0,0,0,21,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/data/remote/ApiHeader.java,com.mindorks.framework.mvvm.data.remote.ApiHeader,class,4,7,3,4,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,54,2,0,0,0,0,0,0,2,0,2,0,0,2,0,12,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/ui/base/BaseActivity.java,com.mindorks.framework.mvvm.ui.base.BaseActivity,class,20,30,10,20,24,2,0,31,132,0.90196085,0.00952381,0.00952381,17,0,13,2,2,0,15,3,0,0,3,0,0,2,1,0,0,0,3,64,4,0,4,0,1,0,1,4,0,5,2,0,0,0,79,1025,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/ui/feed/FeedActivity.java,com.mindorks.framework.mvvm.ui.feed.FeedActivity,class,12,14,2,12,10,3,0,27,19,0.78571427,0.0,0.0,7,1,5,1,1,0,6,0,0,0,2,0,0,1,0,1,0,0,0,58,5,0,2,0,0,0,1,2,0,3,2,1,0,0,44,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/ui/feed/blogs/BlogItemViewModel.java,com.mindorks.framework.mvvm.ui.feed.blogs.BlogItemViewModel$BlogItemViewModelListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/data/model/api/OpenSourceResponse.java,com.mindorks.framework.mvvm.data.model.api.OpenSourceResponse,class,4,8,4,4,14,1,0,4,0,0.5,0.5714286,1.0,8,0,8,0,0,0,8,0,0,0,3,0,0,3,0,0,0,0,0,89,9,0,4,0,2,3,3,7,4,5,1,0,1,0,25,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/ui/feed/blogs/BlogEmptyItemViewModel.java,com.mindorks.framework.mvvm.ui.feed.blogs.BlogEmptyItemViewModel$BlogEmptyItemViewModelListener,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/ui/feed/opensource/OpenSourceFragment.java,com.mindorks.framework.mvvm.ui.feed.opensource.OpenSourceFragment,class,16,19,3,16,9,3,0,13,32,0.81481487,0.0,0.0,9,1,8,1,0,0,8,0,0,0,3,0,0,0,0,3,0,0,0,41,3,0,0,0,0,0,0,3,0,5,0,0,0,0,42,1,0
