file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/data/model/api/LoginRequest.java,com.mindorks.framework.mvvm.data.model.api.LoginRequest$GoogleLoginRequest,"GoogleLoginRequest/2[java.lang.String,java.lang.String]",googleUserId,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/data/model/api/LoginRequest.java,com.mindorks.framework.mvvm.data.model.api.LoginRequest$GoogleLoginRequest,"GoogleLoginRequest/2[java.lang.String,java.lang.String]",idToken,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/data/model/api/LoginRequest.java,com.mindorks.framework.mvvm.data.model.api.LoginRequest$GoogleLoginRequest,equals/1[java.lang.Object],googleUserId,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/data/model/api/LoginRequest.java,com.mindorks.framework.mvvm.data.model.api.LoginRequest$GoogleLoginRequest,equals/1[java.lang.Object],idToken,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/data/model/api/LoginRequest.java,com.mindorks.framework.mvvm.data.model.api.LoginRequest$GoogleLoginRequest,hashCode/0,googleUserId,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/data/model/api/LoginRequest.java,com.mindorks.framework.mvvm.data.model.api.LoginRequest$GoogleLoginRequest,hashCode/0,idToken,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/data/model/api/LoginRequest.java,com.mindorks.framework.mvvm.data.model.api.LoginRequest$GoogleLoginRequest,getGoogleUserId/0,googleUserId,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/data/model/api/LoginRequest.java,com.mindorks.framework.mvvm.data.model.api.LoginRequest$GoogleLoginRequest,getIdToken/0,idToken,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/data/remote/ApiHeader.java,com.mindorks.framework.mvvm.data.remote.ApiHeader,"ApiHeader/2[com.mindorks.framework.mvvm.data.remote.ApiHeader.PublicApiHeader,com.mindorks.framework.mvvm.data.remote.ApiHeader.ProtectedApiHeader]",mProtectedApiHeader,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/data/remote/ApiHeader.java,com.mindorks.framework.mvvm.data.remote.ApiHeader,"ApiHeader/2[com.mindorks.framework.mvvm.data.remote.ApiHeader.PublicApiHeader,com.mindorks.framework.mvvm.data.remote.ApiHeader.ProtectedApiHeader]",mPublicApiHeader,1
