file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/data/model/api/LoginRequest.java,com.mindorks.framework.mvvm.data.model.api.LoginRequest$GoogleLoginRequest,"GoogleLoginRequest/2[java.lang.String,java.lang.String]",googleUserId,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/data/model/api/LoginRequest.java,com.mindorks.framework.mvvm.data.model.api.LoginRequest$GoogleLoginRequest,"GoogleLoginRequest/2[java.lang.String,java.lang.String]",idToken,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/data/model/api/LoginRequest.java,com.mindorks.framework.mvvm.data.model.api.LoginRequest$GoogleLoginRequest,equals/1[java.lang.Object],that,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/data/model/api/LoginRequest.java,com.mindorks.framework.mvvm.data.model.api.LoginRequest$GoogleLoginRequest,equals/1[java.lang.Object],object,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/data/model/api/LoginRequest.java,com.mindorks.framework.mvvm.data.model.api.LoginRequest$GoogleLoginRequest,hashCode/0,result,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/di/module/AppModule.java,com.mindorks.framework.mvvm.di.module.AppModule,provideContext/1[com.mindorks.framework.mvvm.di.module.Application],application,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/di/module/AppModule.java,com.mindorks.framework.mvvm.di.module.AppModule,"provideProtectedApiHeader/2[java.lang.String,com.mindorks.framework.mvvm.data.local.prefs.PreferencesHelper]",preferencesHelper,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/di/module/AppModule.java,com.mindorks.framework.mvvm.di.module.AppModule,"provideProtectedApiHeader/2[java.lang.String,com.mindorks.framework.mvvm.data.local.prefs.PreferencesHelper]",apiKey,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/di/module/AppModule.java,com.mindorks.framework.mvvm.di.module.AppModule,provideDataManager/1[com.mindorks.framework.mvvm.data.AppDataManager],appDataManager,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/di/module/AppModule.java,com.mindorks.framework.mvvm.di.module.AppModule,provideApiHelper/1[com.mindorks.framework.mvvm.data.remote.AppApiHelper],appApiHelper,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/di/module/AppModule.java,com.mindorks.framework.mvvm.di.module.AppModule,providePreferencesHelper/1[com.mindorks.framework.mvvm.data.local.prefs.AppPreferencesHelper],appPreferencesHelper,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/android-mvvm-architecture/../../android-mvvm-architecture/app/src/main/java/com/mindorks/framework/mvvm/di/module/AppModule.java,com.mindorks.framework.mvvm.di.module.AppModule,"provideAppDatabase/2[java.lang.String,com.mindorks.framework.mvvm.di.module.Context]",dbName,1
