file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,getType/0,type,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,getOrderTypes/0,orderTypes,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,getNullFirst/0,nullFirst,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,getOrderFields/0,orderFields,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,setIndex/1[int[]],index,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,setNullFirst/1[boolean[]],nullFirst,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,setCaseSensitive/1[boolean[]],caseSensitive,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,setRegFlag/1[boolean],regFlag,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,setType/1[java.lang.String[]],type,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,getIndex/0,index,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,setOrderFields/1[java.lang.String[]],orderFields,3
