file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/ObjToSQL.java,org.teasoft.bee.osql.ObjToSQL,toUpdateSQL/1[T],entity,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/ObjToSQL.java,org.teasoft.bee.osql.ObjToSQL,toInsertSQL/1[T],entity,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/ObjToSQL.java,org.teasoft.bee.osql.ObjToSQL,"toDeleteSQL/2[T,org.teasoft.bee.osql.api.Condition]",condition,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/ObjToSQL.java,org.teasoft.bee.osql.ObjToSQL,"toDeleteSQL/2[T,org.teasoft.bee.osql.api.Condition]",entity,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/ObjToSQL.java,org.teasoft.bee.osql.ObjToSQL,toDeleteSQL/1[T],entity,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/ObjToSQL.java,org.teasoft.bee.osql.ObjToSQL,"toSelectSQL/2[T,org.teasoft.bee.osql.api.Condition]",condition,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/ObjToSQL.java,org.teasoft.bee.osql.ObjToSQL,"toSelectSQL/2[T,org.teasoft.bee.osql.api.Condition]",entity,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/ObjToSQL.java,org.teasoft.bee.osql.ObjToSQL,toSelectSQL/1[T],entity,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,"orderBy/2[java.lang.String,org.teasoft.bee.osql.OrderType]",orderType,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,"orderBy/2[java.lang.String,org.teasoft.bee.osql.OrderType]",field,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,exists/1[org.teasoft.bee.osql.chain.Select],subSelect,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,"in/2[java.lang.String,org.teasoft.bee.osql.chain.Select]",subSelect,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,"in/2[java.lang.String,org.teasoft.bee.osql.chain.Select]",field,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,distinct/1[java.lang.String],field,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,groupBy/1[java.lang.String],field,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,having/1[java.lang.String],expression,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,notExists/1[org.teasoft.bee.osql.chain.Select],subSelect,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,rightJoin/1[java.lang.String],anotherTable,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,from/1[java.lang.String],table,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,start/1[int],start,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,size/1[int],size,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,"distinct/2[java.lang.String,java.lang.String]",fieldName,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,"distinct/2[java.lang.String,java.lang.String]",alias,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,select/1[java.lang.String],column,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,on/1[java.lang.String],expression,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,"notIn/2[java.lang.String,org.teasoft.bee.osql.chain.Select]",subSelect,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,"notIn/2[java.lang.String,org.teasoft.bee.osql.chain.Select]",field,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,leftJoin/1[java.lang.String],anotherTable,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,join/1[java.lang.String],anotherTable,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,orderBy/1[java.lang.String],field,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/Select.java,org.teasoft.bee.osql.chain.Select,innerJoin/1[java.lang.String],anotherTable,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/spi/defaultimpl/AnnoAdapterBeeDefault.java,org.teasoft.bee.spi.defaultimpl.AnnoAdapterBeeDefault,isColumn/1[java.lang.reflect.Field],field,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/spi/defaultimpl/AnnoAdapterBeeDefault.java,org.teasoft.bee.spi.defaultimpl.AnnoAdapterBeeDefault,getValue/1[java.lang.Class<?>],clazz,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/spi/defaultimpl/AnnoAdapterBeeDefault.java,org.teasoft.bee.spi.defaultimpl.AnnoAdapterBeeDefault,isIgnore/1[java.lang.reflect.Field],field,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/spi/defaultimpl/AnnoAdapterBeeDefault.java,org.teasoft.bee.spi.defaultimpl.AnnoAdapterBeeDefault,isTable/1[java.lang.Class<?>],clazz,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/spi/defaultimpl/AnnoAdapterBeeDefault.java,org.teasoft.bee.spi.defaultimpl.AnnoAdapterBeeDefault,isPrimaryKey/1[java.lang.reflect.Field],field,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/spi/defaultimpl/AnnoAdapterBeeDefault.java,org.teasoft.bee.spi.defaultimpl.AnnoAdapterBeeDefault,getValue/1[java.lang.reflect.Field],field,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/UnionSelect.java,org.teasoft.bee.osql.chain.UnionSelect,"unionAll/2[org.teasoft.bee.osql.chain.Select,org.teasoft.bee.osql.chain.Select]",subSelect2,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/UnionSelect.java,org.teasoft.bee.osql.chain.UnionSelect,"unionAll/2[org.teasoft.bee.osql.chain.Select,org.teasoft.bee.osql.chain.Select]",subSelect1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/UnionSelect.java,org.teasoft.bee.osql.chain.UnionSelect,"unionAll/2[java.lang.String,java.lang.String]",subSelect2,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/UnionSelect.java,org.teasoft.bee.osql.chain.UnionSelect,"unionAll/2[java.lang.String,java.lang.String]",subSelect1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/UnionSelect.java,org.teasoft.bee.osql.chain.UnionSelect,unionAll/1[java.lang.String[]],subSelects,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/UnionSelect.java,org.teasoft.bee.osql.chain.UnionSelect,"union/2[java.lang.String,java.lang.String]",subSelect2,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/UnionSelect.java,org.teasoft.bee.osql.chain.UnionSelect,"union/2[java.lang.String,java.lang.String]",subSelect1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/UnionSelect.java,org.teasoft.bee.osql.chain.UnionSelect,"union/2[org.teasoft.bee.osql.chain.Select,org.teasoft.bee.osql.chain.Select]",subSelect2,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/chain/UnionSelect.java,org.teasoft.bee.osql.chain.UnionSelect,"union/2[org.teasoft.bee.osql.chain.Select,org.teasoft.bee.osql.chain.Select]",subSelect1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,setIndex/1[int[]],index,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,setNullFirst/1[boolean[]],nullFirst,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,setCaseSensitive/1[boolean[]],caseSensitive,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,setRegFlag/1[boolean],regFlag,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,setType/1[java.lang.String[]],type,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,setOrderFields/1[java.lang.String[]],orderFields,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,setOrderTypes/1[org.teasoft.bee.osql.OrderType[]],orderTypes,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,"ShardingSortStruct/3[java.lang.String,java.lang.String[],org.teasoft.bee.osql.OrderType[]]",orderSql,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,"ShardingSortStruct/3[java.lang.String,java.lang.String[],org.teasoft.bee.osql.OrderType[]]",orderTypes,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,"ShardingSortStruct/3[java.lang.String,java.lang.String[],org.teasoft.bee.osql.OrderType[]]",orderFields,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSortStruct.java,org.teasoft.bee.sharding.ShardingSortStruct,setOrderSql/1[java.lang.String],orderSql,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/Properties.java,org.teasoft.bee.osql.Properties,getProp/1[java.lang.String],key,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/Properties.java,org.teasoft.bee.osql.Properties,getPropText/1[java.lang.String],key,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSimpleStruct.java,org.teasoft.bee.sharding.ShardingSimpleStruct,setTabAlgorithm/1[int],tabAlgorithm,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSimpleStruct.java,org.teasoft.bee.sharding.ShardingSimpleStruct,setTabShardingValue/1[java.lang.Object],tabShardingValue,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSimpleStruct.java,org.teasoft.bee.sharding.ShardingSimpleStruct,setDsRule/1[java.lang.String],dsRule,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSimpleStruct.java,org.teasoft.bee.sharding.ShardingSimpleStruct,setTabRule/1[java.lang.String],tabRule,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSimpleStruct.java,org.teasoft.bee.sharding.ShardingSimpleStruct,setDsAlgorithm/1[int],dsAlgorithm,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSimpleStruct.java,org.teasoft.bee.sharding.ShardingSimpleStruct,setDsShardingValue/1[java.lang.Object],dsShardingValue,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSimpleStruct.java,org.teasoft.bee.sharding.ShardingSimpleStruct,setDsName/1[java.lang.String],dsName,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/sharding/ShardingSimpleStruct.java,org.teasoft.bee.sharding.ShardingSimpleStruct,setTabName/1[java.lang.String],tabName,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/exception/NotSupportedException.java,org.teasoft.bee.osql.exception.NotSupportedException,NotSupportedException/1[java.lang.Throwable],cause,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/exception/NotSupportedException.java,org.teasoft.bee.osql.exception.NotSupportedException,NotSupportedException/1[java.lang.String],message,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/exception/NotSupportedException.java,org.teasoft.bee.osql.exception.NotSupportedException,"NotSupportedException/2[java.lang.String,java.lang.Throwable]",cause,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/exception/NotSupportedException.java,org.teasoft.bee.osql.exception.NotSupportedException,"NotSupportedException/2[java.lang.String,java.lang.Throwable]",message,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/api/CallableSql.java,org.teasoft.bee.osql.api.CallableSql,getCallableStatement/1[java.lang.String],callSql,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/api/CallableSql.java,org.teasoft.bee.osql.api.CallableSql,"modify/2[java.lang.String,java.lang.Object[]]",callSql,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/api/CallableSql.java,org.teasoft.bee.osql.api.CallableSql,"modify/2[java.lang.String,java.lang.Object[]]",preValues,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/api/CallableSql.java,org.teasoft.bee.osql.api.CallableSql,"selectJson/2[java.lang.String,java.lang.Object[]]",callSql,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/api/CallableSql.java,org.teasoft.bee.osql.api.CallableSql,"selectJson/2[java.lang.String,java.lang.Object[]]",preValues,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/api/CallableSql.java,org.teasoft.bee.osql.api.CallableSql,"select/2[java.lang.String,java.lang.Object[]]",callSql,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/api/CallableSql.java,org.teasoft.bee.osql.api.CallableSql,"select/2[java.lang.String,java.lang.Object[]]",preValues,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/api/CallableSql.java,org.teasoft.bee.osql.api.CallableSql,modify/1[java.sql.CallableStatement],cstmt,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/api/CallableSql.java,org.teasoft.bee.osql.api.CallableSql,"select/3[java.lang.String,T,java.lang.Object[]]",callSql,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/api/CallableSql.java,org.teasoft.bee.osql.api.CallableSql,"select/3[java.lang.String,T,java.lang.Object[]]",preValues,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/osql/api/CallableSql.java,org.teasoft.bee.osql.api.CallableSql,"select/3[java.lang.String,T,java.lang.Object[]]",returnType,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/mongodb/BoxPara.java,org.teasoft.bee.mongodb.BoxPara,setLowerLeftY/1[double],lowerLeftY,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/bee/../../bee/src/main/java/org/teasoft/bee/mongodb/BoxPara.java,org.teasoft.bee.mongodb.BoxPara,setUpperRightX/1[double],upperRightX,2
