file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,innerclass,7,7,0,7,12,2,0,11,24,0.7916667,0.04761905,0.04761905,8,0,7,1,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,66,6,1,2,0,1,0,5,17,0,14,2,0,1,0,50,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CombineUniqueUDAF.java,brickhouse.udf.collect.CombineUniqueUDAF$CombineUniqueUDAFEvaluator$UniqueSetBuffer,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,8,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectMaxUDAF.java,brickhouse.udf.collect.CollectMaxUDAF,class,7,8,1,7,1,3,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,2,0,0,0,1,0,0,166,1,0,0,0,0,2,1,2,0,2,0,0,1,0,40,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/sanity/WriteToGraphiteUDF.java,brickhouse.udf.sanity.WriteToGraphiteUDF$GraphiteWriter,innerclass,2,2,0,2,5,1,0,15,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,26,0,1,1,0,0,1,1,6,1,5,1,0,0,0,46,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/timeseries/MovingAvgUDF.java,brickhouse.udf.timeseries.MovingAvgUDF,class,9,11,2,9,12,2,0,15,4,0.53333336,0.16666667,0.16666667,5,0,4,1,0,0,4,0,0,0,3,1,0,3,0,0,1,0,1,64,6,2,1,1,5,8,9,18,7,16,3,0,0,0,68,1,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/test/java/brickhouse/udf/json/JsonSplitUDFTest.java,brickhouse.udf.json.JsonSplitUDFTest,class,8,8,0,8,5,1,0,8,0,0.0,1.0,1.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,32,0,0,0,0,0,3,1,14,0,14,0,0,0,0,28,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/hbase/CachedGetUDF.java,brickhouse.hbase.CachedGetUDF,class,13,14,1,13,10,2,0,11,0,0.6,0.33333334,0.5,4,0,4,0,0,0,4,0,0,0,10,1,0,10,0,0,1,0,2,88,7,0,3,1,7,18,17,11,11,11,2,2,0,0,137,1,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/timeseries/VectorUnionSumUDAF.java,brickhouse.udf.timeseries.VectorUnionSumUDAF$VectorMapSumUDAFEvaluator$VectorMapAggBuffer,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,8,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/json/ConvertFromCamelCaseUDF.java,brickhouse.udf.json.ConvertFromCamelCaseUDF,class,3,3,0,3,1,2,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,17,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectMergeMaxUDAF.java,brickhouse.udf.collect.CollectMergeMaxUDAF$IntMergeMaxAggBuffer,innerclass,1,1,0,1,3,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0
