file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,"init/2[brickhouse.udf.collect.Mode,brickhouse.udf.collect.ObjectInspector[]]",inputOI,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,"init/2[brickhouse.udf.collect.Mode,brickhouse.udf.collect.ObjectInspector[]]",internalMergeOI,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,"init/2[brickhouse.udf.collect.Mode,brickhouse.udf.collect.ObjectInspector[]]",loi,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,"putIntoSet/2[java.lang.Object,brickhouse.udf.collect.CollectDistinctUDAF.SetCollectUDAFEvaluator.ArrayAggBuffer]",inputOI,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,"merge/2[brickhouse.udf.collect.AggregationBuffer,java.lang.Object]",internalMergeOI,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/timeseries/MovingAvgUDF.java,brickhouse.udf.timeseries.MovingAvgUDF,evaluate/1[brickhouse.udf.timeseries.DeferredObject[]],dayWindowInspector,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/timeseries/MovingAvgUDF.java,brickhouse.udf.timeseries.MovingAvgUDF,evaluate/1[brickhouse.udf.timeseries.DeferredObject[]],listInspector,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/timeseries/MovingAvgUDF.java,brickhouse.udf.timeseries.MovingAvgUDF,initialize/1[brickhouse.udf.timeseries.ObjectInspector[]],LOG,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/timeseries/MovingAvgUDF.java,brickhouse.udf.timeseries.MovingAvgUDF,initialize/1[brickhouse.udf.timeseries.ObjectInspector[]],dayWindowInspector,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/timeseries/MovingAvgUDF.java,brickhouse.udf.timeseries.MovingAvgUDF,initialize/1[brickhouse.udf.timeseries.ObjectInspector[]],listInspector,3
