file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,"init/2[brickhouse.udf.collect.Mode,brickhouse.udf.collect.ObjectInspector[]]",false,74,3,1,1,0,3,4,19,3,0,2,4,0,0,0,1,0,1,0,4,5,0,2,0,0,0,16,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,terminatePartial/1[brickhouse.udf.collect.AggregationBuffer],false,149,2,0,0,0,1,2,6,1,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,"iterate/2[brickhouse.udf.collect.AggregationBuffer,java.lang.Object[]]",false,108,3,1,0,1,2,1,7,0,2,2,1,1,1,0,1,0,0,0,1,2,0,1,0,0,0,16,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,getNewAggregationBuffer/0,false,100,3,2,0,2,1,1,5,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,reset/1[brickhouse.udf.collect.AggregationBuffer],false,128,2,1,1,0,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,terminate/1[brickhouse.udf.collect.AggregationBuffer],false,134,2,0,0,0,1,2,6,1,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,"putIntoSet/2[java.lang.Object,brickhouse.udf.collect.CollectDistinctUDAF.SetCollectUDAFEvaluator.ArrayAggBuffer]",false,142,1,2,2,0,1,2,4,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,"merge/2[brickhouse.udf.collect.AggregationBuffer,java.lang.Object]",false,119,3,1,0,1,2,2,7,0,2,2,2,1,1,1,0,0,0,0,0,2,0,1,0,0,0,16,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectMaxUDAF.java,brickhouse.udf.collect.CollectMaxUDAF,getEvaluator/1[brickhouse.udf.collect.TypeInfo[]],false,45,3,1,0,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/sanity/WriteToGraphiteUDF.java,brickhouse.udf.sanity.WriteToGraphiteUDF$GraphiteWriter,"sendMetrics/4[java.lang.String,int,java.util.Map<java.lang.String,java.lang.Double>,java.lang.Long]",false,69,2,3,2,1,3,7,10,0,1,4,7,1,1,1,1,0,0,1,1,2,1,1,0,0,0,16,1,0,false
