file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,"init/2[brickhouse.udf.collect.Mode,brickhouse.udf.collect.ObjectInspector[]]",m,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,"init/2[brickhouse.udf.collect.Mode,brickhouse.udf.collect.ObjectInspector[]]",parameters,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,terminatePartial/1[brickhouse.udf.collect.AggregationBuffer],agg,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,terminatePartial/1[brickhouse.udf.collect.AggregationBuffer],ret,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,terminatePartial/1[brickhouse.udf.collect.AggregationBuffer],myagg,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,"iterate/2[brickhouse.udf.collect.AggregationBuffer,java.lang.Object[]]",agg,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,"iterate/2[brickhouse.udf.collect.AggregationBuffer,java.lang.Object[]]",p,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,"iterate/2[brickhouse.udf.collect.AggregationBuffer,java.lang.Object[]]",parameters,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,"iterate/2[brickhouse.udf.collect.AggregationBuffer,java.lang.Object[]]",myagg,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/brickhouse/../../brickhouse/src/main/java/brickhouse/udf/collect/CollectDistinctUDAF.java,brickhouse.udf.collect.CollectDistinctUDAF$SetCollectUDAFEvaluator,getNewAggregationBuffer/0,buff,2
