file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/concourse/../../concourse/concourse-driver-java/src/main/java/com/cinchapi/concourse/thrift/ConcourseService.java,com.cinchapi.concourse.thrift.ConcourseService$Processor$selectCclTimeOrder,innerclass,5,5,0,5,9,1,0,1,10,0.0,0.0,0.0,5,0,3,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,1,0,1,0,6,0,1,1,0,0,0,23,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/concourse/../../concourse/examples/bank-overdraft-protection/java/src/main/java/com/cinchapi/concourse/example/bank/ConcourseAccount.java,com.cinchapi.concourse.example.bank.ConcourseAccount,class,8,10,2,8,28,1,0,32,0,0.4,0.75,0.75,10,0,8,2,0,0,8,0,0,0,2,1,0,2,0,0,2,0,1,155,12,5,1,6,0,23,9,35,5,27,3,0,0,0,156,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/concourse/../../concourse/concourse-server/src/main/java/com/cinchapi/concourse/server/management/ConcourseManagementService.java,com.cinchapi.concourse.server.management.ConcourseManagementService$revoke_args$_Fields,enum,2,2,0,2,12,1,0,5,5,0.6111111,0.0952381,0.14285715,6,3,5,0,0,1,7,0,0,0,3,1,0,3,0,0,3,0,2,39,8,1,1,0,0,5,6,4,1,4,1,0,0,0,58,1,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/concourse/../../concourse/concourse-driver-java/src/main/java/com/cinchapi/concourse/thrift/ConcourseService.java,com.cinchapi.concourse.thrift.ConcourseService$getKeysCclPage_args$getKeysCclPage_argsTupleSchemeFactory,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/concourse/../../concourse/concourse-driver-java/src/main/java/com/cinchapi/concourse/thrift/ConcourseService.java,com.cinchapi.concourse.thrift.ConcourseService$pingRecords_result,innerclass,15,15,0,15,129,1,0,47,409,0.8968254,0.2897436,0.5205128,42,1,39,3,0,0,40,0,0,0,12,8,5,7,0,0,8,0,8,589,50,0,26,2,14,22,32,67,16,26,2,0,5,0,149,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/concourse/../../concourse/concourse-driver-java/src/main/java/org/imca_cat/pollingwatchservice/PollingWatchKeyState.java,org.imca_cat.pollingwatchservice.PollingWatchKeyState,enum,0,1,1,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/concourse/../../concourse/concourse-server/src/main/java/com/cinchapi/concourse/server/management/ConcourseManagementService.java,com.cinchapi.concourse.server.management.ConcourseManagementService$AsyncClient$deleteUser_call,innerclass,4,4,0,4,4,1,0,10,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,25,1,0,1,0,0,2,1,5,0,5,1,0,0,0,20,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/concourse/../../concourse/concourse-driver-java/src/main/java/com/cinchapi/concourse/thrift/ConcourseService.java,com.cinchapi.concourse.thrift.ConcourseService$AsyncClient$getCriteriaPage_call,innerclass,9,9,0,9,4,1,0,14,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,5,0,0,5,0,0,0,0,0,34,1,0,1,0,1,2,1,8,0,8,1,0,0,0,22,9,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/concourse/../../concourse/concourse-driver-java/src/main/java/com/cinchapi/concourse/thrift/ConcourseCalculateService.java,com.cinchapi.concourse.thrift.ConcourseCalculateService$minKeyRecordTimestr_args$minKeyRecordTimestr_argsStandardSchemeFactory,innerclass,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/concourse/../../concourse/concourse-driver-java/src/main/java/com/cinchapi/concourse/util/Transformers.java,com.cinchapi.concourse.util.Transformers,class,10,12,2,10,15,3,0,27,28,0.0,0.0,0.0,8,8,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,78,8,7,0,0,0,1,1,10,0,9,1,0,1,0,94,17,0
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/concourse/../../concourse/concourse-server/src/main/java/spark/route/HttpMethod.java,spark.route.HttpMethod,enum,0,6,6,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
