file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/imps/TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,TempGetDataBuilderImpl/1[org.apache.curator.framework.imps.CuratorFrameworkImpl],decompress,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/imps/TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,TempGetDataBuilderImpl/1[org.apache.curator.framework.imps.CuratorFrameworkImpl],client,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/imps/TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,TempGetDataBuilderImpl/1[org.apache.curator.framework.imps.CuratorFrameworkImpl],responseStat,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/imps/TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,storingStatIn/1[org.apache.curator.framework.imps.Stat],responseStat,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/imps/TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,forPath/1[java.lang.String],decompress,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/imps/TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,forPath/1[java.lang.String],client,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/imps/TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,forPath/1[java.lang.String],responseStat,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/imps/TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,decompressed/0,decompress,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-recipes/src/test/java/org/apache/curator/framework/recipes/leader/TestLeaderAcls.java,org.apache.curator.framework.recipes.leader.TestLeaderAcls,testAclErrorWithLeader/0,timing,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-client/src/main/java/org/apache/curator/utils/DefaultTracerDriver.java,org.apache.curator.utils.DefaultTracerDriver,"addTrace/3[java.lang.String,long,java.util.concurrent.TimeUnit]",log,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-client/src/main/java/org/apache/curator/utils/DefaultTracerDriver.java,org.apache.curator.utils.DefaultTracerDriver,"addCount/2[java.lang.String,int]",log,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/state/CircuitBreaker.java,org.apache.curator.framework.state.CircuitBreaker,getRetryCount/0,retryCount,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/state/CircuitBreaker.java,org.apache.curator.framework.state.CircuitBreaker,tryToOpen/1[java.lang.Runnable],isOpen,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/state/CircuitBreaker.java,org.apache.curator.framework.state.CircuitBreaker,tryToOpen/1[java.lang.Runnable],retryCount,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/state/CircuitBreaker.java,org.apache.curator.framework.state.CircuitBreaker,tryToOpen/1[java.lang.Runnable],startNanos,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/state/CircuitBreaker.java,org.apache.curator.framework.state.CircuitBreaker,close/0,isOpen,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/state/CircuitBreaker.java,org.apache.curator.framework.state.CircuitBreaker,close/0,retryCount,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/state/CircuitBreaker.java,org.apache.curator.framework.state.CircuitBreaker,close/0,startNanos,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/state/CircuitBreaker.java,org.apache.curator.framework.state.CircuitBreaker,tryToRetry/1[java.lang.Runnable],isOpen,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/state/CircuitBreaker.java,org.apache.curator.framework.state.CircuitBreaker,tryToRetry/1[java.lang.Runnable],retryPolicy,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/state/CircuitBreaker.java,org.apache.curator.framework.state.CircuitBreaker,tryToRetry/1[java.lang.Runnable],retryCount,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/state/CircuitBreaker.java,org.apache.curator.framework.state.CircuitBreaker,tryToRetry/1[java.lang.Runnable],service,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/state/CircuitBreaker.java,org.apache.curator.framework.state.CircuitBreaker,tryToRetry/1[java.lang.Runnable],startNanos,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/state/CircuitBreaker.java,org.apache.curator.framework.state.CircuitBreaker,isOpen/0,isOpen,2
