file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-x-discovery/src/main/java/org/apache/curator/x/discovery/strategies/StickyStrategy.java,org.apache.curator.x.discovery.strategies.StickyStrategy$Anonymous1,getInstances/0,false,60,2,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/test/java/org/apache/curator/framework/imps/TestNeverConnected.java,org.apache.curator.framework.imps.TestNeverConnected,testNeverConnected/0,false,37,10,8,0,8,1,13,23,0,5,0,13,0,0,0,0,1,0,2,3,6,0,1,1,0,0,22,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/imps/TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,TempGetDataBuilderImpl/1[org.apache.curator.framework.imps.CuratorFrameworkImpl],true,35,1,1,1,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/imps/TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,storingStatIn/1[org.apache.curator.framework.imps.Stat],false,48,4,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/imps/TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,forPath/1[java.lang.String],false,54,4,8,0,8,2,10,12,1,3,1,10,0,0,0,0,0,0,1,0,3,0,0,1,0,0,13,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/imps/TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,decompressed/0,false,42,3,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-recipes/src/test/java/org/apache/curator/framework/recipes/leader/TestLeaderAcls.java,org.apache.curator.framework.recipes.leader.TestLeaderAcls,testAclErrorWithLeader/0,false,50,12,11,0,11,1,21,56,0,8,0,21,0,0,0,0,2,0,5,2,11,0,2,2,0,0,51,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-client/src/main/java/org/apache/curator/utils/DefaultTracerDriver.java,org.apache.curator.utils.DefaultTracerDriver,"addTrace/3[java.lang.String,long,java.util.concurrent.TimeUnit]",false,34,0,0,0,0,2,3,5,0,0,3,3,0,0,0,0,0,0,3,0,0,1,1,0,0,0,4,1,1,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-client/src/main/java/org/apache/curator/utils/DefaultTracerDriver.java,org.apache.curator.utils.DefaultTracerDriver,"addCount/2[java.lang.String,int]",false,41,0,0,0,0,2,2,5,0,0,2,2,0,0,0,0,0,0,2,0,0,1,1,0,0,0,4,1,1,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/state/CircuitBreaker.java,org.apache.curator.framework.state.CircuitBreaker,getRetryCount/0,false,53,0,3,3,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
