file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/test/java/org/apache/curator/framework/imps/TestNeverConnected.java,org.apache.curator.framework.imps.TestNeverConnected,testNeverConnected/0,polled,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/test/java/org/apache/curator/framework/imps/TestNeverConnected.java,org.apache.curator.framework.imps.TestNeverConnected,testNeverConnected/0,timing,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/test/java/org/apache/curator/framework/imps/TestNeverConnected.java,org.apache.curator.framework.imps.TestNeverConnected,testNeverConnected/0,listener,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/test/java/org/apache/curator/framework/imps/TestNeverConnected.java,org.apache.curator.framework.imps.TestNeverConnected,testNeverConnected/0,client,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/test/java/org/apache/curator/framework/imps/TestNeverConnected.java,org.apache.curator.framework.imps.TestNeverConnected,testNeverConnected/0,queue,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/imps/TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,TempGetDataBuilderImpl/1[org.apache.curator.framework.imps.CuratorFrameworkImpl],client,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/imps/TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,storingStatIn/1[org.apache.curator.framework.imps.Stat],stat,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/imps/TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,forPath/1[java.lang.String],path,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/imps/TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,forPath/1[java.lang.String],trace,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/curator/../../curator/curator-framework/src/main/java/org/apache/curator/framework/imps/TempGetDataBuilderImpl.java,org.apache.curator.framework.imps.TempGetDataBuilderImpl,forPath/1[java.lang.String],localPath,0
