file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-spring-boot-starter/src/main/java/com/alibaba/druid/spring/boot/autoconfigure/DruidDataSourceAutoConfigure.java,com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure,dataSource/0,LOGGER,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-spring-boot-starter/src/main/java/gaarason/database/eloquent/GeneralModel.java,gaarason.database.eloquent.GeneralModel,"log/2[java.lang.String,java.util.Collection<?>]",log,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-spring-boot-starter/src/main/java/gaarason/database/eloquent/GeneralModel.java,gaarason.database.eloquent.GeneralModel,getGaarasonDataSource/0,gaarasonDataSource,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-api/src/main/java/gaarason/database/contract/query/Grammar.java,gaarason.database.contract.query.Grammar$SQLPartInfo,SQLPartInfo/1[java.lang.String],sqlString,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-api/src/main/java/gaarason/database/contract/query/Grammar.java,gaarason.database.contract.query.Grammar$SQLPartInfo,getParameters/0,parameters,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-api/src/main/java/gaarason/database/contract/query/Grammar.java,gaarason.database.contract.query.Grammar$SQLPartInfo,getSqlString/0,sqlString,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-api/src/main/java/gaarason/database/contract/query/Grammar.java,gaarason.database.contract.query.Grammar$SQLPartInfo,"SQLPartInfo/2[java.lang.String,java.util.Collection<java.lang.Object>]",sqlString,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-api/src/main/java/gaarason/database/contract/query/Grammar.java,gaarason.database.contract.query.Grammar$SQLPartInfo,"SQLPartInfo/2[java.lang.String,java.util.Collection<java.lang.Object>]",parameters,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/EnumUtils.java,gaarason.database.util.EnumUtils,toInt/1[java.lang.Enum<?>],EMPTY_INT,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/EnumUtils.java,gaarason.database.util.EnumUtils,"toEnum/2[java.lang.String,java.lang.reflect.Type]",STR_INDEX_CACHE,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/EnumUtils.java,gaarason.database.util.EnumUtils,toStr/1[java.lang.Enum<?>],EMPTY_STR,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/EnumUtils.java,gaarason.database.util.EnumUtils,"toEnum/2[java.lang.Integer,java.lang.reflect.Type]",INT_INDEX_CACHE,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/IncrementTypeTests.java,gaarason.database.test.parent.IncrementTypeTests,getGaarasonDataSource/0,peopleModel,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/IncrementTypeTests.java,gaarason.database.test.parent.IncrementTypeTests,雪花算法id_批量新增且没有赋值给主键才会生效/0,peopleModel,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/IncrementTypeTests.java,gaarason.database.test.parent.IncrementTypeTests,新增_返回自增idOrFail/0,peopleModel,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/IncrementTypeTests.java,gaarason.database.test.parent.IncrementTypeTests,批量新增_返回自增ids_mapStyle/0,peopleModel,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/IncrementTypeTests.java,gaarason.database.test.parent.IncrementTypeTests,新增_返回自增id_mapStyle/0,peopleModel,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/IncrementTypeTests.java,gaarason.database.test.parent.IncrementTypeTests,批量新增_返回自增ids/0,peopleModel,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/IncrementTypeTests.java,gaarason.database.test.parent.IncrementTypeTests,ss/0,peopleModel,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/IncrementTypeTests.java,gaarason.database.test.parent.IncrementTypeTests,新增_空插入_返回自增id/0,peopleModel,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/IncrementTypeTests.java,gaarason.database.test.parent.IncrementTypeTests,雪花算法id_新增且没有赋值给主键才会生效/0,peopleModel,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/IncrementTypeTests.java,gaarason.database.test.parent.IncrementTypeTests,新增_返回自增id/0,peopleModel,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/main/java/gaarason/database/DatabaseType.java,gaarason.database.DatabaseType,forDatabaseProductName/1[java.lang.String],databaseProductName,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/main/java/gaarason/database/DatabaseType.java,gaarason.database.DatabaseType,forDatabaseProductName/1[java.lang.String],DATABASE_PRODUCT_NAME_LOOKUP,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/main/java/gaarason/database/DatabaseType.java,gaarason.database.DatabaseType,DatabaseType/1[java.lang.String],databaseProductName,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/main/java/gaarason/database/DatabaseType.java,gaarason.database.DatabaseType,getValueSymbol/0,MYSQL,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/main/java/gaarason/database/DatabaseType.java,gaarason.database.DatabaseType,getValueSymbol/0,MSSQL_V2,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/main/java/gaarason/database/DatabaseType.java,gaarason.database.DatabaseType,getValueSymbol/0,MSSQL,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-generator/src/main/java/gaarason/database/generator/support/TypeReference.java,gaarason.database.generator.support.TypeReference,TypeReference/0,_type,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-generator/src/main/java/gaarason/database/generator/support/TypeReference.java,gaarason.database.generator.support.TypeReference,getType/0,_type,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/TransactionTests.java,gaarason.database.test.parent.TransactionTests,getGaarasonDataSource/0,studentModel,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/TransactionTests.java,gaarason.database.test.parent.TransactionTests,事物_单个数据连接可嵌套事物_子事务独立提交/0,studentModel,16
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/TransactionTests.java,gaarason.database.test.parent.TransactionTests,事物_在事物中开启多线程执行_子进程不处于事物中/0,studentModel,5
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/TransactionTests.java,gaarason.database.test.parent.TransactionTests,事物_多个数据连接嵌套事物/0,student2Model,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/TransactionTests.java,gaarason.database.test.parent.TransactionTests,事物_多个数据连接嵌套事物/0,student3Model,7
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/TransactionTests.java,gaarason.database.test.parent.TransactionTests,事物_多个数据连接嵌套事物/0,studentModel,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/TransactionTests.java,gaarason.database.test.parent.TransactionTests,事物_多线程下_多个数据连接嵌套事物2/0,student2Model,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/TransactionTests.java,gaarason.database.test.parent.TransactionTests,事物_多线程下_多个数据连接嵌套事物2/0,student3Model,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/TransactionTests.java,gaarason.database.test.parent.TransactionTests,事物_多线程下_多个数据连接嵌套事物2/0,studentModel,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/TransactionTests.java,gaarason.database.test.parent.TransactionTests,事物_lock_in_share_mode/0,studentModel,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-tests/database-core-test/src/test/java/gaarason/database/test/parent/TransactionTests.java,gaarason.database.test.parent.TransactionTests,事物_for_update/0,studentModel,2
