file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-spring-boot-starter/src/main/java/com/alibaba/druid/spring/boot/autoconfigure/DruidDataSourceAutoConfigure.java,com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure,dataSource/0,false,44,5,0,0,0,1,1,4,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,1,1,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-api/src/main/java/gaarason/database/exception/SerializeException.java,gaarason.database.exception.SerializeException,SerializeException/1[java.lang.String],true,10,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-api/src/main/java/gaarason/database/exception/SerializeException.java,gaarason.database.exception.SerializeException,SerializeException/1[java.lang.Throwable],true,18,0,2,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-api/src/main/java/gaarason/database/exception/SerializeException.java,gaarason.database.exception.SerializeException,"SerializeException/2[java.lang.String,java.lang.Throwable]",true,14,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,CustomizeLocalDateTimeDeserializer/1[java.time.format.DateTimeFormatter],true,252,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,"deserialize/2[gaarason.database.util.JsonParser,gaarason.database.util.DeserializationContext]",false,258,6,2,1,1,21,28,69,8,15,2,28,1,0,1,9,0,1,3,12,21,1,5,0,0,0,55,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-spring-boot-starter/src/main/java/gaarason/database/eloquent/GeneralModel.java,gaarason.database.eloquent.GeneralModel,"log/2[java.lang.String,java.util.Collection<?>]",false,32,2,3,0,3,2,5,5,0,0,2,5,0,0,0,0,0,0,3,0,0,1,1,0,0,0,4,1,1,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-spring-boot-starter/src/main/java/gaarason/database/eloquent/GeneralModel.java,gaarason.database.eloquent.GeneralModel,getGaarasonDataSource/0,false,28,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-api/src/main/java/gaarason/database/contract/query/Grammar.java,gaarason.database.contract.query.Grammar$SQLPartInfo,SQLPartInfo/1[java.lang.String],true,195,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-api/src/main/java/gaarason/database/contract/query/Grammar.java,gaarason.database.contract.query.Grammar$SQLPartInfo,getParameters/0,false,204,1,39,39,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
