file,class,method,variable,usage
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-api/src/main/java/gaarason/database/exception/SerializeException.java,gaarason.database.exception.SerializeException,SerializeException/1[java.lang.String],message,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-api/src/main/java/gaarason/database/exception/SerializeException.java,gaarason.database.exception.SerializeException,SerializeException/1[java.lang.Throwable],e,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-api/src/main/java/gaarason/database/exception/SerializeException.java,gaarason.database.exception.SerializeException,"SerializeException/2[java.lang.String,java.lang.Throwable]",e,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-api/src/main/java/gaarason/database/exception/SerializeException.java,gaarason.database.exception.SerializeException,"SerializeException/2[java.lang.String,java.lang.Throwable]",message,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,CustomizeLocalDateTimeDeserializer/1[java.time.format.DateTimeFormatter],formatter,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,"deserialize/2[gaarason.database.util.JsonParser,gaarason.database.util.DeserializationContext]",flag,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,"deserialize/2[gaarason.database.util.JsonParser,gaarason.database.util.DeserializationContext]",year,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,"deserialize/2[gaarason.database.util.JsonParser,gaarason.database.util.DeserializationContext]",i,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,"deserialize/2[gaarason.database.util.JsonParser,gaarason.database.util.DeserializationContext]",minute,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,"deserialize/2[gaarason.database.util.JsonParser,gaarason.database.util.DeserializationContext]",second,2
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,"deserialize/2[gaarason.database.util.JsonParser,gaarason.database.util.DeserializationContext]",result,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,"deserialize/2[gaarason.database.util.JsonParser,gaarason.database.util.DeserializationContext]",partialSecond,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,"deserialize/2[gaarason.database.util.JsonParser,gaarason.database.util.DeserializationContext]",parser,28
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,"deserialize/2[gaarason.database.util.JsonParser,gaarason.database.util.DeserializationContext]",t,9
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,"deserialize/2[gaarason.database.util.JsonParser,gaarason.database.util.DeserializationContext]",month,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,"deserialize/2[gaarason.database.util.JsonParser,gaarason.database.util.DeserializationContext]",hour,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,"deserialize/2[gaarason.database.util.JsonParser,gaarason.database.util.DeserializationContext]",context,11
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,"deserialize/2[gaarason.database.util.JsonParser,gaarason.database.util.DeserializationContext]",parsed,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,"deserialize/2[gaarason.database.util.JsonParser,gaarason.database.util.DeserializationContext]",text,4
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,"deserialize/2[gaarason.database.util.JsonParser,gaarason.database.util.DeserializationContext]",day,3
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,"deserialize/2[gaarason.database.util.JsonParser,gaarason.database.util.DeserializationContext]",chars,1
/home/yaroslav/Study/LeanSoftwareDevelopment/repository_metrics_with_ck/collected_metrics/database-all/../../database-all/database-core/src/main/java/gaarason/database/util/JsonUtils.java,gaarason.database.util.JsonUtils$CustomizeLocalDateTimeDeserializer,"deserialize/2[gaarason.database.util.JsonParser,gaarason.database.util.DeserializationContext]",timestamp,1
